Landsat Scene Identifier,WRS Path,WRS Row,Target WRS Path,Target WRS Row,Full or Partial Scene,Nadir/Off Nadir,Data Category,TIRS SSM Model,Bias Parameter File Name OLI,Bias Parameter File Name TIRS,Calibration Parameter File,RLUT File Name,Roll Angle,Station Identifier,Day/Night,Data Type Level 1,Sensor Identifier,Date Acquired,Start Time,Stop Time,Date L1 Generated,Image Quality,Scene Cloud Cover,Sun Elevation,Sun Azimuth,Geometric RMSE Model X,Geometric RMSE Model Y,Ground Control Points Model,Ground Control Points Version,Browse Exists,Processing Software Version,Center Latitude,Center Longitude,NW Corner Lat,NW Corner Long,NE Corner Lat,NE Corner Long,SE Corner Lat,SE Corner Long,SW Corner Lat,SW Corner Long,Center Latitude dec,Center Longitude dec,NW Corner Lat dec,NW Corner Long dec,NE Corner Lat dec,NE Corner Long dec,SE Corner Lat dec,SE Corner Long dec,SW Corner Lat dec,SW Corner Long dec,Display ID,Ordering ID,Download Link
LC81920302016240LGN00, 192, 030, 192, 030,FULL,NADIR,NOMINAL,PRELIMINARY,LO8BPF20160827094708_20160827102322.02,LT8BPF20160818203550_20160818225656.01,L8CPF20160701_20160930.02,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2016/08/27,2016:240:09:59:03.2578220,2016:240:09:59:35.0278190,2016/08/27,9,.25,52.59038328,147.29623589,4.724,4.079,622,4,Y,LPGS_2.6.2,43°11'05.64"N,11°03'32.72"E,44°14'39.88"N,10°11'46.18"E,43°49'27.16"N,12°30'23.08"E,42°06'34.81"N,11°53'12.73"E,42°31'35.65"N,9°38'23.24"E,43.1849,11.05909,44.24441,10.19616,43.82421,12.50641,42.10967,11.88687,42.52657,9.63979,LC81920302016240LGN00,LC81920302016240LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC81920302016240LGN00
LC81920312016240LGN00, 192, 031, 192, 031,FULL,NADIR,NOMINAL,PRELIMINARY,LO8BPF20160827094708_20160827102322.02,LT8BPF20160818203550_20160818225656.01,L8CPF20160701_20160930.02,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2016/08/27,2016:240:09:59:27.1488600,2016:240:09:59:58.9188570,2016/08/27,9,0,53.62416021,145.68000534,4.066,4.026,241,4,Y,LPGS_2.6.2,41°45'34.34"N,10°34'46.85"E,42°49'03.00"N,9°43'56.10"E,42°24'10.87"N,11°59'27.64"E,40°41'10.00"N,11°23'39.30"E,41°05'52.26"N,9°11'40.24"E,41.75954,10.57968,42.8175,9.73225,42.40302,11.99101,40.68611,11.39425,41.09785,9.19451,LC81920312016240LGN00,LC81920312016240LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC81920312016240LGN00
LC81920322016240LGN00, 192, 032, 192, 032,FULL,NADIR,NOMINAL,PRELIMINARY,LO8BPF20160827094708_20160827102322.02,LT8BPF20160818203550_20160818225656.01,L8CPF20160701_20160930.02,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2016/08/27,2016:240:09:59:51.0314250,2016:240:10:00:22.8014220,2016/08/27,9,.11,54.63265056,143.99549598,4.989,5.011,444,4,Y,LPGS_2.6.2,40°19'58.84"N,10°07'00.77"E,41°23'22.96"N,9°16'59.99"E,40°58'48.65"N,11°29'44.20"E,39°15'40.21"N,10°55'10.74"E,39°40'06.60"N,8°45'45.29"E,40.33301,10.11688,41.38971,9.28333,40.98018,11.49561,39.26117,10.91965,39.6685,8.76258,LC81920322016240LGN00,LC81920322016240LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC81920322016240LGN00
LC82010282016239LGN00, 201, 028, 201, 028,FULL,NADIR,NOMINAL,PRELIMINARY,LO8BPF20160826104157_20160826112611.01,LT8BPF20160818203550_20160818225656.01,L8CPF20160701_20160930.02,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2016/08/26,2016:239:10:53:52.4204620,2016:239:10:54:24.1904590,2016/08/26,9,12.91,50.74809549,150.05965277,6.15,5.93,211,4,Y,LPGS_2.6.2,46°01'46.88"N,1°49'52.10"W,47°05'35.23"N,2°43'49.30"W,46°39'31.61"N,0°18'00.04"W,44°56'59.68"N,0°58'19.09"W,45°22'46.67"N,3°19'46.88"W,46.02969,-1.83114,47.09312,-2.73036,46.65878,-.30001,44.94991,-.97197,45.37963,-3.32969,LC82010282016239LGN00,LC82010282016239LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC82010282016239LGN00
LC82010302016239LGN00, 201, 030, 201, 030,FULL,NADIR,NOMINAL,PRELIMINARY,LO8BPF20160826104157_20160826112611.01,LT8BPF20160818203550_20160818225656.01,L8CPF20160701_20160930.02,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2016/08/26,2016:239:10:54:40.1898290,2016:239:10:55:11.9598260,2016/08/26,9,15.11,52.87135015,146.96808135,3.466,4.82,270,4,Y,LPGS_2.6.2,43°11'05.78"N,2°50'44.05"W,44°14'40.92"N,3°42'37.26"W,43°49'25.79"N,1°23'47.36"W,42°06'34.24"N,2°00'57.53"W,42°31'37.49"N,4°15'59.72"W,43.18494,-2.84557,44.2447,-3.71035,43.82383,-1.39649,42.10951,-2.01598,42.52708,-4.26659,LC82010302016239LGN00,LC82010302016239LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC82010302016239LGN00
LC82010252016239LGN00, 201, 025, 201, 025,FULL,NADIR,NOMINAL,PRELIMINARY,LO8BPF20160826104157_20160826112611.01,LT8BPF20160818203550_20160818225656.01,L8CPF20160701_20160930.02,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2016/08/26,2016:239:10:52:40.7685290,2016:239:10:53:12.5385250,2016/08/26,9,10.25,47.41980516,154.33770167,6.244,4.71,287,4,Y,LPGS_2.6.2,50°16'51.31"N,0°08'18.92"W,51°21'05.94"N,1°05'47.18"W,50°53'31.06"N,1°32'34.33"E,49°11'35.02"N,0°46'11.82"E,49°38'44.02"N,1°46'45.95"W,50.28092,-.13859,51.35165,-1.09644,50.89196,1.54287,49.19306,.76995,49.64556,-1.77943,LC82010252016239LGN00,LC82010252016239LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC82010252016239LGN00
LC82010242016239LGN00, 201, 024, 201, 024,FULL,NADIR,NOMINAL,PRELIMINARY,LO8BPF20160826104157_20160826112611.01,LT8BPF20160818203550_20160818225656.01,L8CPF20160701_20160930.02,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2016/08/26,2016:239:10:52:16.8817270,2016:239:10:52:48.6517240,2016/08/26,9,4.66,46.27807403,155.69549291,6.466,5.226,343,4,Y,LPGS_2.6.2,51°41'35.63"N,0°28'53.65"E,52°46'00.88"N,0°29'51.18"W,52°17'49.67"N,2°13'18.84"E,50°36'07.74"N,1°24'27.76"E,51°03'49.25"N,1°12'54.00"W,51.69323,.48157,52.76691,-.49755,52.29713,2.2219,50.60215,1.40771,51.06368,-1.215,LC82010242016239LGN00,LC82010242016239LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC82010242016239LGN00
LC82010272016239LGN00, 201, 027, 201, 027,FULL,NADIR,NOMINAL,PRELIMINARY,LO8BPF20160826104157_20160826112611.01,LT8BPF20160818203550_20160818225656.01,L8CPF20160701_20160930.02,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2016/08/26,2016:239:10:53:28.5378960,2016:239:10:54:00.3078930,2016/08/26,9,5.42,49.65625375,151.52670222,5.949,5.774,385,4,Y,LPGS_2.6.2,47°26'56.15"N,1°17'31.56"W,48°30'52.38"N,2°12'35.57"W,48°04'21.11"N,0°17'06.18"E,46°22'00.19"N,0°25'01.99"W,46°48'12.02"N,2°50'03.30"W,47.44893,-1.2921,48.51455,-2.20988,48.07253,.28505,46.36672,-.41722,46.80334,-2.83425,LC82010272016239LGN00,LC82010272016239LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC82010272016239LGN00
LC81940312016238LGN00, 194, 031, 194, 031,FULL,NADIR,NOMINAL,PRELIMINARY,LO8BPF20160825095905_20160825113710.01,LT8BPF20160818203550_20160818225656.01,L8CPF20160701_20160930.02,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2016/08/25,2016:238:10:11:47.9913740,2016:238:10:12:19.7613710,2016/08/25,9,.54,54.1904177,144.95326922,4.847,3.988,54,4,Y,LPGS_2.6.2,41°45'35.06"N,7°29'26.23"E,42°49'03.29"N,6°38'37.36"E,42°24'11.84"N,8°54'05.47"E,40°41'10.61"N,8°18'17.06"E,41°05'52.22"N,6°06'21.35"E,41.75974,7.49062,42.81758,6.64371,42.40329,8.90152,40.68628,8.30474,41.09784,6.10593,LC81940312016238LGN00,LC81940312016238LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC81940312016238LGN00
LC81940262016238LGN00, 194, 026, 194, 026,FULL,NADIR,NOMINAL,PRELIMINARY,LO8BPF20160825095905_20160825113710.01,LT8BPF20160818203550_20160818225656.01,L8CPF20160701_20160930.02,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2016/08/25,2016:238:10:09:48.5658380,2016:238:10:10:20.3358350,2016/08/25,9,.13,48.8652987,152.6789518,4.993,3.609,583,4,Y,LPGS_2.6.2,48°51'58.14"N,10°05'11.90"E,49°56'03.12"N,9°08'57.37"E,49°29'01.72"N,11°42'49.25"E,47°46'52.57"N,10°58'40.73"E,48°13'31.51"N,8°29'50.03"E,48.86615,10.08664,49.9342,9.14927,49.48381,11.71368,47.78127,10.97798,48.22542,8.49723,LC81940262016238LGN00,LC81940262016238LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC81940262016238LGN00
