Landsat Scene Identifier,WRS Path,WRS Row,Target WRS Path,Target WRS Row,Full or Partial Scene,Nadir/Off Nadir,Data Category,TIRS SSM Model,Bias Parameter File Name OLI,Bias Parameter File Name TIRS,Calibration Parameter File,RLUT File Name,Roll Angle,Station Identifier,Day/Night,Data Type Level 1,Sensor Identifier,Date Acquired,Start Time,Stop Time,Date L1 Generated,Image Quality,Scene Cloud Cover,Sun Elevation,Sun Azimuth,Geometric RMSE Model X,Geometric RMSE Model Y,Ground Control Points Model,Ground Control Points Version,Browse Exists,Processing Software Version,Center Latitude,Center Longitude,NW Corner Lat,NW Corner Long,NE Corner Lat,NE Corner Long,SE Corner Lat,SE Corner Long,SW Corner Lat,SW Corner Long,Center Latitude dec,Center Longitude dec,NW Corner Lat dec,NW Corner Long dec,NE Corner Lat dec,NE Corner Long dec,SE Corner Lat dec,SE Corner Long dec,SW Corner Lat dec,SW Corner Long dec,Display ID,Ordering ID,Download Link
LC81920312016240LGN00, 192, 031, 192, 031,FULL,NADIR,NOMINAL,PRELIMINARY,LO8BPF20160827094708_20160827102322.02,LT8BPF20160818203550_20160818225656.01,L8CPF20160701_20160930.02,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2016/08/27,2016:240:09:59:27.1488600,2016:240:09:59:58.9188570,2016/08/27,9,0,53.62416021,145.68000534,4.066,4.026,241,4,Y,LPGS_2.6.2,41°45'34.34"N,10°34'46.85"E,42°49'03.00"N,9°43'56.10"E,42°24'10.87"N,11°59'27.64"E,40°41'10.00"N,11°23'39.30"E,41°05'52.26"N,9°11'40.24"E,41.75954,10.57968,42.8175,9.73225,42.40302,11.99101,40.68611,11.39425,41.09785,9.19451,LC81920312016240LGN00,LC81920312016240LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC81920312016240LGN00
LC81920322016240LGN00, 192, 032, 192, 032,FULL,NADIR,NOMINAL,PRELIMINARY,LO8BPF20160827094708_20160827102322.02,LT8BPF20160818203550_20160818225656.01,L8CPF20160701_20160930.02,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2016/08/27,2016:240:09:59:51.0314250,2016:240:10:00:22.8014220,2016/08/27,9,.11,54.63265056,143.99549598,4.989,5.011,444,4,Y,LPGS_2.6.2,40°19'58.84"N,10°07'00.77"E,41°23'22.96"N,9°16'59.99"E,40°58'48.65"N,11°29'44.20"E,39°15'40.21"N,10°55'10.74"E,39°40'06.60"N,8°45'45.29"E,40.33301,10.11688,41.38971,9.28333,40.98018,11.49561,39.26117,10.91965,39.6685,8.76258,LC81920322016240LGN00,LC81920322016240LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC81920322016240LGN00
LC81930302014241LGN00, 193, 030, 193, 030,FULL,NADIR,NOMINAL,N/A,LO8BPF20140829095628_20140829103728.01,LT8BPF20140829095234_20140829103821.01,L8CPF20140701_20140930.01,L8RLUT20130211_20431231v09.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2014/08/29,2014:241:10:05:09.2227590,2014:241:10:05:40.9927550,2014/08/29,9,.25,52.29848329,147.62887593,4.27,3.979,-1,1,Y,LPGS_2.3.0,43°11'05.39"N,9°30'52.02"E,44°14'39.48"N,8°39'06.44"E,43°49'27.41"N,10°57'41.33"E,42°06'34.56"N,10°20'31.31"E,42°31'34.79"N,8°05'43.76"E,43.18483,9.51445,44.2443,8.65179,43.82428,10.96148,42.1096,10.34203,42.52633,8.09549,LC81930302014241LGN00,LC81930302014241LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC81930302014241LGN00
LC81930312016199LGN00, 193, 031, 193, 031,FULL,NADIR,NOMINAL,FINAL,LO8BPF20160717095243_20160717113049.01,LT8BPF20160707085159_20160720111055.01,L8CPF20160701_20160930.01,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2016/07/17,2016:199:10:05:26.3918210,2016:199:10:05:58.1618180,2016/07/21,9,.01,62.74336822,132.8591647,5.007,5.474,351,4,Y,LPGS_2.6.2,41°45'34.99"N,9°01'56.96"E,42°49'03.83"N,8°11'08.02"E,42°24'11.59"N,10°26'36.82"E,40°41'10.54"N,9°50'47.58"E,41°05'52.94"N,7°38'51.22"E,41.75972,9.03249,42.81773,8.18556,42.40322,10.44356,40.68626,9.84655,41.09804,7.64756,LC81930312016199LGN00,LC81930312016199LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC81930312016199LGN00
LC81940262016238LGN00, 194, 026, 194, 026,FULL,NADIR,NOMINAL,PRELIMINARY,LO8BPF20160825095905_20160825113710.01,LT8BPF20160818203550_20160818225656.01,L8CPF20160701_20160930.02,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2016/08/25,2016:238:10:09:48.5658380,2016:238:10:10:20.3358350,2016/08/25,9,.13,48.8652987,152.6789518,4.993,3.609,583,4,Y,LPGS_2.6.2,48°51'58.14"N,10°05'11.90"E,49°56'03.12"N,9°08'57.37"E,49°29'01.72"N,11°42'49.25"E,47°46'52.57"N,10°58'40.73"E,48°13'31.51"N,8°29'50.03"E,48.86615,10.08664,49.9342,9.14927,49.48381,11.71368,47.78127,10.97798,48.22542,8.49723,LC81940262016238LGN00,LC81940262016238LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC81940262016238LGN00
LC81940272016238LGN00, 194, 027, 194, 027,FULL,NADIR,NOMINAL,PRELIMINARY,LO8BPF20160825095905_20160825113710.01,LT8BPF20160818203550_20160818225656.01,L8CPF20160701_20160930.02,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2016/08/25,2016:238:10:10:12.4484030,2016:238:10:10:44.2184000,2016/08/25,9,.21,49.97060395,151.23691282,4.608,3.629,589,4,Y,LPGS_2.6.2,47°26'56.65"N,9°31'24.31"E,48°30'52.85"N,8°36'21.06"E,48°04'22.04"N,11°06'00.97"E,46°22'00.91"N,10°23'52.91"E,46°48'12.28"N,7°58'53.44"E,47.44907,9.52342,48.51468,8.60585,48.07279,11.10027,46.36692,10.39803,46.80341,7.98151,LC81940272016238LGN00,LC81940272016238LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC81940272016238LGN00
LC81940282015331LGN01, 194, 028, 194, 028,FULL,NADIR,NOMINAL,N/A,LO8BPF20151127100504_20151127114357.02,LT8BPF20151126105640_20151211174838.04,L8CPF20151001_20151231.05,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2015/11/27,2015:331:10:10:36.9086170,2015:331:10:11:08.6786140,2016/02/03,9,6.08,21.47142809,164.77519409,5.186,6.468,353,3,Y,LPGS_2.6.0,46°01'47.82"N,8°57'57.28"E,47°05'35.63"N,8°04'00.88"E,46°39'33.88"N,10°29'46.72"E,44°57'01.40"N,9°49'29.21"E,45°22'46.56"N,7°28'04.84"E,46.02995,8.96591,47.09323,8.06691,46.65941,10.49631,44.95039,9.82478,45.3796,7.46801,LC81940282015331LGN01,LC81940282015331LGN01,http://earthexplorer.usgs.gov/download/options/4923/LC81940282015331LGN01
LC81940292014296LGN00, 194, 029, 194, 029,FULL,NADIR,NOMINAL,N/A,LO8BPF20141023100248_20141023104723.01,LT8BPF20141023095854_20141023104816.01,L8CPF20141001_20141231.01,L8RLUT20130211_20431231v09.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2014/10/23,2014:296:10:11:05.0874080,2014:296:10:11:36.8574050,2014/10/23,9,.21,32.5471648,162.72172168,4.19,4.944,-1,2,Y,LPGS_2.4.0,44°36'29.45"N,8°27'03.31"E,45°40'09.98"N,7°34'11.14"E,45°14'33.72"N,9°56'19.03"E,43°31'51.17"N,9°17'40.38"E,43°57'13.32"N,6°59'36.35"E,44.60818,8.45092,45.66944,7.56976,45.2427,9.93862,43.53088,9.29455,43.9537,6.99343,LC81940292014296LGN00,LC81940292014296LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC81940292014296LGN00
LC81940302016238LGN00, 194, 030, 194, 030,FULL,NADIR,NOMINAL,PRELIMINARY,LO8BPF20160825095905_20160825113710.01,LT8BPF20160818203550_20160818225656.01,L8CPF20160701_20160930.02,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2016/08/25,2016:238:10:11:24.1045730,2016:238:10:11:55.8745690,2016/08/25,9,.03,53.16946779,146.6150416,3.972,4.612,395,4,Y,LPGS_2.6.2,43°11'05.32"N,7°58'11.82"E,44°14'39.84"N,7°06'25.45"E,43°49'27.30"N,9°25'01.70"E,42°06'34.52"N,8°47'51.58"E,42°31'35.22"N,6°33'02.74"E,43.18481,7.96995,44.2444,7.10707,43.82425,9.41714,42.10959,8.79766,42.52645,6.55076,LC81940302016238LGN00,LC81940302016238LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC81940302016238LGN00
LC81940312014296LGN00, 194, 031, 194, 031,FULL,NADIR,NOMINAL,N/A,LO8BPF20141023100248_20141023104723.01,LT8BPF20141023095854_20141023104816.01,L8CPF20141001_20141231.01,L8RLUT20130211_20431231v09.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2014/10/23,2014:296:10:11:52.8567750,2014:296:10:12:24.6267710,2014/10/23,9,.34,35.0788481,161.23985017,5.594,5.672,-1,2,Y,LPGS_2.4.0,41°45'35.14"N,7°28'30.04"E,42°49'03.32"N,6°37'40.04"E,42°24'12.82"N,8°53'08.88"E,40°41'11.44"N,8°17'21.80"E,41°05'52.12"N,6°05'25.44"E,41.75976,7.47501,42.81759,6.62779,42.40356,8.8858,40.68651,8.28939,41.09781,6.0904,LC81940312014296LGN00,LC81940312014296LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC81940312014296LGN00
