Landsat Scene Identifier,WRS Path,WRS Row,Target WRS Path,Target WRS Row,Full or Partial Scene,Nadir/Off Nadir,Data Category,TIRS SSM Model,Bias Parameter File Name OLI,Bias Parameter File Name TIRS,Calibration Parameter File,RLUT File Name,Roll Angle,Station Identifier,Day/Night,Data Type Level 1,Sensor Identifier,Date Acquired,Start Time,Stop Time,Date L1 Generated,Image Quality,Scene Cloud Cover,Sun Elevation,Sun Azimuth,Geometric RMSE Model X,Geometric RMSE Model Y,Ground Control Points Model,Ground Control Points Version,Browse Exists,Processing Software Version,Center Latitude,Center Longitude,NW Corner Lat,NW Corner Long,NE Corner Lat,NE Corner Long,SE Corner Lat,SE Corner Long,SW Corner Lat,SW Corner Long,Center Latitude dec,Center Longitude dec,NW Corner Lat dec,NW Corner Long dec,NE Corner Lat dec,NE Corner Long dec,SE Corner Lat dec,SE Corner Long dec,SW Corner Lat dec,SW Corner Long dec,Display ID,Ordering ID,Download Link
LC81960282014054LGN00, 196, 028, 196, 028,FULL,NADIR,NOMINAL,N/A,LO8BPF20140223101541_20140223110152.01,LT8BPF20140223101147_20140223110245.01,L8CPF20140101_20140331.03,L8RLUT20130211_20431231v09.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2014/02/23,2014:054:10:23:34.6864910,2014:054:10:24:06.4564870,2014/02/23,9,16.68,31.12009522,155.01253664,5.682,6.58,-1,1,Y,LPGS_2.3.0,46°01'46.56"N,5°50'50.17"E,47°05'32.75"N,4°56'52.12"E,46°39'36.40"N,7°22'35.11"E,44°57'01.73"N,6°42'23.94"E,45°22'41.59"N,4°21'02.48"E,46.0296,5.84727,47.09243,4.94781,46.66011,7.37642,44.95048,6.70665,45.37822,4.35069,LC81960282014054LGN00,LC81960282014054LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC81960282014054LGN00,02
LC81960282014086LGN00, 196, 028, 196, 028,FULL,NADIR,NOMINAL,N/A,LO8BPF20140327101511_20140327103549.01,LT8BPF20140327101117_20140327103642.01,L8CPF20140101_20140331.03,L8RLUT20130211_20431231v09.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2014/03/27,2014:086:10:23:04.4466490,2014:086:10:23:36.2166450,2014/03/27,9,22.21,43.51361145,152.3935821,6.388,6.536,-1,1,Y,LPGS_2.3.0,46°01'47.39"N,5°51'20.88"E,47°05'33.11"N,4°57'20.45"E,46°39'36.97"N,7°23'06.65"E,44°57'02.88"N,6°42'56.77"E,45°22'42.60"N,4°21'32.08"E,46.02983,5.8558,47.09253,4.95568,46.66027,7.38518,44.9508,6.71577,45.3785,4.35891,LC81960282014086LGN00,LC81960282014086LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC81960282014086LGN00,03
LC81960282015105LGN00, 196, 028, 196, 028,FULL,NADIR,NOMINAL,N/A,LO8BPF20150415101044_20150415105518.01,LT8BPF20150415100650_20150415105612.01,L8CPF20150401_20150630.01,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2015/04/15,2015:105:10:22:12.5337260,2015:105:10:22:44.3037220,2015/04/15,9,11.33,50.54093524,150.38518298,6.167,6.17,-1,2,Y,LPGS_2.4.0,46°01'46.70"N,5°49'46.96"E,47°05'32.93"N,4°55'46.56"E,46°39'35.06"N,7°21'34.38"E,44°57'01.58"N,6°41'22.70"E,45°22'43.00"N,4°19'56.53"E,46.02964,5.82971,47.09248,4.9296,46.65974,7.35955,44.95044,6.68964,45.37861,4.33237,LC81960282015105LGN00,LC81960282015105LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC81960282015105LGN00,04
LC81960282014150LGN00, 196, 028, 196, 028,FULL,NADIR,NOMINAL,N/A,LO8BPF20140530101056_20140530103509.02,LT8BPF20140530100702_20140530103602.02,L8CPF20140401_20140630.01,L8RLUT20130211_20431231v09.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2014/05/30,2014:150:10:22:24.3333590,2014:150:10:22:56.1033550,2014/05/31,9,28.9,61.90165843,142.88727484,6.057,6.313,-1,1,Y,LPGS_2.3.0,46°01'47.42"N,5°53'29.44"E,47°05'35.88"N,4°59'34.87"E,46°39'32.15"N,7°25'20.14"E,44°57'00.04"N,6°44'59.86"E,45°22'47.14"N,4°23'35.99"E,46.02984,5.89151,47.0933,4.99302,46.65893,7.42226,44.95001,6.74996,45.37976,4.39333,LC81960282014150LGN00,LC81960282014150LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC81960282014150LGN00,05
LC81960282015153LGN00, 196, 028, 196, 028,FULL,NADIR,NOMINAL,N/A,LO8BPF20150602101030_20150602103442.01,LT8BPF20150602100632_20150602103537.01,L8CPF20150401_20150630.03,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2015/06/02,2015:153:10:21:57.5289900,2015:153:10:22:29.2989860,2015/06/02,9,13.74,62.00069101,142.37104634,5.116,4.594,341,2,Y,LPGS_2.5.1,46°01'47.03"N,5°53'53.92"E,47°05'35.84"N,4°59'59.42"E,46°39'31.14"N,7°25'45.19"E,44°56'59.35"N,6°45'23.87"E,45°22'47.32"N,4°23'59.46"E,46.02973,5.89831,47.09329,4.99984,46.65865,7.42922,44.94982,6.75663,45.37981,4.39985,LC81960282015153LGN00,LC81960282015153LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC81960282015153LGN00,06
LC81960282014198LGN00, 196, 028, 196, 028,FULL,NADIR,NOMINAL,N/A,LO8BPF20140717100452_20140717103526.01,LT8BPF20140717100058_20140717103619.01,L8CPF20140701_20140930.01,L8RLUT20130211_20431231v09.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2014/07/17,2014:198:10:22:41.7182090,2014:198:10:23:13.4882050,2014/07/17,9,.84,60.449858,139.93217195,5.943,6.068,-1,1,Y,LPGS_2.3.0,46°01'46.06"N,5°53'45.20"E,47°05'34.44"N,4°59'49.78"E,46°39'31.07"N,7°25'35.80"E,44°56'59.03"N,6°45'16.13"E,45°22'45.77"N,4°23'51.50"E,46.02946,5.89589,47.0929,4.99716,46.65863,7.42661,44.94973,6.75448,45.37938,4.39764,LC81960282014198LGN00,LC81960282014198LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC81960282014198LGN00,07
LC81960282016236LGN00, 196, 028, 196, 028,FULL,NADIR,NOMINAL,FINAL,LO8BPF20160823101126_20160823105451.01,LT8BPF20160818225656_20160902083306.01,L8CPF20160701_20160930.02,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2016/08/23,2016:236:10:22:57.1355260,2016:236:10:23:28.9055230,2016/09/08,9,.21,51.64766328,149.15414741,4.035,4.103,548,4,Y,LPGS_2.6.2,46°01'47.46"N,5°53'44.92"E,47°05'35.77"N,4°59'49.09"E,46°39'32.87"N,7°25'35.00"E,44°57'00.65"N,6°45'16.09"E,45°22'46.88"N,4°23'51.61"E,46.02985,5.89581,47.09327,4.99697,46.65913,7.42639,44.95018,6.75447,45.37969,4.39767,LC81960282016236LGN00,LC81960282016236LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC81960282016236LGN00,08
LC81960282016252LGN00, 196, 028, 196, 028,FULL,NADIR,NOMINAL,PRELIMINARY,LO8BPF20160908101506_20160908105720.01,LT8BPF20160902083306_20160902084122.01,L8CPF20160701_20160930.02,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2016/09/08,2016:252:10:23:02.2770520,2016:252:10:23:34.0470490,2016/09/08,9,1.4,46.62192698,153.90158905,4.406,4.116,544,4,Y,LPGS_2.6.2,46°01'46.78"N,5°53'17.81"E,47°05'34.87"N,4°59'21.91"E,46°39'32.18"N,7°25'08.08"E,44°56'59.89"N,6°44'49.42"E,45°22'45.98"N,4°23'24.68"E,46.02966,5.88828,47.09302,4.98942,46.65894,7.41891,44.94997,6.74706,45.37944,4.39019,LC81960282016252LGN00,LC81960282016252LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC81960282016252LGN00,09
LC81960282013291LGN00, 196, 028, 196, 028,FULL,NADIR,NOMINAL,N/A,LO8BPF20131018101646_20131018103724.01,LT8BPF20131018101252_20131018103817.02,L8CPF20131001_20131231.05,L8RLUT20130211_20431231v09.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2013/10/18,2013:291:10:24:39.7627710,2013:291:10:25:11.5327670,2015/01/21,9,29.81,32.96937052,163.26799323,6.583,6.544,-1,2,Y,LPGS_2.4.0,46°01'46.13"N,5°52'01.34"E,47°05'33.40"N,4°58'04.87"E,46°39'33.66"N,7°23'49.02"E,44°57'00.14"N,6°43'33.42"E,45°22'43.32"N,4°22'10.88"E,46.02948,5.86704,47.09261,4.96802,46.65935,7.39695,44.95004,6.72595,45.3787,4.36969,LC81960282013291LGN00,LC81960282013291LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC81960282013291LGN00,10
LC81960282015313LGN00, 196, 028, 196, 028,FULL,NADIR,NOMINAL,N/A,LO8BPF20151109101547_20151109110402.01,LT8BPF20151029161821_20151113130336.01,L8CPF20151001_20151231.05,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2015/11/09,2015:313:10:22:55.9027830,2015:313:10:23:27.6727800,2016/02/05,9,19.23,25.83526714,164.81011358,5.033,6.471,354,3,Y,LPGS_2.6.0,46°01'47.17"N,5°53'04.99"E,47°05'35.16"N,4°59'08.63"E,46°39'32.76"N,7°24'55.26"E,44°57'00.40"N,6°44'37.07"E,45°22'46.20"N,4°23'11.94"E,46.02977,5.88472,47.0931,4.98573,46.6591,7.41535,44.95011,6.74363,45.3795,4.38665,LC81960282015313LGN00,LC81960282015313LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC81960282015313LGN00,11
