Landsat Scene Identifier,WRS Path,WRS Row,Target WRS Path,Target WRS Row,Full or Partial Scene,Nadir/Off Nadir,Data Category,TIRS SSM Model,Bias Parameter File Name OLI,Bias Parameter File Name TIRS,Calibration Parameter File,RLUT File Name,Roll Angle,Station Identifier,Day/Night,Data Type Level 1,Sensor Identifier,Date Acquired,Start Time,Stop Time,Date L1 Generated,Image Quality,Scene Cloud Cover,Sun Elevation,Sun Azimuth,Geometric RMSE Model X,Geometric RMSE Model Y,Ground Control Points Model,Ground Control Points Version,Browse Exists,Processing Software Version,Center Latitude,Center Longitude,NW Corner Lat,NW Corner Long,NE Corner Lat,NE Corner Long,SE Corner Lat,SE Corner Long,SW Corner Lat,SW Corner Long,Center Latitude dec,Center Longitude dec,NW Corner Lat dec,NW Corner Long dec,NE Corner Lat dec,NE Corner Long dec,SE Corner Lat dec,SE Corner Long dec,SW Corner Lat dec,SW Corner Long dec,Display ID,Ordering ID,Download Link
LC81990262016161LGN00, 199, 026, 199, 026,FULL,NADIR,NOMINAL,FINAL,LO8BPF20160609102932_20160609105347.01,LT8BPF20160606063351_20160620173313.01,L8CPF20160401_20160630.03,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2016/06/09,2016:161:10:40:15.2769990,2016:161:10:40:47.0469960,2016/06/23,9,13.96,60.7092966,145.89508177,5.86,4.612,282,4,Y,LPGS_2.6.2,48°51'59.15"N,2°21'55.98"E,49°56'04.34"N,1°25'41.48"E,49°29'01.75"N,3°59'34.69"E,47°46'53.18"N,3°15'24.88"E,48°13'33.24"N,0°46'32.88"E,48.86643,2.36555,49.93454,1.42819,49.48382,3.99297,47.78144,3.25691,48.2259,.7758,LC81990262016161LGN00,LC81990262016161LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC81990262016161LGN00
LC81990262015270LGN00, 199, 026, 199, 026,FULL,NADIR,NOMINAL,N/A,LO8BPF20150927103325_20150927120844.01,LT8BPF20150927102931_20150927120450.01,L8CPF20150701_20150930.02,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2015/09/27,2015:270:10:40:34.2376320,2015:270:10:41:06.0076280,2015/09/27,9,2.04,37.84570775,160.59946324,5.032,6.35,319,-1,Y,LPGS_2.5.1,48°51'59.11"N,2°21'08.68"E,49°56'04.31"N,1°24'53.53"E,49°29'02.22"N,3°58'47.24"E,47°46'53.26"N,3°14'38.36"E,48°13'32.88"N,0°45'45.86"E,48.86642,2.35241,49.93453,1.41487,49.48395,3.97979,47.78146,3.24399,48.2258,.76274,LC81990262015270LGN00,LC81990262015270LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC81990262015270LGN00
LC81990262015254LGN00, 199, 026, 199, 026,FULL,NADIR,NOMINAL,N/A,LO8BPF20150911102944_20150911111534.02,LT8BPF20150911102550_20150911111658.01,L8CPF20150701_20150930.02,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2015/09/11,2015:254:10:40:27.9018640,2015:254:10:40:59.6718600,2015/09/11,9,8.66,43.5132152,156.82148436,5.518,4.879,312,-1,Y,LPGS_2.5.1,48°51'58.68"N,2°21'42.01"E,49°56'03.88"N,1°25'27.41"E,49°29'01.54"N,3°59'20.58"E,47°46'52.86"N,3°15'11.02"E,48°13'32.70"N,0°46'19.02"E,48.8663,2.36167,49.93441,1.42428,49.48376,3.98905,47.78135,3.25306,48.22575,.77195,LC81990262015254LGN00,LC81990262015254LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC81990262015254LGN00
LC81990262015222LGN00, 199, 026, 199, 026,FULL,NADIR,NOMINAL,N/A,LO8BPF20150810102930_20150810111120.01,LT8BPF20150810102536_20150810111244.01,L8CPF20150701_20150930.02,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2015/08/10,2015:222:10:40:13.7861190,2015:222:10:40:45.5561150,2015/08/10,9,17.55,53.32009315,148.59740569,5.13,4.1,261,-1,Y,LPGS_2.5.1,48°51'58.90"N,2°22'25.54"E,49°56'04.38"N,1°26'11.83"E,49°29'01.68"N,4°00'03.92"E,47°46'52.79"N,3°15'53.57"E,48°13'32.95"N,0°47'02.62"E,48.86636,2.37376,49.93455,1.43662,49.4838,4.00109,47.78133,3.26488,48.22582,.78406,LC81990262015222LGN00,LC81990262015222LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC81990262015222LGN00
LC81990262015158LGN00, 199, 026, 199, 026,FULL,NADIR,NOMINAL,N/A,LO8BPF20150607102906_20150607105319.02,LT8BPF20150607102509_20150607105413.02,L8CPF20150401_20150630.03,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2015/06/07,2015:158:10:39:46.5194740,2015:158:10:40:18.2894710,2015/06/07,9,3.15,60.48969897,146.10359716,4.896,4.476,404,2,Y,LPGS_2.5.1,48°51'59.18"N,2°21'33.80"E,49°56'04.74"N,1°25'19.96"E,49°29'01.46"N,3°59'12.80"E,47°46'52.93"N,3°15'01.80"E,48°13'33.67"N,0°46'10.09"E,48.86644,2.35939,49.93465,1.42221,49.48374,3.98689,47.78137,3.2505,48.22602,.76947,LC81990262015158LGN00,LC81990262015158LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC81990262015158LGN00
LC81990262015110LGN00, 199, 026, 199, 026,FULL,NADIR,NOMINAL,N/A,LO8BPF20150420102916_20150420111302.02,LT8BPF20150420102522_20150420111355.02,L8CPF20150401_20150630.01,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2015/04/20,2015:110:10:39:56.2470140,2015:110:10:40:28.0170100,2015/04/20,9,3.43,50.08130865,152.80471488,5.382,4.815,-1,2,Y,LPGS_2.4.0,48°51'59.15"N,2°16'53.22"E,49°56'01.97"N,1°20'33.25"E,49°29'05.96"N,3°54'27.90"E,47°46'55.52"N,3°10'27.59"E,48°13'29.21"N,0°41'34.44"E,48.86643,2.28145,49.93388,1.34257,49.48499,3.90775,47.78209,3.17433,48.22478,.6929,LC81990262015110LGN00,LC81990262015110LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC81990262015110LGN00
LC81990262014315LGN00, 199, 026, 199, 026,FULL,NADIR,NOMINAL,N/A,LO8BPF20141111103454_20141111121411.01,LT8BPF20141111103101_20141111112111.02,L8CPF20141001_20141231.01,L8RLUT20130211_20431231v09.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2014/11/11,2014:315:10:40:48.0465810,2014:315:10:41:19.8165780,2014/11/11,9,6.68,22.79971539,166.12550775,4.944,7.86,-1,2,Y,LPGS_2.4.0,48°51'58.32"N,2°20'09.82"E,49°56'02.69"N,1°23'53.09"E,49°29'02.76"N,3°57'46.84"E,47°46'53.29"N,3°13'40.73"E,48°13'30.83"N,0°44'48.26"E,48.8662,2.33606,49.93408,1.39808,49.4841,3.96301,47.78147,3.22798,48.22523,.74674,LC81990262014315LGN00,LC81990262014315LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC81990262014315LGN00
LC81990262014251LGN00, 199, 026, 199, 026,FULL,NADIR,NOMINAL,N/A,LO8BPF20140908102827_20140908111548.02,LT8BPF20140908102433_20140908111641.01,L8CPF20140701_20140930.01,L8RLUT20130211_20431231v09.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2014/09/08,2014:251:10:40:42.4139910,2014:251:10:41:14.1839870,2014/09/08,9,1.52,44.64241613,156.10491879,5.143,4.842,-1,2,Y,LPGS_2.4.0,48°51'58.86"N,2°21'11.95"E,49°56'03.88"N,1°24'57.28"E,49°29'02.51"N,3°58'49.51"E,47°46'53.29"N,3°14'41.03"E,48°13'32.16"N,0°45'50.04"E,48.86635,2.35332,49.93441,1.41591,49.48403,3.98042,47.78147,3.24473,48.2256,.7639,LC81990262014251LGN00,LC81990262014251LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC81990262014251LGN00
LC81990262014139LGN00, 199, 026, 199, 026,FULL,NADIR,NOMINAL,N/A,LO8BPF20140519102925_20140519111111.02,LT8BPF20140519102531_20140519111204.02,L8CPF20140401_20140630.01,L8RLUT20130211_20431231v09.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2014/05/19,2014:139:10:40:04.9747140,2014:139:10:40:36.7447100,2014/05/19,9,.06,58.15995245,149.22507274,5.138,4.577,-1,1,Y,LPGS_2.3.0,48°51'58.93"N,2°21'19.91"E,49°56'04.27"N,1°25'05.66"E,49°29'01.68"N,3°58'58.44"E,47°46'52.90"N,3°14'48.48"E,48°13'32.95"N,0°45'56.92"E,48.86637,2.35553,49.93452,1.41824,49.4838,3.9829,47.78136,3.2468,48.22582,.76581,LC81990262014139LGN00,LC81990262014139LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC81990262014139LGN00
LC81990262014107LGN00, 199, 026, 199, 026,FULL,NADIR,NOMINAL,N/A,LO8BPF20140417103324_20140417111140.01,LT8BPF20140417102930_20140417111233.01,L8CPF20140401_20140630.01,L8RLUT20130211_20431231v09.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2014/04/17,2014:107:10:40:29.3146750,2014:107:10:41:01.0846710,2014/04/17,9,2.63,49.17501737,153.28280511,5.234,4.391,-1,1,Y,LPGS_2.3.0,48°51'58.61"N,2°18'47.84"E,49°56'00.78"N,1°22'24.71"E,49°29'06.07"N,3°56'22.45"E,47°46'55.63"N,3°12'24.95"E,48°13'28.09"N,0°43'28.74"E,48.86628,2.31329,49.93355,1.37353,49.48502,3.93957,47.78212,3.20693,48.22447,.72465,LC81990262014107LGN00,LC81990262014107LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC81990262014107LGN00
