INDEX,LIBMIN,PMUN15,SURFACE,DENSITE
1,Anvers,515105,204.51,2518.72769058
2,Gand,253948,156.18,1625.99564605
3,Charleroi,202906,102.08,1987.71551724
4,Liège,197419,69.39,2845.06413028
5,VilledeBruxelles,178357,32.61,5469.39589083
6,Schaerbeek,131573,8.14,16163.7592138
7,Bruges,118184,138.40,853.930635838
8,Anderlecht,117184,17.74,6605.63697858
9,Namur,111166,175.69,632.739484319
10,Louvain,98404,56.63,1737.6655483
11,Molenbeek-Saint-Jean,96266,5.89,16343.9728353
12,Mons,95379,146.53,650.917900771
13,Ixelles,85280,6.34,13451.1041009
14,Malines,84244,65.19,1292.28409265
15,Alost,83920,78.12,1074.24475166
16,Uccle,81506,22.91,3557.6604103
17,LaLouvière,80514,64.24,1253.33125778
18,Hasselt,76468,102.24,747.926447574
19,Courtrai,75549,80.02,944.126468383
20,Saint-Nicolas,74745,83.80,891.945107399
21,Ostende,70734,37.72,1875.23860021
22,Tournai,69762,213.75,326.371929825
23,Genk,65521,87.85,745.828116107
24,Seraing,64336,35.34,1820.48670062
25,Roulers,60735,59.79,1015.80531862
26,Mouscron,57120,40.08,1425.1497006
27,Verviers,55746,33.07,1685.69700635
28,Forest,55113,6.25,8818.08
29,Woluwe-Saint-Lambert,53986,7.22,7477.28531856
30,Jette,50999,5.04,10118.8492063
31,Saint-Gilles,50449,2.52,20019.4444444
32,Beveren,47460,150.18,316.02077507
33,Etterbeek,47026,3.15,14928.8888889
34,Termonde,45021,55.67,808.71205317
35,Beringen,44901,78.30,573.448275862
36,Turnhout,42719,56.06,762.022832679
37,Vilvorde,42461,21.48,1976.76908752
38,Heist-op-den-Berg,41853,86.46,484.073560028
39,Dilbeek,41314,41.18,1003.2540068
40,Woluwe-Saint-Pierre,41186,8.85,4653.78531073
41,Lokeren,40513,67.50,600.192592593
42,Saint-Trond,40303,106.90,377.015902713
43,Braine-l'Alleud,39736,52.12,762.39447429
44,Herstal,39955,23.54,1697.32370433
45,Geel,38879,109.85,353.928083751
46,Evere,38645,5.02,7698.20717131
47,Hal,38057,44.40,857.13963964
48,Ninove,38008,72.57,523.742593358
49,Maasmechelen,37575,76.28,492.593078133
50,Brasschaat,37560,38.49,975.837879969
51,Waregem,37384,44.34,843.121335138
52,Grimbergen,36606,38.61,948.096348096
53,Châtelet,36383,27.03,1346.02293748
54,Mol,35752,114.26,312.900402591
55,Ypres,35071,130.61,268.516958885
56,Lierre,34675,49.70,697.6861167
57,Evergem,34574,75.04,460.740938166
58,Tirlemont,34005,71.77,473.805211091
59,Schoten,34004,29.55,1150.72758037
60,Lommel,33908,102.37,331.229852496
61,Wavre,33625,41.80,804.425837321
62,Leeuw-Saint-Pierre,33315,40.38,825.037147103
63,Knokke-Heist,33314,56.44,590.2551382
64,Binche,33284,60.66,548.697659083
65,Grammont,33070,79.71,414.878936144
