INDEX,LIBMIN,1846-Hab.,1900-Hab.,1947-Hab.,2000-Hab.,2012-Hab.,PMUN15,SURFACE,DENSITE,LAT,LONG
1,Anvers,118682,383557,526396,446525,502604,515105,204.51,2519,51.2194475,4.4024643
2,Gand,128828,222895,254216,224180,248242,253948,156.18,1626,51.0543422,3.7174243
3,Charleroi,54694,198837,233737,200827,203871,202906,102.08,1988,50.4108095,4.444643
4,Liège,89943,206384,231502,185639,195576,197419,69.39,2845,50.6325574,5.5796662
5,VilledeBruxelles,129680,218623,184838,133859,166497,178357,32.61,5469,50.8503396,4.3517103
6,Schaerbeek,6211,63508,123671,105692,127747,131573,8.14,16164,50.8674164,4.3772981
7,Bruges,60855,70277,93062,116246,117170,118184,138.40,854,51.209348,3.2246995
8,Anderlecht,5966,47929,86412,87812,111279,117184,17.74,6606,50.8365808,4.308187
9,Namur,42529,62427,77584,105419,110096,111166,175.69,633,50.4673883,4.8719854
10,Louvain,35334,58523,67322,88014,97656,98404,56.63,1738,50.8798438,4.7005176
11,Molenbeek-Saint-Jean,12065,58445,63922,71219,93893,96266,5.89,16344,50.8522009,4.3303277
12,Mons,52106,77263,84072,90935,93072,95379,146.53,651,50.4542408,3.956659
13,Ixelles,14251,58615,90711,73174,83425,85280,6.34,13451,50.8333432,4.3666294
14,Malines,36915,64781,72232,75438,82325,84244,65.19,1292,51.0258761,4.4775362
15,Alost,32910,50500,73147,76313,81853,83920,78.12,1074,50.9378101,4.0409517
16,Uccle,6372,18034,56156,74221,79610,81506,22.91,3558,50.8023982,4.34067
17,LaLouvière,16726,57594,73901,76568,78774,80514,64.24,1163,50.4747995,4.1837388
18,Hasselt,15229,20812,41301,68058,74588,76468,102.24,748,50.93069,5.33248
19,Courtrai,35144,50540,65179,74790,75219,75549,80.02,944,50.8194776,3.2577263
20,Saint-Nicolas,29966,42672,57846,68290,72883,74745,83.80,892,51.1558839,4.154441
21,Ostende,16022,41547,56514,67279,70284,70734,37.72,1875,51.21543,2.928656
22,Tournai,65609,70343,68443,67379,69593,69762,213.75,326,50.6056475,3.3879338
23,Genk,1776,2537,33858,62842,65264,65521,87.85,746,50.96613,5.5021
24,Seraing,17236,63068,77219,60557,63575,64336,35.34,1820,50.5838832,5.4996297
25,Roulers,21563,33688,44011,54199,58823,60735,59.79,1016,50.9499087,3.1294471
26,Mouscron,13713,28773,52245,52492,56011,57120,40.08,1425,50.7459126,3.2192907
27,Verviers,34463,69094,60634,53148,55936,55746,33.07,1686,50.5910564,5.8655951
28,Forest,1324,9509,47370,45555,53312,55113,6.25,8818,50.8134333,4.3248344
29,Woluwe-Saint-Lambert,1182,3468,26344,46528,51871,53986,7.22,7477,50.8489094,4.4320883
30,Jette,1981,10053,29484,39749,48805,50999,5.04,10119,50.8808582,4.3227894
31,Saint-Gilles,4138,51763,61396,42458,49492,50449,2.52,20019,50.8301436,4.3402184
32,Beveren,24723,29847,35829,44977,46752,47460,150.18,316,51.2132494,4.2581649
33,Etterbeek,3084,20838,50040,39404,45502,47026,3.15,14928,50.832578,4.3889939
34,Termonde,20184,28937,38832,43137,44484,45021,55.67,809,51.025477,4.1019516
35,Beringen,7881,7495,19794,39261,43661,44901,78.30,801,51.04793,5.21862
