Landsat Scene Identifier,WRS Path,WRS Row,Target WRS Path,Target WRS Row,Full or Partial Scene,Nadir/Off Nadir,Data Category,TIRS SSM Model,Bias Parameter File Name OLI,Bias Parameter File Name TIRS,Calibration Parameter File,RLUT File Name,Roll Angle,Station Identifier,Day/Night,Data Type Level 1,Sensor Identifier,Date Acquired,Start Time,Stop Time,Date L1 Generated,Image Quality,Scene Cloud Cover,Sun Elevation,Sun Azimuth,Geometric RMSE Model X,Geometric RMSE Model Y,Ground Control Points Model,Ground Control Points Version,Browse Exists,Processing Software Version,Center Latitude,Center Longitude,NW Corner Lat,NW Corner Long,NE Corner Lat,NE Corner Long,SE Corner Lat,SE Corner Long,SW Corner Lat,SW Corner Long,Center Latitude dec,Center Longitude dec,NW Corner Lat dec,NW Corner Long dec,NE Corner Lat dec,NE Corner Long dec,SE Corner Lat dec,SE Corner Long dec,SW Corner Lat dec,SW Corner Long dec,Display ID,Ordering ID,Download Link
LC81960282016252LGN00, 196, 028, 196, 028,FULL,NADIR,NOMINAL,PRELIMINARY,LO8BPF20160908101506_20160908105720.01,LT8BPF20160902083306_20160902084122.01,L8CPF20160701_20160930.02,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2016/09/08,2016:252:10:23:02.2770520,2016:252:10:23:34.0470490,2016/09/08,9,1.4,46.62192698,153.90158905,4.406,4.116,544,4,Y,LPGS_2.6.2,46°01'46.78"N,5°53'17.81"E,47°05'34.87"N,4°59'21.91"E,46°39'32.18"N,7°25'08.08"E,44°56'59.89"N,6°44'49.42"E,45°22'45.98"N,4°23'24.68"E,46.02966,5.88828,47.09302,4.98942,46.65894,7.41891,44.94997,6.74706,45.37944,4.39019,LC81960282016252LGN00,LC81960282016252LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC81960282016252LGN00
LC81960282016236LGN00, 196, 028, 196, 028,FULL,NADIR,NOMINAL,FINAL,LO8BPF20160823101126_20160823105451.01,LT8BPF20160818225656_20160902083306.01,L8CPF20160701_20160930.02,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2016/08/23,2016:236:10:22:57.1355260,2016:236:10:23:28.9055230,2016/09/08,9,.21,51.64766328,149.15414741,4.035,4.103,548,4,Y,LPGS_2.6.2,46°01'47.46"N,5°53'44.92"E,47°05'35.77"N,4°59'49.09"E,46°39'32.87"N,7°25'35.00"E,44°57'00.65"N,6°45'16.09"E,45°22'46.88"N,4°23'51.61"E,46.02985,5.89581,47.09327,4.99697,46.65913,7.42639,44.95018,6.75447,45.37969,4.39767,LC81960282016236LGN00,LC81960282016236LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC81960282016236LGN00
LC81960282016220LGN00, 196, 028, 196, 028,FULL,NADIR,NOMINAL,FINAL,LO8BPF20160807101120_20160807103559.02,LT8BPF20160803085042_20160818203550.01,L8CPF20160701_20160930.02,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2016/08/07,2016:220:10:22:51.0427080,2016:220:10:23:22.8127050,2016/08/25,9,2.08,55.95417731,144.59068679,4.265,4.369,510,4,Y,LPGS_2.6.2,46°01'46.92"N,5°54'12.74"E,47°05'35.27"N,5°00'17.68"E,46°39'32.22"N,7°26'02.72"E,44°56'59.89"N,6°45'43.34"E,45°22'46.27"N,4°24'19.69"E,46.0297,5.90354,47.09313,5.00491,46.65895,7.43409,44.94997,6.76204,45.37952,4.40547,LC81960282016220LGN00,LC81960282016220LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC81960282016220LGN00
LC81950282015354LGN00, 195, 028, 195, 028,FULL,NADIR,NOMINAL,N/A,LO8BPF20151220101202_20151220105505.01,LT8BPF20151211180214_20151225175916.04,L8CPF20151001_20151231.05,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2015/12/20,2015:354:10:16:47.0801060,2015:354:10:17:18.8501030,2016/01/28,9,8.79,18.71785797,162.90183307,5.5,6.897,319,3,Y,LPGS_2.6.0,46°01'47.78"N,7°25'12.43"E,47°05'35.45"N,6°31'15.42"E,46°39'34.09"N,8°57'01.73"E,44°57'01.40"N,8°16'44.80"E,45°22'46.16"N,5°55'19.99"E,46.02994,7.42012,47.09318,6.52095,46.65947,8.95048,44.95039,8.27911,45.37949,5.92222,LC81950282015354LGN00,LC81950282015354LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC81950282015354LGN00
LC81950282015242LGN00, 195, 028, 195, 028,FULL,NADIR,NOMINAL,N/A,LO8BPF20150830100456_20150830104933.02,LT8BPF20150830100102_20150830105058.02,L8CPF20150701_20150930.02,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2015/08/30,2015:242:10:16:26.7797750,2015:242:10:16:58.5497710,2015/08/30,9,2.5,49.73309297,150.90353619,4.296,4.472,563,-1,Y,LPGS_2.5.1,46°01'46.09"N,7°26'47.44"E,47°05'34.62"N,6°32'52.94"E,46°39'31.21"N,8°58'37.56"E,44°56'58.88"N,8°18'17.53"E,45°22'45.66"N,5°56'54.24"E,46.02947,7.44651,47.09295,6.54804,46.65867,8.9771,44.94969,8.30487,45.37935,5.9484,LC81950282015242LGN00,LC81950282015242LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC81950282015242LGN00
LC81960282015233LGN00, 196, 028, 196, 028,FULL,NADIR,NOMINAL,N/A,LO8BPF20150821101104_20150821105429.01,LT8BPF20150821100710_20150821105552.01,L8CPF20150701_20150930.02,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2015/08/21,2015:233:10:22:34.8244580,2015:233:10:23:06.5944550,2015/08/21,9,1.64,52.41068421,148.19884985,4.152,4.074,550,-1,Y,LPGS_2.5.1,46°01'47.50"N,5°53'55.39"E,47°05'36.06"N,5°00'00.68"E,46°39'32.54"N,7°25'45.77"E,44°57'00.32"N,6°45'25.78"E,45°22'47.17"N,4°24'02.02"E,46.02986,5.89872,47.09335,5.00019,46.65904,7.42938,44.95009,6.75716,45.37977,4.40056,LC81960282015233LGN00,LC81960282015233LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC81960282015233LGN00
LC81960282015217LGN00, 196, 028, 196, 028,FULL,NADIR,NOMINAL,N/A,LO8BPF20150805101055_20150805103511.01,LT8BPF20150805100701_20150805103713.01,L8CPF20150701_20150930.01,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2015/08/05,2015:217:10:22:26.6278520,2015:217:10:22:58.3978480,2015/08/05,9,.32,56.57242595,143.73479625,4.108,4.23,540,-1,Y,LPGS_2.5.1,46°01'46.24"N,5°54'22.64"E,47°05'34.84"N,5°00'28.44"E,46°39'31.14"N,7°26'12.95"E,44°56'58.96"N,6°45'52.63"E,45°22'45.91"N,4°24'29.48"E,46.02951,5.90629,47.09301,5.0079,46.65865,7.43693,44.94971,6.76462,45.37942,4.40819,LC81960282015217LGN00,LC81960282015217LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC81960282015217LGN00
LC81960282015201LGN00, 196, 028, 196, 028,FULL,NADIR,NOMINAL,N/A,LO8BPF20150720101053_20150720103508.01,LT8BPF20150720100659_20150720103604.01,L8CPF20150701_20150930.01,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2015/07/20,2015:201:10:22:24.0412040,2015:201:10:22:55.8112000,2015/07/20,9,5.1,59.80984418,140.4069512,4.636,4.507,505,-1,Y,LPGS_2.5.1,46°01'47.78"N,5°53'14.93"E,47°05'36.53"N,4°59'20.26"E,46°39'32.44"N,7°25'05.88"E,44°57'00.29"N,6°44'45.17"E,45°22'47.71"N,4°23'20.94"E,46.02994,5.88748,47.09348,4.98896,46.65901,7.4183,44.95008,6.74588,45.37992,4.38915,LC81960282015201LGN00,LC81960282015201LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC81960282015201LGN00
LC81960282015185LGN00, 196, 028, 196, 028,FULL,NADIR,NOMINAL,N/A,LO8BPF20150704101044_20150704103500.01,LT8BPF20150704082733_20150704103556.01,L8CPF20150701_20150930.01,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2015/07/04,2015:185:10:22:15.4255980,2015:185:10:22:47.1955940,2015/07/04,9,.86,61.950746,138.99638274,4.255,4.563,540,2,Y,LPGS_2.5.1,46°01'46.67"N,5°53'26.34"E,47°05'35.38"N,4°59'31.24"E,46°39'30.92"N,7°25'17.76"E,44°56'59.21"N,6°44'56.98"E,45°22'46.99"N,4°23'31.85"E,46.02963,5.89065,47.09316,4.99201,46.65859,7.4216,44.94978,6.74916,45.37972,4.39218,LC81960282015185LGN00,LC81960282015185LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC81960282015185LGN00
LC81950282015130LGN00, 195, 028, 195, 028,FULL,NADIR,NOMINAL,N/A,LO8BPF20150510100414_20150510104001.01,LT8BPF20150510100021_20150510104055.01,L8CPF20150401_20150630.02,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2015/05/10,2015:130:10:15:42.6096360,2015:130:10:16:14.3796320,2015/05/10,9,7.54,57.97998525,146.80102317,4.905,4.089,511,2,Y,LPGS_2.5.0,46°01'46.81"N,7°22'37.85"E,47°05'32.89"N,6°28'38.35"E,46°39'35.93"N,8°54'24.05"E,44°57'02.02"N,8°14'12.95"E,45°22'42.46"N,5°52'48.79"E,46.02967,7.37718,47.09247,6.47732,46.65998,8.90668,44.95056,8.23693,45.37846,5.88022,LC81950282015130LGN00,LC81950282015130LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC81950282015130LGN00
