Landsat Scene Identifier,WRS Path,WRS Row,Target WRS Path,Target WRS Row,Full or Partial Scene,Nadir/Off Nadir,Data Category,TIRS SSM Model,Bias Parameter File Name OLI,Bias Parameter File Name TIRS,Calibration Parameter File,RLUT File Name,Roll Angle,Station Identifier,Day/Night,Data Type Level 1,Sensor Identifier,Date Acquired,Start Time,Stop Time,Date L1 Generated,Image Quality,Scene Cloud Cover,Sun Elevation,Sun Azimuth,Geometric RMSE Model X,Geometric RMSE Model Y,Ground Control Points Model,Ground Control Points Version,Browse Exists,Processing Software Version,Center Latitude,Center Longitude,NW Corner Lat,NW Corner Long,NE Corner Lat,NE Corner Long,SE Corner Lat,SE Corner Long,SW Corner Lat,SW Corner Long,Center Latitude dec,Center Longitude dec,NW Corner Lat dec,NW Corner Long dec,NE Corner Lat dec,NE Corner Long dec,SE Corner Lat dec,SE Corner Long dec,SW Corner Lat dec,SW Corner Long dec,Display ID,Ordering ID,Download Link
LC82010292015364LGN00, 201, 029, 201, 029,FULL,NADIR,NOMINAL,FINAL,LO8BPF20151230104905_20151230113232.01,LT8BPF20151225202015_20160110080819.04,L8CPF20151001_20151231.05,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2015/12/30,2015:364:10:54:14.2169270,2015:364:10:54:45.9869230,2016/05/19,9,2.45,19.957518,161.11737923,8.058,15.486,21,4,Y,LPGS_2.6.2,44°36'29.16"N,2°21'54.14"W,45°40'09.84"N,3°14'48.88"W,45°14'33.50"N,0°52'36.80"W,43°31'50.77"N,1°31'14.41"W,43°57'13.00"N,3°49'22.48"W,44.6081,-2.36504,45.6694,-3.24691,45.24264,-.87689,43.53077,-1.52067,43.95361,-3.82291,LC82010292015364LGN00,LC82010292015364LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC82010292015364LGN00
LC82010282015364LGN00, 201, 028, 201, 028,FULL,NADIR,NOMINAL,FINAL,LO8BPF20151230104905_20151230113232.01,LT8BPF20151225202015_20160110080819.04,L8CPF20151001_20151231.05,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2015/12/30,2015:364:10:53:50.3301260,2015:364:10:54:22.1001220,2016/05/19,9,8.68,18.70373096,161.67069123,6.498,6.691,176,4,Y,LPGS_2.6.2,46°01'47.03"N,1°50'54.24"W,47°05'34.76"N,2°44'53.02"W,46°39'33.08"N,0°19'03.50"W,44°57'00.68"N,0°59'20.00"W,45°22'45.77"N,3°20'47.94"W,46.02973,-1.8484,47.09299,-2.74806,46.65919,-.31764,44.95019,-.98889,45.37938,-3.34665,LC82010282015364LGN00,LC82010282015364LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC82010282015364LGN00
LC81980292015359LGN00, 198, 029, 198, 029,FULL,NADIR,NOMINAL,N/A,LO8BPF20151225103034_20151225111401.01,LT8BPF20151211180214_20151225175916.04,L8CPF20151001_20151231.05,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2015/12/25,2015:359:10:35:43.0303830,2015:359:10:36:14.8003800,2016/01/29,9,9.73,19.87896492,161.76066282,4.886,7.122,402,3,Y,LPGS_2.6.0,44°36'28.73"N,2°16'07.50"E,45°40'09.34"N,1°23'13.49"E,45°14'32.89"N,3°45'24.52"E,43°31'50.30"N,3°06'46.51"E,43°57'12.60"N,0°48'39.46"E,44.60798,2.26875,45.66926,1.38708,45.24247,3.75681,43.53064,3.11292,43.9535,.81096,LC81980292015359LGN00,LC81980292015359LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC81980292015359LGN00
LC81980282015359LGN00, 198, 028, 198, 028,FULL,NADIR,NOMINAL,N/A,LO8BPF20151225103034_20151225111401.01,LT8BPF20151211180214_20151225175916.04,L8CPF20151001_20151231.05,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2015/12/25,2015:359:10:35:19.1393460,2015:359:10:35:50.9093420,2016/01/29,9,.32,18.61693256,162.30803408,5.754,7.61,335,3,Y,LPGS_2.6.0,46°01'47.32"N,2°47'07.98"E,47°05'35.09"N,1°53'10.00"E,46°39'33.34"N,4°18'58.36"E,44°57'01.01"N,3°38'41.50"E,45°22'46.13"N,1°17'14.68"E,46.02981,2.78555,47.09308,1.88611,46.65926,4.31621,44.95028,3.64486,45.37948,1.28741,LC81980282015359LGN00,LC81980282015359LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC81980282015359LGN00
LC81980272015359LGN00, 198, 027, 198, 027,FULL,NADIR,NOMINAL,N/A,LO8BPF20151225103034_20151225111401.01,LT8BPF20151211180214_20151225175916.04,L8CPF20151001_20151231.05,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2015/12/25,2015:359:10:34:55.2567800,2015:359:10:35:27.0267770,2016/01/29,9,6.94,17.35269038,162.85893545,5.441,7.487,267,3,Y,LPGS_2.6.0,47°26'56.90"N,3°19'26.62"E,48°30'52.67"N,2°24'20.81"E,48°04'22.98"N,4°54'03.53"E,46°22'01.56"N,4°11'57.80"E,46°48'11.88"N,1°46'55.67"E,47.44914,3.32406,48.51463,2.40578,48.07305,4.90098,46.3671,4.19939,46.8033,1.78213,LC81980272015359LGN00,LC81980272015359LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC81980272015359LGN00
LC82000242015357LGN00, 200, 024, 200, 024,FULL,NADIR,NOMINAL,N/A,LO8BPF20151223104255_20151223112623.01,LT8BPF20151211180214_20151225175916.04,L8CPF20151001_20151231.05,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2015/12/23,2015:357:10:46:05.4921790,2015:357:10:46:37.2621750,2016/01/28,9,3.72,13.55294006,164.80076124,6.979,8.905,261,3,Y,LPGS_2.6.0,51°41'35.34"N,2°00'21.17"E,52°45'59.90"N,1°01'34.36"E,52°17'50.21"N,3°44'45.96"E,50°36'08.03"N,2°55'57.40"E,51°03'48.06"N,0°18'34.20"E,51.69315,2.00588,52.76664,1.02621,52.29728,3.7461,50.60223,2.93261,51.06335,.3095,LC82000242015357LGN00,LC82000242015357LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC82000242015357LGN00
LC81930312015356LGN00, 193, 031, 193, 031,FULL,NADIR,NOMINAL,N/A,LO8BPF20151222095940_20151222104555.01,LT8BPF20151211180214_20151225175916.04,L8CPF20151001_20151231.05,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2015/12/22,2015:356:10:05:37.0818820,2015:356:10:06:08.8518790,2016/01/28,9,7.34,22.44587225,161.03776009,12.343,13.815,465,3,Y,LPGS_2.6.0,41°45'33.91"N,9°01'04.33"E,42°49'01.92"N,8°10'13.73"E,42°24'11.63"N,10°25'43.28"E,40°41'10.25"N,9°49'56.71"E,41°05'50.75"N,7°37'59.59"E,41.75942,9.01787,42.8172,8.17048,42.40323,10.42869,40.68618,9.83242,41.09743,7.63322,LC81930312015356LGN00,LC81930312015356LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC81930312015356LGN00
LC81950282015354LGN00, 195, 028, 195, 028,FULL,NADIR,NOMINAL,N/A,LO8BPF20151220101202_20151220105505.01,LT8BPF20151211180214_20151225175916.04,L8CPF20151001_20151231.05,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2015/12/20,2015:354:10:16:47.0801060,2015:354:10:17:18.8501030,2016/01/28,9,8.79,18.71785797,162.90183307,5.5,6.897,319,3,Y,LPGS_2.6.0,46°01'47.78"N,7°25'12.43"E,47°05'35.45"N,6°31'15.42"E,46°39'34.09"N,8°57'01.73"E,44°57'01.40"N,8°16'44.80"E,45°22'46.16"N,5°55'19.99"E,46.02994,7.42012,47.09318,6.52095,46.65947,8.95048,44.95039,8.27911,45.37949,5.92222,LC81950282015354LGN00,LC81950282015354LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC81950282015354LGN00
LC81950292015354LGN00, 195, 029, 195, 029,FULL,NADIR,NOMINAL,N/A,LO8BPF20151220101202_20151220105505.01,LT8BPF20151211180214_20151225175916.04,L8CPF20151001_20151231.05,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2015/12/20,2015:354:10:17:10.9711440,2015:354:10:17:42.7411400,2016/01/28,9,10.73,19.98731909,162.35759225,5.015,6.912,492,3,Y,LPGS_2.6.0,44°36'29.02"N,6°54'11.88"E,45°40'09.59"N,6°01'19.24"E,45°14'33.65"N,8°23'27.53"E,43°31'50.88"N,7°44'49.38"E,43°57'12.74"N,5°26'44.95"E,44.60806,6.9033,45.66933,6.02201,45.24268,8.39098,43.5308,7.74705,43.95354,5.44582,LC81950292015354LGN00,LC81950292015354LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC81950292015354LGN00
LC81920322015349LGN00, 192, 032, 192, 032,FULL,NADIR,NOMINAL,N/A,LO8BPF20151215095305_20151215104008.01,LT8BPF20151211180214_20151225175916.04,L8CPF20151001_20151231.05,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2015/12/15,2015:349:09:59:49.4923900,2015:349:10:00:21.2623860,2016/01/27,9,6.66,24.09076977,161.26653286,5.986,7.014,377,3,Y,LPGS_2.6.0,40°19'57.94"N,10°06'13.00"E,41°23'21.41"N,9°16'10.88"E,40°58'48.47"N,11°28'55.85"E,39°15'39.89"N,10°54'24.19"E,39°40'04.87"N,8°44'58.06"E,40.33276,10.10361,41.38928,9.26969,40.98013,11.48218,39.26108,10.90672,39.66802,8.74946,LC81920322015349LGN00,LC81920322015349LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC81920322015349LGN00
