Landsat Scene Identifier,WRS Path,WRS Row,Target WRS Path,Target WRS Row,Full or Partial Scene,Nadir/Off Nadir,Data Category,TIRS SSM Model,Bias Parameter File Name OLI,Bias Parameter File Name TIRS,Calibration Parameter File,RLUT File Name,Roll Angle,Station Identifier,Day/Night,Data Type Level 1,Sensor Identifier,Date Acquired,Start Time,Stop Time,Date L1 Generated,Image Quality,Scene Cloud Cover,Sun Elevation,Sun Azimuth,Geometric RMSE Model X,Geometric RMSE Model Y,Ground Control Points Model,Ground Control Points Version,Browse Exists,Processing Software Version,Center Latitude,Center Longitude,NW Corner Lat,NW Corner Long,NE Corner Lat,NE Corner Long,SE Corner Lat,SE Corner Long,SW Corner Lat,SW Corner Long,Center Latitude dec,Center Longitude dec,NW Corner Lat dec,NW Corner Long dec,NE Corner Lat dec,NE Corner Long dec,SE Corner Lat dec,SE Corner Long dec,SW Corner Lat dec,SW Corner Long dec,Display ID,Ordering ID,Download Link
LC81920302015157LGN00, 192, 030, 192, 030,FULL,NADIR,NOMINAL,N/A,LO8BPF20150606094614_20150606102224.01,LT8BPF20150606094216_20150606102319.01,L8CPF20150401_20150630.03,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2015/06/06,2015:157:09:58:05.5392280,2015:157:09:58:37.3092240,2015/06/06,9,.19,64.11534174,136.48754807,4.9,4.099,592,2,Y,LPGS_2.5.1,43°11'06.00"N,11°03'23.80"E,44°14'40.70"N,10°11'38.29"E,43°49'26.58"N,12°30'15.12"E,42°06'34.63"N,11°53'02.94"E,42°31'36.84"N,9°38'13.45"E,43.185,11.05661,44.24464,10.19397,43.82405,12.5042,42.10962,11.88415,42.5269,9.63707,LC81920302015157LGN00,LC81920302015157LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC81920302015157LGN00
LC81920312015157LGN00, 192, 031, 192, 031,FULL,NADIR,NOMINAL,N/A,LO8BPF20150606094614_20150606102224.01,LT8BPF20150606094216_20150606102319.01,L8CPF20150401_20150630.03,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2015/06/06,2015:157:09:58:29.4345010,2015:157:09:59:01.2044970,2015/06/06,9,.04,64.92728208,133.70136729,4.25,3.883,238,2,Y,LPGS_2.5.1,41°45'33.91"N,10°34'36.30"E,42°49'03.11"N,9°43'46.31"E,42°24'09.65"N,11°59'17.81"E,40°41'08.99"N,11°23'27.85"E,41°05'52.62"N,9°11'28.79"E,41.75942,10.57675,42.81753,9.72953,42.40268,11.98828,40.68583,11.39107,41.09795,9.19133,LC81920312015157LGN00,LC81920312015157LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC81920312015157LGN00
LC81920322015189LGN00, 192, 032, 192, 032,FULL,NADIR,NOMINAL,N/A,LO8BPF20150708094628_20150708102242.01,LT8BPF20150708094234_20150708102337.01,L8CPF20150701_20150930.01,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2015/07/08,2015:189:09:59:10.6715690,2015:189:09:59:42.4415650,2015/07/08,9,.1,64.66459797,128.39154923,4.851,4.902,454,2,Y,LPGS_2.5.1,40°19'57.40"N,10°06'29.59"E,41°23'21.84"N,9°16'29.24"E,40°58'46.31"N,11°29'13.74"E,39°15'38.38"N,10°54'38.88"E,39°40'05.92"N,8°45'13.10"E,40.33261,10.10822,41.3894,9.27479,40.97953,11.48715,39.26066,10.9108,39.66831,8.75364,LC81920322015189LGN00,LC81920322015189LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC81920322015189LGN00
LC81930302015148LGN00, 193, 030, 193, 030,FULL,NADIR,NOMINAL,N/A,LO8BPF20150528095153_20150528112958.01,LT8BPF20150528094759_20150528102921.02,L8CPF20150401_20150630.02,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2015/05/28,2015:148:10:04:08.9200540,2015:148:10:04:40.6900500,2015/05/28,9,.52,63.25987742,138.4946938,4.453,3.816,326,2,Y,LPGS_2.5.1,43°11'05.64"N,9°31'20.10"E,44°14'40.34"N,8°39'35.89"E,43°49'26.44"N,10°58'10.49"E,42°06'34.09"N,10°20'58.13"E,42°31'36.12"N,8°06'10.84"E,43.1849,9.52225,44.24454,8.65997,43.82401,10.96958,42.10947,10.34948,42.5267,8.10301,LC81930302015148LGN00,LC81930302015148LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC81930302015148LGN00
LC81930312015196LGN00, 193, 031, 193, 031,FULL,NADIR,NOMINAL,N/A,LO8BPF20150715095218_20150715102856.01,LT8BPF20150715094824_20150715102952.01,L8CPF20150701_20150930.01,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2015/07/15,2015:196:10:05:01.4359190,2015:196:10:05:33.2059150,2015/07/15,9,.72,63.08467337,132.19124799,4.81,5.237,355,2,Y,LPGS_2.5.1,41°45'34.67"N,9°01'32.95"E,42°49'03.83"N,8°10'44.18"E,42°24'10.84"N,10°26'13.38"E,40°41'09.96"N,9°50'23.32"E,41°05'53.09"N,7°38'26.59"E,41.75963,9.02582,42.81773,8.17894,42.40301,10.43705,40.6861,9.83981,41.09808,7.64072,LC81930312015196LGN00,LC81930312015196LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC81930312015196LGN00
LC81930322015212LGN00, 193, 032, 193, 032,FULL,NADIR,NOMINAL,N/A,LO8BPF20150731080309_20150731113028.01,LT8BPF20150731094829_20150731103059.02,L8CPF20150701_20150930.01,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2015/07/31,2015:212:10:05:29.5052470,2015:212:10:06:01.2752440,2015/07/31,9,.07,61.17906682,133.5660895,5.898,4.826,654,-1,Y,LPGS_2.5.1,40°19'58.84"N,8°34'34.54"E,41°23'23.28"N,7°44'35.48"E,40°58'48.22"N,9°57'17.96"E,39°15'39.82"N,9°22'42.85"E,39°40'06.92"N,7°13'19.09"E,40.33301,8.57626,41.3898,7.74319,40.98006,9.95499,39.26106,9.37857,39.66859,7.22197,LC81930322015212LGN00,LC81930322015212LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC81930322015212LGN00
LC81940262015155LGN00, 194, 026, 194, 026,FULL,NADIR,NOMINAL,N/A,LO8BPF20150604095810_20150604113615.01,LT8BPF20150604095412_20150604103451.01,L8CPF20150401_20150630.03,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2015/06/04,2015:155:10:08:49.9329560,2015:155:10:09:21.7029520,2015/06/04,9,.52,60.2388617,146.57950848,5.655,4.398,438,2,Y,LPGS_2.5.1,48°51'58.28"N,10°05'17.81"E,49°56'03.80"N,9°09'04.86"E,49°29'00.64"N,11°42'56.52"E,47°46'51.92"N,10°58'45.52"E,48°13'32.59"N,8°29'54.96"E,48.86619,10.08828,49.93439,9.15135,49.48351,11.7157,47.78109,10.97931,48.22572,8.4986,LC81940262015155LGN00,LC81940262015155LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC81940262015155LGN00
LC81940272015155LGN00, 194, 027, 194, 027,FULL,NADIR,NOMINAL,N/A,LO8BPF20150604095810_20150604113615.01,LT8BPF20150604095412_20150604103451.01,L8CPF20150401_20150630.03,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2015/06/04,2015:155:10:09:13.8155210,2015:155:10:09:45.5855170,2015/06/04,9,9.37,61.23075424,144.34443496,5.427,4.596,444,2,Y,LPGS_2.5.1,47°26'57.08"N,9°31'28.31"E,48°30'53.96"N,8°36'26.32"E,48°04'21.47"N,11°06'06.08"E,46°22'00.70"N,10°23'55.72"E,46°48'13.75"N,7°58'56.35"E,47.44919,9.52453,48.51499,8.60731,48.07263,11.10169,46.36686,10.39881,46.80382,7.98232,LC81940272015155LGN00,LC81940272015155LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC81940272015155LGN00
LC81940282015219LGN00, 194, 028, 194, 028,FULL,NADIR,NOMINAL,N/A,LO8BPF20150807095834_20150807113640.01,LT8BPF20150807095440_20150807103544.02,L8CPF20150701_20150930.01,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2015/08/07,2015:219:10:10:05.4507560,2015:219:10:10:37.2207520,2015/08/07,9,5.95,56.10147287,144.24666452,4.316,3.475,552,-1,Y,LPGS_2.5.1,46°01'46.85"N,8°59'53.27"E,47°05'35.45"N,8°05'59.17"E,46°39'31.86"N,10°31'43.43"E,44°56'59.53"N,9°51'23.22"E,45°22'46.49"N,7°30'00.29"E,46.02968,8.99813,47.09318,8.09977,46.65885,10.52873,44.94987,9.85645,45.37958,7.50008,LC81940282015219LGN00,LC81940282015219LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC81940282015219LGN00
LC81940292015155LGN00, 194, 029, 194, 029,FULL,NADIR,NOMINAL,N/A,LO8BPF20150604095810_20150604113615.01,LT8BPF20150604095412_20150604103451.01,L8CPF20150401_20150630.03,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2015/06/04,2015:155:10:10:01.5891230,2015:155:10:10:33.3591200,2015/06/04,9,1.2,63.101357,139.51830469,4.796,4.297,579,2,Y,LPGS_2.5.1,44°36'30.06"N,8°28'01.92"E,45°40'11.68"N,7°35'12.05"E,45°14'32.82"N,9°57'19.01"E,43°31'50.81"N,9°18'36.76"E,43°57'15.52"N,7°00'33.52"E,44.60835,8.4672,45.66991,7.58668,45.24245,9.95528,43.53078,9.31021,43.95431,7.00931,LC81940292015155LGN00,LC81940292015155LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC81940292015155LGN00
LC81940302015155LGN00, 194, 030, 194, 030,FULL,NADIR,NOMINAL,N/A,LO8BPF20150604095810_20150604113615.01,LT8BPF20150604095412_20150604103451.01,L8CPF20150401_20150630.03,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2015/06/04,2015:155:10:10:25.4801610,2015:155:10:10:57.2501570,2015/06/04,9,.45,63.97182205,136.9059431,3.766,3.831,375,2,Y,LPGS_2.5.1,43°11'05.03"N,7°58'09.62"E,44°14'39.95"N,7°06'24.37"E,43°49'25.82"N,9°25'00.52"E,42°06'33.44"N,8°47'48.30"E,42°31'35.69"N,6°32'59.53"E,43.18473,7.96934,44.24443,7.10677,43.82384,9.41681,42.10929,8.79675,42.52658,6.54987,LC81940302015155LGN00,LC81940302015155LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC81940302015155LGN00
LC81940312015219LGN00, 194, 031, 194, 031,FULL,NADIR,NOMINAL,N/A,LO8BPF20150807095834_20150807113640.01,LT8BPF20150807095440_20150807103544.02,L8CPF20150701_20150930.01,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2015/08/07,2015:219:10:11:17.1111600,2015:219:10:11:48.8811560,2015/08/07,9,.01,58.89274871,138.15889539,4.94,3.874,53,-1,Y,LPGS_2.5.1,41°45'34.67"N,7°30'12.56"E,42°49'03.68"N,6°39'24.37"E,42°24'11.45"N,8°54'51.80"E,40°41'10.14"N,8°19'02.35"E,41°05'52.55"N,6°07'07.28"E,41.75963,7.50349,42.81769,6.65677,42.40318,8.91439,40.68615,8.31732,41.09793,6.11869,LC81940312015219LGN00,LC81940312015219LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC81940312015219LGN00
