Landsat Scene Identifier,WRS Path,WRS Row,Target WRS Path,Target WRS Row,Full or Partial Scene,Nadir/Off Nadir,Data Category,TIRS SSM Model,Bias Parameter File Name OLI,Bias Parameter File Name TIRS,Calibration Parameter File,RLUT File Name,Roll Angle,Station Identifier,Day/Night,Data Type Level 1,Sensor Identifier,Date Acquired,Start Time,Stop Time,Date L1 Generated,Image Quality,Scene Cloud Cover,Sun Elevation,Sun Azimuth,Geometric RMSE Model X,Geometric RMSE Model Y,Ground Control Points Model,Ground Control Points Version,Browse Exists,Processing Software Version,Center Latitude,Center Longitude,NW Corner Lat,NW Corner Long,NE Corner Lat,NE Corner Long,SE Corner Lat,SE Corner Long,SW Corner Lat,SW Corner Long,Center Latitude dec,Center Longitude dec,NW Corner Lat dec,NW Corner Long dec,NE Corner Lat dec,NE Corner Long dec,SE Corner Lat dec,SE Corner Long dec,SW Corner Lat dec,SW Corner Long dec,Display ID,Ordering ID,Download Link
LC81950282013364LGN00, 195, 028, 195, 028,FULL,NADIR,NOMINAL,N/A,LO8BPF20131230101321_20131230105933.01,LT8BPF20131230100927_20131230110026.01,L8CPF20131001_20131231.04,L8RLUT20130211_20431231v09.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2013/12/30,2013:364:10:18:03.1221530,2013:364:10:18:34.8921490,2014/02/13,9,7.44,18.96830871,161.86145819,6.039,7.303,-1,1,Y,LPGS_2.3.0,46°01'47.42"N,7°23'20.11"E,47°05'33.86"N,6°29'18.10"E,46°39'34.06"N,8°55'10.52"E,44°57'02.23"N,8°14'57.59"E,45°22'45.48"N,5°53'26.77"E,46.02984,7.38892,47.09274,6.48836,46.65946,8.91959,44.95062,8.24933,45.3793,5.89077,LC81950282013364LGN00,LC81950282013364LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC81950282013364LGN00
LC81950292013364LGN00, 195, 029, 195, 029,FULL,NADIR,NOMINAL,N/A,LO8BPF20131230101321_20131230105933.01,LT8BPF20131230100927_20131230110026.01,L8CPF20131001_20131231.04,L8RLUT20130211_20431231v09.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2013/12/30,2013:364:10:18:27.0131900,2013:364:10:18:58.7831860,2014/02/13,9,3.2,20.22457948,161.30715025,4.879,7.053,-1,1,Y,LPGS_2.3.0,44°36'28.94"N,6°52'22.73"E,45°40'08.29"N,5°59'25.08"E,45°14'33.90"N,8°21'39.42"E,43°31'51.82"N,7°43'05.34"E,43°57'12.17"N,5°24'55.04"E,44.60804,6.87298,45.66897,5.9903,45.24275,8.36095,43.53106,7.71815,43.95338,5.41529,LC81950292013364LGN00,LC81950292013364LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC81950292013364LGN00
LC81950302013364LGN00, 195, 030, 195, 030,FULL,NADIR,NOMINAL,N/A,LO8BPF20131230101321_20131230105933.01,LT8BPF20131230100927_20131230110026.01,L8CPF20131001_20131231.04,L8RLUT20130211_20431231v09.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2013/12/30,2013:364:10:18:50.8999910,2013:364:10:19:22.6699870,2014/02/13,9,.8,21.47718629,160.75374259,4.544,6.37,-1,1,Y,LPGS_2.3.0,43°11'04.60"N,6°22'37.27"E,44°14'37.28"N,5°30'43.02"E,43°49'26.98"N,7°49'29.39"E,42°06'35.14"N,7°12'24.77"E,42°31'33.71"N,4°57'26.06"E,43.18461,6.37702,44.24369,5.51195,43.82416,7.82483,42.10976,7.20688,42.52603,4.95724,LC81950302013364LGN00,LC81950302013364LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC81950302013364LGN00
LC81940312013357LGN00, 194, 031, 194, 031,FULL,NADIR,NOMINAL,N/A,LO8BPF20131223100736_20131223105325.01,LT8BPF20131223100342_20131223105418.01,L8CPF20131001_20131231.05,L8RLUT20130211_20150302v10.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2013/12/23,2013:357:10:13:06.5615610,2013:357:10:13:38.3315570,2015/09/18,9,10.05,22.66708106,161.1214442,6.419,6.809,42,1,Y,LPGS_2.5.1,41°45'35.35"N,7°26'50.06"E,42°49'02.17"N,6°35'55.43"E,42°24'13.75"N,8°51'29.27"E,40°41'12.73"N,8°15'46.40"E,41°05'51.47"N,6°03'45.07"E,41.75982,7.44724,42.81727,6.59873,42.40382,8.85813,40.68687,8.26289,41.09763,6.06252,LC81940312013357LGN00,LC81940312013357LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC81940312013357LGN00
LC81930302013350LGN00, 193, 030, 193, 030,FULL,NADIR,NOMINAL,N/A,LO8BPF20131216082213_20131216105853.01,LT8BPF20131216095823_20131216105946.02,L8CPF20131001_20131231.05,L8RLUT20130211_20150302v10.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2013/12/16,2013:350:10:06:35.7877390,2013:350:10:07:07.5577350,2015/04/03,9,.53,21.70005436,162.4834681,5.046,6.857,-1,2,Y,LPGS_2.4.0,43°11'05.57"N,9°28'15.46"E,44°14'38.11"N,8°36'24.95"E,43°49'28.74"N,10°55'04.66"E,42°06'36.29"N,10°17'59.53"E,42°31'33.85"N,8°03'07.24"E,43.18488,9.47096,44.24392,8.60693,43.82465,10.91796,42.11008,10.29987,42.52607,8.05201,LC81930302013350LGN00,LC81930302013350LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC81930302013350LGN00
LC81930312013350LGN00, 193, 031, 193, 031,FULL,NADIR,NOMINAL,N/A,LO8BPF20131216082213_20131216105853.01,LT8BPF20131216095823_20131216105946.02,L8CPF20131001_20131231.05,L8RLUT20130211_20150302v10.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2013/12/16,2013:350:10:06:59.6787760,2013:350:10:07:31.4487720,2015/04/01,9,3.83,22.97091975,161.94021322,5.379,7.436,-1,2,Y,LPGS_2.4.0,41°45'33.98"N,8°59'33.83"E,42°49'00.95"N,8°08'39.52"E,42°24'12.28"N,10°24'13.18"E,40°41'11.18"N,9°48'29.84"E,41°05'50.21"N,7°36'28.66"E,41.75944,8.99273,42.81693,8.14431,42.40341,10.40366,40.68644,9.80829,41.09728,7.60796,LC81930312013350LGN00,LC81930312013350LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC81930312013350LGN00
LC81950302013348LGN00, 195, 030, 195, 030,FULL,NADIR,NOMINAL,N/A,LO8BPF20131214092136_20131214105941.01,LT8BPF20131214101047_20131214110034.01,L8CPF20131001_20131231.05,L8RLUT20130211_20150302v10.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2013/12/14,2013:348:10:18:59.2708400,2013:348:10:19:31.0408360,2015/03/11,9,6.14,21.84842608,162.69237844,4.881,6.232,-1,2,Y,LPGS_2.4.0,43°11'05.32"N,6°22'38.50"E,44°14'38.18"N,5°30'45.83"E,43°49'27.98"N,7°49'29.89"E,42°06'35.78"N,7°12'24.73"E,42°31'34.18"N,4°57'28.19"E,43.18481,6.37736,44.24394,5.51273,43.82444,7.82497,42.10994,7.20687,42.52616,4.95783,LC81950302013348LGN00,LC81950302013348LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC81950302013348LGN00
LC81990262013344LGN00, 199, 026, 199, 026,FULL,NADIR,NOMINAL,N/A,LO8BPF20131210103751_20131210112427.03,LT8BPF20131210103357_20131210112520.02,L8CPF20131001_20131231.05,L8RLUT20130211_20150302v10.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2013/12/10,2013:344:10:42:09.6311860,2013:344:10:42:41.4011820,2015/06/12,9,1.33,17.08680802,165.27039874,5.203,7.627,188,2,Y,LPGS_2.5.1,48°51'59.11"N,2°18'16.88"E,49°56'02.51"N,1°21'57.02"E,49°29'04.56"N,3°55'53.47"E,47°46'54.98"N,3°11'50.93"E,48°13'30.61"N,0°42'55.76"E,48.86642,2.30469,49.93403,1.36584,49.4846,3.93152,47.78194,3.19748,48.22517,.71549,LC81990262013344LGN00,LC81990262013344LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC81990262013344LGN00
LC81990302013344LGN00, 199, 030, 199, 030,FULL,NADIR,NOMINAL,N/A,LO8BPF20131210103751_20131210112427.03,LT8BPF20131210103357_20131210112520.02,L8CPF20131001_20131231.05,L8RLUT20130211_20150302v10.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2013/12/10,2013:344:10:43:45.1699180,2013:344:10:44:16.9399140,2016/01/13,9,2.96,22.22906459,163.07450203,5.56,7.288,347,3,Y,LPGS_2.6.0,43°11'04.81"N,0°11'34.62"E,44°14'38.26"N,0°40'22.12"W,43°49'26.62"N,1°38'30.01"E,42°06'34.78"N,1°01'24.96"E,42°31'34.64"N,1°13'39.47"W,43.18467,.19295,44.24396,-.67281,43.82406,1.64167,42.10966,1.0236,42.52629,-1.22763,LC81990302013344LGN00,LC81990302013344LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC81990302013344LGN00
LC81990282013344LGN00, 199, 028, 199, 028,FULL,NADIR,NOMINAL,N/A,LO8BPF20131210103751_20131210112427.03,LT8BPF20131210103357_20131210112520.02,L8CPF20131001_20131231.05,L8RLUT20130211_20150302v10.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2013/12/10,2013:344:10:42:57.3963160,2013:344:10:43:29.1663120,2015/11/30,9,.61,19.66347189,164.1642802,4.781,7.146,438,1,Y,LPGS_2.5.1,46°01'47.42"N,1°12'18.25"E,47°05'34.26"N,0°18'16.74"E,46°39'34.24"N,2°44'08.92"E,44°57'01.84"N,2°03'55.40"E,45°22'45.34"N,0°17'35.23"W,46.02984,1.20507,47.09285,.30465,46.65951,2.73581,44.95051,2.06539,45.37926,-.29312,LC81990282013344LGN00,LC81990282013344LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC81990282013344LGN00
