LIBMIN,CBS,PROVINCE,PMUN14,DENSITE,SURFACE,LAT,LONG
Aa en Hunze,1680,Drenthe,25243,93,278.88,53.0104848,6.7495285
Aalburg,738,NorthBrabant,12859,253,53.17,51.752595,5.131877
Aalsmeer,358,NorthHolland,30792,1486,32.29,52.2621639,4.7619222
Aalten,197,Gelderland,27030,283,97.03,51.9266666,6.5806785
Achtkarspelen,59,Friesland,28002,274,103.98,53.2103566,6.1535651
Alblasserdam,482,SouthHolland,19822,2216,10.06,51.8703366,4.6702024
Albrandswaard,613,SouthHolland,25044,1143,23.76,51.8556542,4.4014151
Alkmaar,361,NorthHolland,94906,3222,31.2,52.6323813,4.7533754
Almelo,141,Overijssel,72435,1079,69.41,52.3670267,6.6684919
Almere,34,Flevoland,196156,1490,248.77,52.3507849,5.2647016
AlphenaandenRijn,484,SouthHolland,106809,844,132.49,52.1276577,4.6688508
Alphen-Chaam,1723,NorthBrabant,9712,102,93.51,51.5091348,4.8615888
Ameland,60,Friesland,3565,60,268.5,53.440564,5.6587659
Amersfoort,307,Utrecht,150943,2358,63.86,52.1561113,5.3878266
Amstelveen,362,NorthHolland,85135,2011,44.08,52.3114207,4.870087
Amsterdam,363,NorthHolland,810909,4767,219.32,52.3702157,4.8951679
Apeldoorn,200,Gelderland,157535,462,341.15,52.211157,5.9699231
Appingedam,3,Groningen,12049,507,24.58,53.3206783,6.8544218
Arnhem,202,Gelderland,150817,1523,101.54,51.9851034,5.8987296
Assen,106,Drenthe,67209,820,83.45,52.992753,6.5642284
Asten,743,NorthBrabant,16479,234,71.34,51.4029943,5.7440776
Baarle-Nassau,744,NorthBrabant,6617,88,76.21,51.4451366,4.9295231
Baarn,308,Utrecht,24344,749,33.01,52.2131825,5.2864096
Barendrecht,489,SouthHolland,47375,2373,21.73,51.8515088,4.5485809
Barneveld,203,Gelderland,54176,304,176.69,52.1401901,5.5841509
Bedum,5,Groningen,10475,236,44.96,53.3016754,6.5998288
Beek,888,Limburg,16268,783,21.03,50.9393162,5.7956471
