LIBMIN,CBS,PROVINCE,PMUN14,DENSITE,SURFACE
Aa en Hunze ,1680,Drenthe ,25243,93,278.88
Aalburg ,738,North Brabant ,12859,253,53.17 
Aalsmeer ,358,North Holland ,30792,1486,32.29 
Aalten ,197,Gelderland ,27030,283,97.03 
Achtkarspelen ,59,Friesland ,28002,274,103.98 
Alblasserdam ,482,South Holland ,19822,2216,10.06 
Albrandswaard ,613,South Holland ,25044,1143,23.76 
Alkmaar ,361,North Holland ,94906,3222,31.2 
Almelo ,141,Overijssel ,72435,1079,69.41 
Almere ,34,Flevoland ,196156,1490,248.77 
Alphen aan den Rijn ,484,South Holland ,106809,844,132.49 
Alphen-Chaam ,1723,North Brabant ,9712,102,93.51 
Ameland ,60,Friesland ,3565,60,268.5 
Amersfoort ,307,Utrecht ,150943,2358,63.86 
Amstelveen ,362,North Holland ,85135,2011,44.08 
Amsterdam ,363,North Holland ,810909,4767,219.32 
Apeldoorn ,200,Gelderland ,157535,462,341.15 
Appingedam ,3,Groningen ,12049,507,24.58 
Arnhem ,202,Gelderland ,150817,1523,101.54 
Assen ,106,Drenthe ,67209,820,83.45 
Asten ,743,North Brabant ,16479,234,71.34 
Baarle-Nassau ,744,North Brabant ,6617,88,76.21 
Baarn ,308,Utrecht ,24344,749,33.01 
Barendrecht ,489,South Holland ,47375,2373,21.73 
Barneveld ,203,Gelderland ,54176,304,176.69 
Bedum ,5,Groningen ,10475,236,44.96 
Beek ,888,Limburg ,16268,783,21.03 
Beemster ,370,North Holland ,8919,124,72.07 
Beesel ,889,Limburg ,13593,488,29.15 
Bellingwedde ,7,Groningen ,8908,86,110.08 
Berg en Dal ,1945,Gelderland ,18956,428,44.14 
Bergeijk ,1724,North Brabant ,18250,179,101.73 
Bergen (LI) ,893,Limburg ,13230,128,108.48 
Bergen (NH) ,373,North Holland ,30075,316,119.46 
Bergen op Zoom ,748,North Brabant ,66423,826,93.13 
Berkelland ,1859,Gelderland ,44650,174,260.53 
Bernheze ,1721,North Brabant ,29703,332,90.41 
Best ,753,North Brabant ,28594,836,35.1 
Beuningen ,209,Gelderland ,25254,582,47.09 
Beverwijk ,375,North Holland ,40052,2172,20.09 
het Bildt ,63,Friesland ,10633,117,116.48 
De Bilt ,310,Utrecht ,42013,635,67.13 
Binnenmaas ,585,South Holland ,28682,418,75.57 
Bladel ,1728,North Brabant ,19825,260,75.62 
Blaricum ,376,North Holland ,9112,813,15.56 
Bloemendaal ,377,North Holland ,22077,555,45.18 
Bodegraven-Reeuwijk ,1901,South Holland ,32986,434,88.64 
Boekel ,755,North Brabant ,10089,289,34.52 
Ten Boer ,9,Groningen ,7465,165,45.73 
Borger-Odoorn ,1681,Drenthe ,25633,94,277.89 
Borne ,147,Overijssel ,21901,830,26.16 
Borsele ,654,Zeeland ,22592,160,194.52 
Boxmeer ,756,North Brabant ,28135,255,113.84 
Boxtel ,757,North Brabant ,30325,475,64.85 
Breda ,758,North Brabant ,179999,1400,128.68 
Brielle ,501,South Holland ,16306,583,31.14 
Bronckhorst ,1876,Gelderland ,36941,132,286.42 
Brummen ,213,Gelderland ,21169,254,85.01 
Brunssum ,899,Limburg ,28914,1697,17.34 
Bunnik ,312,Utrecht ,14619,391,37.57 
Bunschoten ,313,Utrecht ,20547,664,34.81 
Buren ,214,Gelderland ,25995,193,142.92 
Capelle aan den IJssel ,502,South Holland ,66177,4640,15.4 
Castricum ,383,North Holland ,34244,694,60.37 
Coevorden ,109,Drenthe ,35771,121,299.69 
Cranendonck ,1706,North Brabant ,20388,267,78.05 
Cromstrijen ,611,South Holland ,12748,235,70.33 
Cuijk ,1684,North Brabant ,24780,481,57.07 
Culemborg ,216,Gelderland ,27579,939,31.14 
Dalfsen ,148,Overijssel ,27655,166,166.52 
Dantumadiel ,1891,Friesland ,19035,226,87.53 
Delft ,503,South Holland ,99973,4324,24.06 
Delfzijl ,10,Groningen ,25686,198,227.5 
Deurne ,762,North Brabant ,31669,271,118.36 
Deventer ,150,Overijssel ,98327,752,134.33 
Diemen ,384,North Holland ,25980,2080,14.04 
Dinkelland ,1774,Overijssel ,25937,148,176.82 
Doesburg ,221,Gelderland ,11449,1002,12.96 
Doetinchem ,222,Gelderland ,56350,711,79.66 
Dongen ,766,North Brabant ,25389,861,29.72 
Dongeradeel ,58,Friesland ,24183,145,266.92 
Dordrecht ,505,South Holland ,118716,1504,99.47 
Drechterland ,498,North Holland ,19257,327,80.74 
Drimmelen ,1719,North Brabant ,26705,277,119.43 
Dronten ,303,Flevoland ,40451,121,423.89 
Druten ,225,Gelderland ,18206,482,42.46 
Duiven ,226,Gelderland ,25580,752,35.19 
Echt-Susteren ,1711,Limburg ,31940,312,104.53 
Edam-Volendam ,385,North Holland ,28934,1760,24.78 
Ede ,228,Gelderland ,110657,342,318.62 
Eemnes ,317,Utrecht ,8773,284,33.7 
Eemsmond ,1651,Groningen ,15910,86,543.35 
Eersel ,770,North Brabant ,18201,220,83.33 
Eijsden-Margraten ,1903,Limburg ,24980,323,78.32 
Eindhoven ,772,North Brabant ,220782,2476,88.87 
Elburg ,230,Gelderland ,22658,351,65.91 
Emmen ,114,Drenthe ,108003,324,346.25 
Enkhuizen ,388,North Holland ,18395,1471,116.25 
Enschede ,153,Overijssel ,158542,1121,142.72 
Epe ,232,Gelderland ,32352,208,157.37 
Ermelo ,233,Gelderland ,26080,305,87.33 
Etten-Leur ,777,North Brabant ,42351,760,55.92 
Ferwerderadiel ,1722,Friesland ,8771,90,133.18 
Franekeradeel ,70,Friesland ,20437,200,109.17 
De Fryske Marren ,1940,Friesland ,51223,142,559.93 
Geertruidenberg ,779,North Brabant ,21597,806,29.64 
Geldermalsen ,236,Gelderland ,26339,263,101.73 
Geldrop-Mierlo ,1771,North Brabant ,38854,1247,31.39 
Gemert-Bakel ,1652,North Brabant ,29354,237,123.34 
Gennep ,907,Limburg ,17285,364,50.42 
Giessenlanden ,689,South Holland ,14423,228,65.11 
Gilze en Rijen ,784,North Brabant ,26013,391,65.66 
Goeree-Overflakkee ,1924,South Holland ,48233,184,422.34 
Goes ,664,Zeeland ,36977,398,101.92 
Goirle ,785,North Brabant ,23060,542,42.34 
Gooise Meren ,1942,North Holland ,56687,,
Gorinchem ,512,South Holland ,35252,1855,21.93 
Gouda ,513,South Holland ,70923,4225,18.11 
Grave ,786,North Brabant ,12696,471,28.03 
The Hague ,518,South Holland ,508592,6131,98.12 
Groningen ,14,Groningen ,198108,2474,83.75 
Grootegast ,15,Groningen ,12193,141,87.74 
Gulpen-Wittem ,1729,Limburg ,14492,198,73.35 
Haaksbergen ,158,Overijssel ,24357,233,105.5 
Haaren ,788,North Brabant ,13578,236,58.56 
Haarlem ,392,North Holland ,155205,5195,32.09 
Haarlemmerliede en Spaarnwoude ,393,North Holland ,5547,284,21.19 
Haarlemmermeer ,394,North Holland ,144166,806,185.29 
Halderberge ,1655,North Brabant ,29379,393,75.21 
Hardenberg ,160,Overijssel ,59592,190,317.14 
Harderwijk ,243,Gelderland ,45741,1177,48.27 
Hardinxveld-Giessendam ,523,South Holland ,17736,1043,19.35 
Haren ,17,Groningen ,18790,405,50.73 
Harlingen ,72,Friesland ,15810,633,387.67 
Hattem ,244,Gelderland ,11742,511,24.16 
Heemskerk ,396,North Holland ,39092,1441,31.67 
Heemstede ,397,North Holland ,26320,2848,9.64 
Heerde ,246,Gelderland ,18515,232,80.42 
Heerenveen ,74,Friesland ,49388,273,187.76 
Heerhugowaard ,398,North Holland ,53246,1367,39.99 
Heerlen ,917,Limburg ,88202,1977,45.53 
Heeze-Leende ,1658,North Brabant ,15376,148,105.04 
Heiloo ,399,North Holland ,22626,1211,19.01 
Den Helder ,400,North Holland ,56553,1261,178.8 
Hellendoorn ,163,Overijssel ,35697,259,138.99 
Hellevoetsluis ,530,South Holland ,38918,1250,46.27 
Helmond ,794,North Brabant ,89346,1668,54.75 
Hendrik-Ido-Ambacht ,531,South Holland ,28952,2648,11.9 
Hengelo ,164,Overijssel ,80975,1329,61.83 
's-Hertogenbosch ,796,North Brabant ,143745,1680,91.79 
Heumen ,252,Gelderland ,16342,412,41.54 
Heusden ,797,North Brabant ,43180,547,81.22 
Hillegom ,534,South Holland ,20987,1613,13.48 
Hilvarenbeek ,798,North Brabant ,15082,159,96.49 
Hilversum ,402,North Holland ,86574,1875,46.35 
Hof van Twente ,1735,Overijssel ,34987,167,215.41 
Hollands Kroon ,1911,North Holland ,47501,133,662.2 
Hoogeveen ,118,Drenthe ,54680,430,129.25 
Hoogezand-Sappemeer ,18,Groningen ,34360,521,72.99 
Hoorn ,405,North Holland ,71741,3519,53.25 
Horst aan de Maas ,1507,Limburg ,41718,222,191.92 
Houten ,321,Utrecht ,48427,872,58.99 
Huizen ,406,North Holland ,41239,2629,23.32 
Hulst ,677,Zeeland ,27402,137,251.82 
IJsselstein ,353,Utrecht ,34268,1620,21.68 
Kaag en Braassem ,1884,South Holland ,25758,406,72.24 
Kampen ,166,Overijssel ,51069,355,161.79 
Kapelle ,678,Zeeland ,12508,334,49.63 
Katwijk ,537,South Holland ,62825,2546,31.13 
Kerkrade ,928,Limburg ,46773,2159,22.13 
Koggenland ,1598,North Holland ,22473,278,84.13 
Kollumerland en Nieuwkruisland ,79,Friesland ,12856,118,116.35 
Korendijk ,588,South Holland ,10693,140,100.47 
Krimpen aan den IJssel ,542,South Holland ,28814,3681,8.95 
Krimpenerwaard ,1931,South Holland ,54287,337,161.3 
