Landsat Scene Identifier,WRS Path,WRS Row,Target WRS Path,Target WRS Row,Full or Partial Scene,Nadir/Off Nadir,Data Category,TIRS SSM Model,Bias Parameter File Name OLI,Bias Parameter File Name TIRS,Calibration Parameter File,RLUT File Name,Roll Angle,Station Identifier,Day/Night,Data Type Level 1,Sensor Identifier,Date Acquired,Start Time,Stop Time,Date L1 Generated,Image Quality,Scene Cloud Cover,Sun Elevation,Sun Azimuth,Geometric RMSE Model X,Geometric RMSE Model Y,Ground Control Points Model,Ground Control Points Version,Browse Exists,Processing Software Version,Center Latitude,Center Longitude,NW Corner Lat,NW Corner Long,NE Corner Lat,NE Corner Long,SE Corner Lat,SE Corner Long,SW Corner Lat,SW Corner Long,Center Latitude dec,Center Longitude dec,NW Corner Lat dec,NW Corner Long dec,NE Corner Lat dec,NE Corner Long dec,SE Corner Lat dec,SE Corner Long dec,SW Corner Lat dec,SW Corner Long dec,Display ID,Ordering ID,Download Link
LC81950272013268LGN00, 195, 027, 195, 027,FULL,NADIR,NOMINAL,N/A,LO8BPF20130925100703_20130925104314.02,LT8BPF20130925100309_20130925104407.01,L8CPF20130920_20130930.05,L8RLUT20130211_20431231v09.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2013/09/25,2013:268:10:18:07.3389370,2013:268:10:18:39.1089330,2014/12/19,9,9.96,39.91206929,159.82108822,4.498,4.104,-1,2,Y,LPGS_2.4.0,47°26'57.19"N,7°57'52.02"E,48°30'52.24"N,7°02'44.74"E,48°04'23.34"N,9°32'28.75"E,46°22'02.50"N,8°50'24.43"E,46°48'12.02"N,6°25'21.18"E,47.44922,7.96445,48.51451,7.04576,48.07315,9.54132,46.36736,8.84012,46.80334,6.42255,LC81950272013268LGN00,LC81950272013268LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC81950272013268LGN00
LC81970272013266LGN00, 197, 027, 197, 027,FULL,NADIR,NOMINAL,N/A,LO8BPF20130923101902_20130923104339.01,LT8BPF20130923101508_20130923104432.02,L8CPF20130920_20130930.05,L8RLUT20130211_20150302v10.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2013/09/23,2013:266:10:30:30.3680600,2013:266:10:31:02.1380560,2015/07/06,9,3.15,40.62515978,159.36250309,5.012,5.346,431,2,Y,LPGS_2.5.1,47°26'56.18"N,4°52'14.56"E,48°30'51.37"N,3°57'06.30"E,48°04'22.04"N,6°26'52.51"E,46°22'01.24"N,5°44'48.23"E,46°48'11.27"N,3°19'42.82"E,47.44894,4.87071,48.51427,3.95175,48.07279,6.44792,46.36701,5.74673,46.80313,3.32856,LC81970272013266LGN00,LC81970272013266LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC81970272013266LGN00
LC81970282013266LGN00, 197, 028, 197, 028,FULL,NADIR,NOMINAL,N/A,LO8BPF20130923101902_20130923104339.01,LT8BPF20130923101508_20130923104432.02,L8CPF20130920_20130930.05,L8RLUT20130211_20431231v09.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2013/09/23,2013:266:10:30:54.2463890,2013:266:10:31:26.0163850,2015/03/04,9,10.01,41.84026866,158.34879684,4.141,4.367,-1,2,Y,LPGS_2.4.0,46°01'47.82"N,4°19'57.54"E,47°05'35.05"N,3°25'57.22"E,46°39'33.62"N,5°51'48.67"E,44°57'01.84"N,5°11'33.25"E,45°22'46.67"N,2°50'03.52"E,46.02995,4.33265,47.09307,3.43256,46.65934,5.86352,44.95051,5.19257,45.37963,2.83431,LC81970282013266LGN00,LC81970282013266LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC81970282013266LGN00
LC81950282013252LGN00, 195, 028, 195, 028,FULL,NADIR,NOMINAL,N/A,LO8BPF20130909100711_20130909104322.02,LT8BPF20130909100317_20130909104415.01,L8CPF20130701_20130919.05,L8RLUT20130211_20431231v09.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2013/09/09,2013:252:10:18:39.3430540,2013:252:10:19:11.1130490,2015/02/28,9,15.91,46.67955598,154.59908343,4.637,4.838,-1,2,Y,LPGS_2.4.0,46°01'46.38"N,7°24'19.66"E,47°05'33.54"N,6°30'19.19"E,46°39'31.75"N,8°56'11.00"E,44°57'00.36"N,8°15'55.44"E,45°22'45.55"N,5°54'25.16"E,46.02955,7.40546,47.09265,6.50533,46.65882,8.93639,44.9501,8.2654,45.37932,5.90699,LC81950282013252LGN00,LC81950282013252LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC81950282013252LGN00
LC81940282013245LGN00, 194, 028, 194, 028,FULL,NADIR,NOMINAL,N/A,LO8BPF20130902100102_20130902113907.01,LT8BPF20130902095708_20130902103806.01,L8CPF20130701_20130919.05,L8RLUT20130211_20431231v09.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2013/09/02,2013:245:10:12:30.1390310,2013:245:10:13:01.9090270,2014/12/24,9,19.5,48.97572511,152.56904247,4.76,4.407,-1,2,Y,LPGS_2.4.0,46°01'46.67"N,8°56'56.18"E,47°05'34.01"N,8°02'56.40"E,46°39'32.11"N,10°28'47.32"E,44°57'00.43"N,9°48'31.50"E,45°22'45.80"N,7°27'02.09"E,46.02963,8.94894,47.09278,8.049,46.65892,10.47981,44.95012,9.80875,45.37939,7.45058,LC81940282013245LGN00,LC81940282013245LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC81940282013245LGN00
LC81960272013243LGN00, 196, 027, 196, 027,FULL,NADIR,NOMINAL,N/A,LO8BPF20130831101723_20130831103736.02,LT8BPF20130831101329_20130831103829.01,L8CPF20130701_20130919.05,L8RLUT20130211_20150302v10.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2013/08/31,2013:243:10:24:28.1128110,2013:243:10:24:59.8828070,2015/06/23,9,19.06,48.48548131,153.35925003,5.249,4.889,296,2,Y,LPGS_2.5.1,47°26'57.66"N,6°23'49.34"E,48°30'52.92"N,5°28'41.63"E,48°04'22.98"N,7°58'27.59"E,46°22'02.57"N,7°16'22.51"E,46°48'13.14"N,4°51'17.17"E,47.44935,6.39704,48.5147,5.47823,48.07305,7.97433,46.36738,7.27292,46.80365,4.85477,LC81960272013243LGN00,LC81960272013243LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC81960272013243LGN00
LC81960282013243LGN00, 196, 028, 196, 028,FULL,NADIR,NOMINAL,N/A,LO8BPF20130831101723_20130831103736.02,LT8BPF20130831101329_20130831103829.01,L8CPF20130701_20130919.05,L8RLUT20130211_20431231v09.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2013/08/31,2013:243:10:24:51.9996120,2013:243:10:25:23.7696080,2015/01/21,9,7.17,49.60834897,151.98039343,6.228,5.7,-1,2,Y,LPGS_2.4.0,46°01'47.64"N,5°51'30.96"E,47°05'35.05"N,4°57'30.92"E,46°39'32.98"N,7°23'22.49"E,44°57'01.55"N,6°43'06.42"E,45°22'46.99"N,4°21'36.32"E,46.0299,5.8586,47.09307,4.95859,46.65916,7.38958,44.95043,6.71845,45.37972,4.36009,LC81960282013243LGN00,LC81960282013243LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC81960282013243LGN00
LC81970272013234LGN01, 197, 027, 197, 027,FULL,NADIR,NOMINAL,N/A,LO8BPF20130822102309_20130822110145.02,LT8BPF20130822101915_20130822110238.01,L8CPF20130701_20130919.05,L8RLUT20130211_20150302v10.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2013/08/22,2013:234:10:30:38.5245810,2013:234:10:31:10.2945760,2015/07/06,9,6.74,51.26012666,150.85764787,4.521,4.325,463,2,Y,LPGS_2.5.1,47°26'56.90"N,4°51'29.70"E,48°30'52.34"N,3°56'22.63"E,48°04'22.44"N,6°26'07.51"E,46°22'01.74"N,5°44'02.11"E,46°48'12.31"N,3°18'57.71"E,47.44914,4.85825,48.51454,3.93962,48.0729,6.43542,46.36715,5.73392,46.80342,3.31603,LC81970272013234LGN01,LC81970272013234LGN01,http://earthexplorer.usgs.gov/download/options/4923/LC81970272013234LGN01
LC81970282013234LGN01, 197, 028, 197, 028,FULL,NADIR,NOMINAL,N/A,LO8BPF20130822102309_20130822110145.02,LT8BPF20130822101915_20130822110238.01,L8CPF20130701_20130919.05,L8RLUT20130211_20431231v09.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2013/08/22,2013:234:10:31:02.4113810,2013:234:10:31:34.1813770,2014/12/24,9,.04,52.3403352,149.30635622,3.865,3.98,-1,2,Y,LPGS_2.4.0,46°01'46.78"N,4°19'11.06"E,47°05'34.33"N,3°25'11.71"E,46°39'32.33"N,5°51'02.09"E,44°57'00.50"N,5°10'45.84"E,45°22'45.91"N,2°49'16.86"E,46.02966,4.31974,47.09287,3.41992,46.65898,5.85058,44.95014,5.1794,45.37942,2.82135,LC81970282013234LGN01,LC81970282013234LGN01,http://earthexplorer.usgs.gov/download/options/4923/LC81970282013234LGN01
LC81940282013229LGN00, 194, 028, 194, 028,FULL,NADIR,NOMINAL,N/A,LO8BPF20130817100435_20130817103112.01,LT8BPF20130817100041_20130817103205.01,L8CPF20130701_20130919.05,L8RLUT20130211_20431231v09.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2013/08/17,2013:229:10:12:28.4029620,2013:229:10:13:00.1729580,2014/12/24,9,17.38,53.76273115,147.83789436,4.673,3.808,-1,2,Y,LPGS_2.4.0,46°01'47.53"N,8°57'46.55"E,47°05'35.05"N,8°03'48.96"E,46°39'33.52"N,10°29'36.31"E,44°57'01.30"N,9°49'19.67"E,45°22'46.27"N,7°27'53.64"E,46.02987,8.96293,47.09307,8.0636,46.65931,10.49342,44.95036,9.82213,45.37952,7.4649,LC81940282013229LGN00,LC81940282013229LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC81940282013229LGN00
