Landsat Scene Identifier,WRS Path,WRS Row,Target WRS Path,Target WRS Row,Full or Partial Scene,Nadir/Off Nadir,Data Category,TIRS SSM Model,Bias Parameter File Name OLI,Bias Parameter File Name TIRS,Calibration Parameter File,RLUT File Name,Roll Angle,Station Identifier,Day/Night,Data Type Level 1,Sensor Identifier,Date Acquired,Start Time,Stop Time,Date L1 Generated,Image Quality,Scene Cloud Cover,Sun Elevation,Sun Azimuth,Geometric RMSE Model X,Geometric RMSE Model Y,Ground Control Points Model,Ground Control Points Version,Browse Exists,Processing Software Version,Center Latitude,Center Longitude,NW Corner Lat,NW Corner Long,NE Corner Lat,NE Corner Long,SE Corner Lat,SE Corner Long,SW Corner Lat,SW Corner Long,Center Latitude dec,Center Longitude dec,NW Corner Lat dec,NW Corner Long dec,NE Corner Lat dec,NE Corner Long dec,SE Corner Lat dec,SE Corner Long dec,SW Corner Lat dec,SW Corner Long dec,Display ID,Ordering ID,Download Link
LC81930282013222LGN00, 193, 028, 193, 028,FULL,NADIR,NOMINAL,N/A,LO8BPF20130810095824_20130810101838.01,LT8BPF20130810095430_20130810101931.01,L8CPF20130701_20130919.05,L8RLUT20130211_20431231v09.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2013/08/10,2013:222:10:06:17.4745780,2013:222:10:06:49.2445740,2014/12/23,9,7.27,55.62073341,145.87341487,4.655,4.057,-1,2,Y,LPGS_2.4.0,46°01'46.88"N,10°30'35.21"E,47°05'34.30"N,9°36'38.92"E,46°39'33.30"N,12°02'23.68"E,44°57'00.61"N,11°22'07.03"E,45°22'45.08"N,9°00'43.52"E,46.02969,10.50978,47.09286,9.61081,46.65925,12.03991,44.95017,11.36862,45.37919,9.01209,LC81930282013222LGN00,LC81930282013222LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC81930282013222LGN00
LC81940272013213LGN00, 194, 027, 194, 027,FULL,NADIR,NOMINAL,N/A,LO8BPF20130801100435_20130801103711.02,LT8BPF20130801100041_20130801103804.01,L8CPF20130701_20130919.05,L8RLUT20130211_20431231v09.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2013/08/01,2013:213:10:12:04.0122190,2013:213:10:12:35.7822150,2014/12/24,9,.52,56.78085644,145.58607179,5.282,3.695,-1,2,Y,LPGS_2.4.0,47°26'57.55"N,9°30'23.29"E,48°30'53.17"N,8°35'20.36"E,48°04'24.35"N,11°04'57.76"E,46°22'02.14"N,10°22'51.64"E,46°48'11.66"N,7°57'54.58"E,47.44932,9.50647,48.51477,8.58899,48.07343,11.08271,46.36726,10.38101,46.80324,7.96516,LC81940272013213LGN00,LC81940272013213LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC81940272013213LGN00
LC81940282013213LGN00, 194, 028, 194, 028,FULL,NADIR,NOMINAL,N/A,LO8BPF20130801100435_20130801103711.02,LT8BPF20130801100041_20130801103804.01,L8CPF20130701_20130919.05,L8RLUT20130211_20431231v09.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2013/08/01,2013:213:10:12:27.8947840,2013:213:10:12:59.6647800,2014/12/24,9,5.37,57.76337277,143.60416093,4.38,3.554,-1,2,Y,LPGS_2.4.0,46°01'47.53"N,8°58'04.37"E,47°05'35.41"N,8°04'09.52"E,46°39'34.52"N,10°29'52.15"E,44°57'01.15"N,9°49'34.93"E,45°22'45.48"N,7°28'13.58"E,46.02987,8.96788,47.09317,8.06931,46.65959,10.49782,44.95032,9.82637,45.3793,7.47044,LC81940282013213LGN00,LC81940282013213LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC81940282013213LGN00
LC81950262013156LGN00, 195, 026, 195, 026,FULL,NADIR,NOMINAL,N/A,LO8BPF20130605101051_20130605104321.02,LT8BPF20130605100657_20130605104413.01,L8CPF20130401_20130627.08,L8RLUT20130211_20431231v09.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2013/06/05,2013:156:10:17:54.2025830,2013:156:10:18:23.9986030,2014/12/24,9,13.06,60.77617592,147.33072921,5.228,4.704,-1,2,Y,LPGS_2.4.0,48°51'59.15"N,8°30'09.00"E,49°52'32.63"N,7°32'29.15"E,49°25'32.63"N,10°06'14.36"E,47°50'24.14"N,9°25'08.65"E,48°17'04.06"N,6°56'04.56"E,48.86643,8.5025,49.87573,7.54143,49.42573,10.10399,47.84004,9.41907,48.28446,6.9346,LC81950262013156LGN00,LC81950262013156LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC81950262013156LGN00
LC81950272013156LGN00, 195, 027, 195, 027,FULL,NADIR,NOMINAL,N/A,LO8BPF20130605101051_20130605104321.02,LT8BPF20130605100657_20130605104413.01,L8CPF20130401_20130627.08,L8RLUT20130211_20431231v09.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2013/06/05,2013:156:10:18:18.0936200,2013:156:10:18:47.8896400,2014/12/19,9,5.4,61.78251442,145.07538626,4.919,4.783,-1,2,Y,LPGS_2.4.0,47°26'56.11"N,7°56'21.77"E,48°27'20.52"N,6°59'57.12"E,48°00'51.16"N,9°29'30.41"E,46°25'31.19"N,8°50'17.02"E,46°51'43.38"N,6°25'05.52"E,47.44892,7.93938,48.4557,6.9992,48.01421,9.49178,46.42533,8.83806,46.86205,6.4182,LC81950272013156LGN00,LC81950272013156LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC81950272013156LGN00
LC81950282013204LGN00, 195, 028, 195, 028,FULL,NADIR,NOMINAL,N/A,LO8BPF20130723101043_20130723103121.02,LT8BPF20130723100649_20130723103214.02,L8CPF20130701_20130919.05,L8RLUT20130211_20431231v09.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2013/07/23,2013:204:10:18:36.3278380,2013:204:10:19:08.0978340,2014/12/19,9,12.6,59.60032644,141.75209709,5.376,5.012,-1,2,Y,LPGS_2.4.0,46°01'47.75"N,7°26'00.46"E,47°05'35.77"N,6°32'06.61"E,46°39'35.03"N,8°57'47.66"E,44°57'01.19"N,8°17'30.23"E,45°22'45.34"N,5°56'10.43"E,46.02993,7.43346,47.09327,6.53517,46.65973,8.96324,44.95033,8.29173,45.37926,5.93623,LC81950282013204LGN00,LC81950282013204LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC81950282013204LGN00
LC81960262013195LGN00, 196, 026, 196, 026,FULL,NADIR,NOMINAL,N/A,LO8BPF20130714101719_20130714103733.01,LT8BPF20130714101325_20130714103826.01,L8CPF20130701_20130919.05,L8RLUT20130211_20431231v09.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2013/07/14,2013:195:10:24:00.7059660,2013:195:10:24:32.4759620,2014/11/26,9,.61,59.21266396,144.97451786,4.891,4.888,-1,2,Y,LPGS_2.4.0,48°51'58.97"N,6°58'56.60"E,49°56'03.52"N,6°02'44.63"E,49°29'04.70"N,8°36'30.10"E,47°46'53.76"N,7°52'23.05"E,48°13'30.18"N,5°23'38.65"E,48.86638,6.98239,49.93431,6.04573,49.48464,8.60836,47.7816,7.87307,48.22505,5.39407,LC81960262013195LGN00,LC81960262013195LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC81960262013195LGN00
LC81960272013227LGN00, 196, 027, 196, 027,FULL,NADIR,NOMINAL,N/A,LO8BPF20130815101656_20130815103734.02,LT8BPF20130815101302_20130815103827.02,L8CPF20130701_20130919.05,L8RLUT20130211_20431231v09.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2013/08/15,2013:227:10:24:25.3728650,2013:227:10:24:57.1428610,2015/01/06,9,.09,53.26074213,148.9586485,5.922,6.515,-1,2,Y,LPGS_2.4.0,47°26'56.08"N,6°24'52.20"E,48°30'51.59"N,5°29'46.82"E,48°04'22.22"N,7°59'28.61"E,46°22'00.77"N,7°17'23.24"E,46°48'10.84"N,4°52'21.83"E,47.44891,6.4145,48.51433,5.49634,48.07284,7.99128,46.36688,7.28979,46.80301,4.87273,LC81960272013227LGN00,LC81960272013227LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC81960272013227LGN00
LC81960282013227LGN00, 196, 028, 196, 028,FULL,NADIR,NOMINAL,N/A,LO8BPF20130815101656_20130815103734.02,LT8BPF20130815101302_20130815103827.02,L8CPF20130701_20130919.05,L8RLUT20130211_20431231v09.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2013/08/15,2013:227:10:24:49.2511940,2013:227:10:25:21.0211900,2015/01/08,9,.56,54.30668575,147.26604911,6.221,5.827,-1,2,Y,LPGS_2.4.0,46°01'47.46"N,5°52'34.18"E,47°05'35.05"N,4°58'36.37"E,46°39'33.52"N,7°24'24.05"E,44°57'01.26"N,6°44'07.51"E,45°22'46.24"N,4°22'41.16"E,46.02985,5.87616,47.09307,4.97677,46.65931,7.40668,44.95035,6.73542,45.37951,4.3781,LC81960282013227LGN00,LC81960282013227LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC81960282013227LGN00
LC81970272013202LGN00, 197, 027, 197, 027,FULL,NADIR,NOMINAL,N/A,LO8BPF20130721102304_20130721104342.01,LT8BPF20130721101910_20130721104435.01,L8CPF20130701_20130919.05,L8RLUT20130211_20431231v09.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2013/07/21,2013:202:10:30:33.4077580,2013:202:10:31:05.1777530,2015/02/27,9,.79,59.01974041,143.60610884,4.972,4.7,-1,2,Y,LPGS_2.4.0,47°26'57.34"N,4°53'05.96"E,48°30'53.24"N,3°58'04.58"E,48°04'24.56"N,6°27'39.64"E,46°22'01.74"N,5°45'32.90"E,46°48'11.12"N,3°20'38.18"E,47.44926,4.88499,48.51479,3.96794,48.07349,6.46101,46.36715,5.75914,46.80309,3.34394,LC81970272013202LGN00,LC81970272013202LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC81970272013202LGN00
