LIBMIN,PMUN13,SURFACE,DENSITE,LAT,LONG
Aadorf,8473,19.9,425.1,47.4884348,8.9035411
Aarau,20185,12.3,1637.1,47.390434,8.0457015
Aarberg,4273,7.9,540.2,47.0420553,7.2751012
Aarburg,7233,4.4,1636.4,47.3205914,7.9066923
Aarwangen,4253,9.9,430.9,47.2377902,7.7708422
Abtwil,957,4.2,231.2,47.418687,9.31558
Aclens,532,3.9,136.4,46.5677921,6.5099601
Acquarossa,1862,61.6,30.2,46.4545833,8.939771
Adelboden,3472,88.2,39.4,46.4930889,7.5595123
Adligenswil,5399,7.0,772.4,47.071186,8.3647405
Adlikon,577,6.6,87.6,47.5830535,8.6923294
Adliswil,18262,7.8,2350.3,47.3124347,8.5270459
Aedermannsdorf,549,12.9,42.6,47.3049231,7.6101281
Aefligen,1065,2.1,524.6,47.0954889,7.5576032
Aegerten,1816,2.2,836.9,47.1215095,7.2886279
Aesch(BL),10211,7.4,1381.7,47.4672734,7.5979344
Aesch(LU),1013,4.7,219.3,47.2559244,8.2411615
Aesch(ZH),1184,5.2,226.0,47.3368912,8.4427102
Aeschi(SO),1210,5.4,222.4,47.1792344,7.66213
AeschibeiSpiez,2166,30.9,69.9,46.6582768,7.6963226
AeugstamAlbis,1972,7.9,249.3,47.2677487,8.4852115
Affeltrangen,2415,14.4,167.5,47.5269436,9.030771
AffolternamAlbis,11363,10.6,1071.0,47.2795081,8.4540083
AffolternimEmmental,1153,11.5,100.2,47.0654106,7.734066
Agarn,804,7.7,105.0,46.2958644,7.6667211
Agiez,292,5.5,53.4,46.720125,6.5097535
Agno,4304,2.5,1728.5,45.9969839,8.8993906
Aigle,9892,16.5,602.8,46.3190253,6.970566
Aire-la-Ville,1118,2.9,381.6,46.1905583,6.0428984
Airolo,1556,94.5,16.5,46.5286074,8.6123746
Alberswil,604,3.6,171.1,47.1510987,8.0020094
Albinen,257,15.5,16.6,46.3418241,7.633136
Alchenstorf,574,6.6,87.5,47.1240604,7.6439405
Allaman,403,2.6,155.0,46.4709528,6.3957297
Alle,1718,10.6,162.1,47.4260575,7.1278409
Allmendingen,542,3.8,142.6,46.91469,7.52432
