LIBMIN,PMUN13,SURFACE,DENSITE,LAT,LONG
Aadorf,8473,19.9,425.1,47.4915782,8.9029526
Aarau,20185,12.3,1637.1,47.3927146,8.0444448
Aarberg,4273,7.9,540.2,47.0443346,7.2753004
Aarburg,7233,4.4,1636.4,47.3206417,7.9067
Aarwangen,4253,9.9,430.9,47.239082,7.7701468
Abtwil,957,4.2,231.2,47.1744952,8.3546713
Aclens,532,3.9,136.4,46.5680294,6.51076
Acquarossa,1862,61.6,30.2,46.4550268,8.9422833
Adelboden,3472,88.2,39.4,46.4927213,7.5587618
Adligenswil,5399,7.0,772.4,47.070535,8.368244
Adlikon,577,6.6,87.6,47.5825032,8.6912556
Adliswil,18262,7.8,2350.3,47.3117624,8.52491
Aedermannsdorf,549,12.9,42.6,47.3054512,7.6101111
Aefligen,1065,2.1,524.6,47.0945826,7.5563371
Aegerten,1816,2.2,836.9,47.1202408,7.2884966
Aesch(BL),10211,7.4,1381.7,47.4682447,7.5980395
Aesch(LU),1013,4.7,219.3,47.256949,8.24087
Aesch(ZH),1184,5.2,226.0,47.3355689,8.43539558442
Aeschi(SO),1210,5.4,222.4,47.1804202,7.661874
AeschibeiSpiez,2166,30.9,69.9,46.6582768,7.6963226
AeugstamAlbis,1972,7.9,249.3,47.2677487,8.4852115
Affeltrangen,2415,14.4,167.5,47.5265562,9.0318946
AffolternamAlbis,11363,10.6,1071.0,47.2795081,8.4540083
AffolternimEmmental,1153,11.5,100.2,47.0654106,7.734066
Agarn,804,7.7,105.0,46.2967076,7.6652777
Agiez,292,5.5,53.4,46.7199018,6.508106
Agno,4304,2.5,1728.5,45.9968592,8.9002207
Aigle,9892,16.5,602.8,46.3179006,6.9688929
Aire-la-Ville,1118,2.9,381.6,46.1905919,6.0428776
Airolo,1556,94.5,16.5,46.5290309,8.6086045
Alberswil,604,3.6,171.1,47.1506183,8.0013407
Albinen,257,15.5,16.6,46.3406442,7.6337277
Alchenstorf,574,6.6,87.5,47.1242996,7.6388514
Allaman,403,2.6,155.0,46.4707776,6.396174
Alle,1718,10.6,162.1,47.4258096,7.1291258
Allmendingen,542,3.8,142.6,46.913624,7.521202
Allschwil,20249,8.9,2270.1,47.5517277,7.5361588
Almens,228,8.4,27.3,46.7376677,9.4552325
Alpnach,5811,53.8,108.1,46.9411661,8.2736829
Alpthal,597,22.9,26.1,47.0734939,8.7138911
Altbüron,979,6.8,144.8,47.1815993,7.8826338
Altdorf(UR),9000,10.2,881.5,46.8820732,8.6413922
