Landsat Scene Identifier,WRS Path,WRS Row,Target WRS Path,Target WRS Row,Full or Partial Scene,Nadir/Off Nadir,Data Category,TIRS SSM Model,Bias Parameter File Name OLI,Bias Parameter File Name TIRS,Calibration Parameter File,RLUT File Name,Roll Angle,Station Identifier,Day/Night,Data Type Level 1,Sensor Identifier,Date Acquired,Start Time,Stop Time,Date L1 Generated,Image Quality,Scene Cloud Cover,Sun Elevation,Sun Azimuth,Geometric RMSE Model X,Geometric RMSE Model Y,Ground Control Points Model,Ground Control Points Version,Browse Exists,Processing Software Version,Center Latitude,Center Longitude,NW Corner Lat,NW Corner Long,NE Corner Lat,NE Corner Long,SE Corner Lat,SE Corner Long,SW Corner Lat,SW Corner Long,Center Latitude dec,Center Longitude dec,NW Corner Lat dec,NW Corner Long dec,NE Corner Lat dec,NE Corner Long dec,SE Corner Lat dec,SE Corner Long dec,SW Corner Lat dec,SW Corner Long dec,Display ID,Ordering ID,Download Link
LC81960252015185LGN00, 196, 025, 196, 025,FULL,NADIR,NOMINAL,N/A,LO8BPF20150704101044_20150704103500.01,LT8BPF20150704082733_20150704103556.01,L8CPF20150701_20150930.01,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2015/07/04,2015:185:10:21:03.7609590,2015:185:10:21:35.5309550,2015/07/04,9,.28,59.14216201,145.93671276,4.961,3.801,647,2,Y,LPGS_2.5.1,50°16'52.72"N,7°35'05.32"E,51°21'07.92"N,6°37'37.81"E,50°53'31.52"N,9°15'59.65"E,49°11'35.95"N,8°29'35.09"E,49°38'46.43"N,5°56'36.96"E,50.28131,7.58481,51.3522,6.62717,50.89209,9.26657,49.19332,8.49308,49.64623,5.9436,LC81960252015185LGN00,LC81960252015185LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC81960252015185LGN00
LC81960262015185LGN00, 196, 026, 196, 026,FULL,NADIR,NOMINAL,N/A,LO8BPF20150704101044_20150704103500.01,LT8BPF20150704082733_20150704103556.01,L8CPF20150701_20150930.01,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2015/07/04,2015:185:10:21:27.6519960,2015:185:10:21:59.4219920,2015/07/04,9,.44,60.11562309,143.72719018,4.695,4.397,525,2,Y,LPGS_2.5.1,48°51'58.32"N,6°59'38.40"E,49°56'04.09"N,6°03'24.41"E,49°29'01.00"N,8°37'17.00"E,47°46'52.39"N,7°53'06.43"E,48°13'32.95"N,5°24'14.98"E,48.8662,6.994,49.93447,6.05678,49.48361,8.62139,47.78122,7.88512,48.22582,5.40416,LC81960262015185LGN00,LC81960262015185LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC81960262015185LGN00
LC81970242015192LGN00, 197, 024, 197, 024,FULL,NADIR,NOMINAL,N/A,LO8BPF20150711101636_20150711104116.01,LT8BPF20150711101242_20150711104211.01,L8CPF20150701_20150930.01,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2015/07/11,2015:192:10:26:55.5328600,2015:192:10:27:27.3028560,2015/07/11,9,7.72,57.33346666,148.14131302,5.297,4.34,542,2,Y,LPGS_2.5.1,51°41'35.84"N,6°39'19.30"E,52°46'01.70"N,5°40'35.54"E,52°17'48.91"N,8°23'45.74"E,50°36'07.52"N,7°34'52.32"E,51°03'50.54"N,4°57'30.35"E,51.69329,6.65536,52.76714,5.67654,52.29692,8.39604,50.60209,7.5812,51.06404,4.95843,LC81970242015192LGN00,LC81970242015192LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC81970242015192LGN00
LC81970252015192LGN00, 197, 025, 197, 025,FULL,NADIR,NOMINAL,N/A,LO8BPF20150711101636_20150711104116.01,LT8BPF20150711101242_20150711104211.01,L8CPF20150701_20150930.01,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2015/07/11,2015:192:10:27:19.4238970,2015:192:10:27:51.1938930,2015/07/11,9,.23,58.34144007,146.07818827,5.159,4.312,578,2,Y,LPGS_2.5.1,50°16'51.10"N,6°02'04.49"E,51°21'06.19"N,5°04'37.20"E,50°53'29.76"N,7°42'58.79"E,49°11'34.30"N,6°56'34.22"E,49°38'44.77"N,4°23'36.31"E,50.28086,6.03458,51.35172,5.077,50.8916,7.71633,49.19286,6.94284,49.64577,4.39342,LC81970252015192LGN00,LC81970252015192LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC81970252015192LGN00
LC81970262015192LGN00, 197, 026, 197, 026,FULL,NADIR,NOMINAL,N/A,LO8BPF20150711101636_20150711104116.01,LT8BPF20150711101242_20150711104211.01,L8CPF20150701_20150930.01,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2015/07/11,2015:192:10:27:43.3022260,2015:192:10:28:15.0722220,2015/07/11,9,.19,59.31759514,143.93206373,4.853,4.453,491,2,Y,LPGS_2.5.1,48°51'59.47"N,5°26'38.69"E,49°56'05.06"N,4°30'24.80"E,49°29'01.93"N,7°04'17.51"E,47°46'53.26"N,6°20'06.79"E,48°13'33.89"N,3°51'15.26"E,48.86652,5.44408,49.93474,4.50689,49.48387,7.07153,47.78146,6.33522,48.22608,3.85424,LC81970262015192LGN00,LC81970262015192LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC81970262015192LGN00
LC81980242015215LGN00, 198, 024, 198, 024,FULL,NADIR,NOMINAL,N/A,LO8BPF20150803102253_20150803110530.01,LT8BPF20150803101859_20150803110734.01,L8CPF20150701_20150930.01,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2015/08/03,2015:215:10:33:12.7111410,2015:215:10:33:44.4811370,2015/08/03,9,.84,52.96464372,150.61534281,5.087,4.824,570,-1,Y,LPGS_2.5.1,51°41'34.84"N,5°07'37.67"E,52°46'00.55"N,4°08'54.20"E,52°17'48.41"N,6°52'03.36"E,50°36'06.52"N,6°03'10.55"E,51°03'48.92"N,3°25'49.69"E,51.69301,5.12713,52.76682,4.14839,52.29678,6.8676,50.60181,6.05293,51.06359,3.43047,LC81980242015215LGN00,LC81980242015215LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC81980242015215LGN00
LC81980252015215LGN00, 198, 025, 198, 025,FULL,NADIR,NOMINAL,N/A,LO8BPF20150803102253_20150803110530.01,LT8BPF20150803101859_20150803110734.01,L8CPF20150701_20150930.01,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2015/08/03,2015:215:10:33:36.5894700,2015:215:10:34:08.3594670,2015/08/03,9,.75,54.01895069,148.86683285,4.731,4.483,470,-1,Y,LPGS_2.5.1,50°16'52.36"N,4°30'24.66"E,51°21'07.45"N,3°32'57.84"E,50°53'31.70"N,6°11'18.13"E,49°11'35.63"N,5°24'54.07"E,49°38'45.42"N,2°51'57.46"E,50.28121,4.50685,51.35207,3.5494,50.89214,6.18837,49.19323,5.41502,49.64595,2.86596,LC81980252015215LGN00,LC81980252015215LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC81980252015215LGN00
LC81980262015215LGN00, 198, 026, 198, 026,FULL,NADIR,NOMINAL,N/A,LO8BPF20150803102253_20150803110530.01,LT8BPF20150803101859_20150803110734.01,L8CPF20150701_20150930.01,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2015/08/03,2015:215:10:34:00.4720360,2015:215:10:34:32.2420320,2015/08/03,9,.03,55.04931938,147.06063317,4.818,3.941,380,-1,Y,LPGS_2.5.1,48°51'59.65"N,3°54'58.72"E,49°56'05.06"N,2°58'45.48"E,49°29'02.58"N,5°32'36.89"E,47°46'53.65"N,4°48'26.57"E,48°13'33.60"N,2°19'36.34"E,48.86657,3.91631,49.93474,2.9793,49.48405,5.54358,47.78157,4.80738,48.226,2.32676,LC81980262015215LGN00,LC81980262015215LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC81980262015215LGN00
LC81990242015254LGN00, 199, 024, 199, 024,FULL,NADIR,NOMINAL,N/A,LO8BPF20150911102944_20150911111534.02,LT8BPF20150911102550_20150911111658.01,L8CPF20150701_20150930.02,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2015/09/11,2015:254:10:39:40.1324980,2015:254:10:40:11.9024940,2015/09/11,9,.61,41.13521015,159.11176143,5.581,5.1,376,-1,Y,LPGS_2.5.1,51°41'35.38"N,3°34'20.53"E,52°46'00.95"N,2°35'35.70"E,52°17'48.98"N,5°18'46.69"E,50°36'07.31"N,4°29'54.71"E,51°03'49.57"N,1°52'32.02"E,51.69316,3.57237,52.76693,2.59325,52.29694,5.31297,50.60203,4.49853,51.06377,1.87556,LC81990242015254LGN00,LC81990242015254LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC81990242015254LGN00
LC81990252015254LGN00, 199, 025, 199, 025,FULL,NADIR,NOMINAL,N/A,LO8BPF20150911102944_20150911111534.02,LT8BPF20150911102550_20150911111658.01,L8CPF20150701_20150930.02,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2015/09/11,2015:254:10:40:04.0150630,2015:254:10:40:35.7850590,2015/09/11,9,2.99,42.32941031,157.97424634,5.152,4.985,410,-1,Y,LPGS_2.5.1,50°16'52.14"N,2°57'07.67"E,51°21'06.95"N,1°59'39.66"E,50°53'31.42"N,4°38'01.54"E,49°11'35.59"N,3°51'38.23"E,49°38'45.24"N,1°18'40.03"E,50.28115,2.95213,51.35193,1.99435,50.89206,4.63376,49.19322,3.86062,49.6459,1.31112,LC81990252015254LGN00,LC81990252015254LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC81990252015254LGN00
