INDEX,LIBMIN,PMUN15,SURFACE,DENSITE,LAT,LONG
1,Anvers,515105,204.51,2518.72769058,51.2194475,4.4024643
2,Gand,253948,156.18,1625.99564605,51.0543422,3.7174243
3,Charleroi,202906,102.08,1987.71551724,50.4108095,4.444643
4,Liège,197419,69.39,2845.06413028,50.6325574,5.5796662
5,VilledeBruxelles,178357,32.61,5469.39589083,50.8503396,4.3517103
6,Schaerbeek,131573,8.14,16163.7592138,50.8674164,4.3772981
7,Bruges,118184,138.40,853.930635838,51.209348,3.2246995
8,Anderlecht,117184,17.74,6605.63697858,50.8365808,4.308187
9,Namur,111166,175.69,632.739484319,50.4673883,4.8719854
10,Louvain,98404,56.63,1737.6655483,50.8798438,4.7005176
11,Molenbeek-Saint-Jean,96266,5.89,16343.9728353,50.8522009,4.3303277
12,Mons,95379,146.53,650.917900771,50.4542408,3.956659
13,Ixelles,85280,6.34,13451.1041009,50.8333432,4.3666294
14,Malines,84244,65.19,1292.28409265,51.0258761,4.4775362
15,Alost,83920,78.12,1074.24475166,50.9378101,4.0409517
16,Uccle,81506,22.91,3557.6604103,50.8023982,4.34067
17,LaLouvière,80514,64.24,1253.33125778,50.4747995,4.1837388
18,Hasselt,76468,102.24,747.926447574,50.93069,5.33248
19,Courtrai,75549,80.02,944.126468383,50.8194776,3.2577263
20,Saint-Nicolas,74745,83.80,891.945107399,51.1558839,4.154441
21,Ostende,70734,37.72,1875.23860021,51.21543,2.928656
22,Tournai,69762,213.75,326.371929825,50.6056475,3.3879338
23,Genk,65521,87.85,745.828116107,50.96613,5.5021
24,Seraing,64336,35.34,1820.48670062,50.5838832,5.4996297
25,Roulers,60735,59.79,1015.80531862,50.9499087,3.1294471
26,Mouscron,57120,40.08,1425.1497006,50.7459126,3.2192907
27,Verviers,55746,33.07,1685.69700635,50.5910564,5.8655951
28,Forest,55113,6.25,8818.08,50.8134333,4.3248344
29,Woluwe-Saint-Lambert,53986,7.22,7477.28531856,50.8489094,4.4320883
30,Jette,50999,5.04,10118.8492063,50.8808582,4.3227894
31,Saint-Gilles,50449,2.52,20019.4444444,50.8301436,4.3402184
32,Beveren,47460,150.18,316.02077507,51.2132494,4.2581649
33,Etterbeek,47026,3.15,14928.8888889,50.832578,4.3889939
34,Termonde,45021,55.67,808.71205317,51.025477,4.1019516
35,Beringen,44901,78.30,573.448275862,51.04793,5.21862
36,Turnhout,42719,56.06,762.022832679,51.3216509,4.9375577
37,Vilvorde,42461,21.48,1976.76908752,50.9272511,4.4257868
38,Heist-op-den-Berg,41853,86.46,484.073560028,51.07443,4.72952
39,Dilbeek,41314,41.18,1003.2540068,50.8464506,4.262063
40,Woluwe-Saint-Pierre,41186,8.85,4653.78531073,50.8299809,4.4335038
41,Lokeren,40513,67.50,600.192592593,51.1023413,3.9940663
42,Saint-Trond,40303,106.90,377.015902713,50.8157248,5.1862508
43,Braine-l'Alleud,39736,52.12,762.39447429,50.6853626,4.3779197
44,Herstal,39955,23.54,1697.32370433,50.66618,5.63289
45,Geel,38879,109.85,353.928083751,51.16257,4.99084
46,Evere,38645,5.02,7698.20717131,50.8739353,4.4009421
47,Hal,38057,44.40,857.13963964,50.73757,4.23251
48,Ninove,38008,72.57,523.742593358,50.8336386,4.0188286
49,Maasmechelen,37575,76.28,492.593078133,50.9797558,5.7018474
50,Brasschaat,37560,38.49,975.837879969,51.29227,4.49419
51,Waregem,37384,44.34,843.121335138,50.8868949,3.4231675
52,Grimbergen,36606,38.61,948.096348096,50.9335899,4.3732552
53,Châtelet,36383,27.03,1346.02293748,50.4061,4.52786
54,Mol,35752,114.26,312.900402591,51.191087,5.1170647
55,Ypres,35071,130.61,268.516958885,50.8492265,2.8779388
56,Lierre,34675,49.70,697.6861167,51.1302138,4.5715092
57,Evergem,34574,75.04,460.740938166,51.1099708,3.7067221
58,Tirlemont,34005,71.77,473.805211091,50.81057,4.93622
59,Schoten,34004,29.55,1150.72758037,51.2497532,4.4977063
60,Lommel,33908,102.37,331.229852496,51.2304193,5.3110063
61,Wavre,33625,41.80,804.425837321,50.7158956,4.6128075
62,Leeuw-Saint-Pierre,33315,40.38,825.037147103,50.7798,4.24368
63,Knokke-Heist,33314,56.44,590.2551382,51.34635,3.28586
64,Binche,33284,60.66,548.697659083,50.41218,4.1659
65,Grammont,33070,79.71,414.878936144,50.7707354,3.8751639
66,Menin,33012,33.07,998.246144542,50.7962915,3.121342
67,Heusden-Zolder,32977,53.23,619.519068195,51.0384819,5.2904127
68,Auderghem,32922,9.03,3645.84717608,50.8164064,4.4265181
69,Bilzen,31752,75.90,418.339920949,50.8718971,5.5167162
70,Zaventem,32751,27.62,1185.7711803,50.8854878,4.4709968
71,Wevelgem,31344,38.76,808.66873065,50.8089296,3.1836033
72,Ottignies-Louvain-la-Neuve,31242,32.96,947.876213592,50.6657252,4.5868116
73,Asse,32133,49.64,647.320709106,50.909373,4.2005478
74,Audenarde,30875,68.06,453.643843667,50.8469547,3.6013676
75,Courcelles,30976,44.24,700.180831826,50.463298,4.3740548
76,Tongres,30728,87.56,350.936500685,50.78419,5.47449
77,Houthalen-Helchteren,30668,78.27,391.823176185,51.0312424,5.3765453
78,Deinze,30434,75.53,402.939229445,50.9875406,3.5235857
79,Waterloo,29533,21.03,1404.32715169,50.71469,4.3991
80,Aerschot,29335,62.52,469.209852847,50.9859959,4.8365218
81,Tamise,29221,39.91,732.172387873,51.12955,4.21275
82,Arlon,29053,118.64,244.883681726,49.6851364,5.8104804
83,Ath,28812,126.95,226.955494289,50.6304302,3.776992
84,Ans,28338,23.35,1213.61884368,50.65694,5.52855
85,Brecht,28268,90.84,311.18450022,51.3496533,4.6377227
86,Sambreville,27918,34.20,816.315789474,50.446734,4.630735
87,Saint-Josse-ten-Noode,27775,1.14,24364.0350877,50.8537715,4.3704657
88,Herentals,27675,48.56,569.913509061,51.1768541,4.8355946
89,Nivelles,27739,60.60,457.739273927,50.59787,4.32851
90,Harelbeke,27455,29.14,942.1757035,50.8567031,3.3106757
91,Izegem,27447,25.48,1077.1978022,50.9180785,3.2132192
92,Soignies,27059,110.30,245.321849501,50.5764245,4.0706869
93,Kapellen,26993,37.11,727.378065212,51.3140004,4.4324004
94,Andenne,26099,86.17,302.878031798,50.4911522,5.0964543
95,Flémalle,26049,36.68,710.169029444,50.60187,5.44335
96,Lanaken,25937,59.00,439.610169492,50.8919647,5.6572276
97,Zottegem,25838,56.66,456.018355101,50.8695469,3.8107086
98,Renaix,25809,34.48,748.520881671,50.7505367,3.6005095
99,Willebroek,25523,27.41,931.156512222,51.05983,4.36404
100,Mortsel,25462,7.78,3272.75064267,51.1691158,4.4662486
101,Maaseik,25141,76.91,326.888571057,51.0983909,5.7837625
102,Overijse,24782,44.43,557.77627729,50.77381,4.53475
103,Westerlo,24623,55.13,446.63522583,51.08995,4.91434
104,Oupeye,24692,36.11,683.799501523,50.7084747,5.6468265
105,Hamme,24621,40.21,612.310370555,51.090201,4.1402689
106,Watermael-Boitsfort,24529,12.93,1897.06109822,50.7881573,4.4180065
107,Beersel,24792,30.01,826.124625125,50.7669262,4.3084744
108,Zwevegem,24301,63.24,384.26628716,50.8129259,3.332698
109,Gembloux,25232,95.86,263.217191738,50.56515,4.68843
110,Wetteren,24893,36.68,678.653217012,51.0029052,3.8896697
111,Tubize,25255,32.66,773.270055113,50.69054,4.2026
112,Merelbeke,24064,36.65,656.589358799,50.9945496,3.7456402
113,Ganshoren,24086,2.46,9791.05691057,50.8729866,4.3093326
114,Saint-Nicolas,23955,6.84,3502.19298246,51.1558839,4.154441
115,Diest,23455,58.20,403.006872852,50.98965,5.05016
116,Maldegem,23492,94.64,248.224852071,51.2090702,3.44868
117,Saint-Ghislain,22917,70.18,326.546024508,50.4491086,3.8183757
118,Berchem-Sainte-Agathe,23882,2.95,8095.59322034,50.8657821,4.2925975
119,Oostkamp,23138,79.65,290.495919648,51.1545363,3.2332169
120,Fleurus,22933,59.28,386.858974359,50.4822605,4.5511869
121,Manage,22890,19.60,1167.85714286,50.50303,4.23529
122,Scherpenheuvel-Zichem,22823,50.50,451.940594059,50.9890432,4.9776281
123,Zemst,22779,42.83,531.84683633,50.985535,4.4558434
124,Grâce-Hollogne,22614,34.24,660.455607477,50.63412,5.47566
125,Nijlen,22558,39.09,577.07853671,51.1613664,4.6705129
126,Zedelgem,22450,60.34,372.058336095,51.1421779,3.1368396
127,Coxyde,22139,43.96,503.616924477,51.1055159,2.6501419
128,Lochristi,22064,60.34,365.6612529,51.0974612,3.8378242
129,Balen,22014,72.88,302.058177827,51.1708903,5.1668282
130,Rixensart,22013,17.54,1255.01710376,50.7156249,4.5310355
131,Frameries,21837,25.95,841.502890173,50.41094,3.89551
132,Zoersel,21739,38.65,562.457956016,51.2682227,4.7125694
133,Koekelberg,21577,1.17,18441.8803419,50.8633811,4.330338
134,Tervueren,21523,32.92,653.79708384,50.8259264,4.5077781
135,Braine-le-Comte,21473,84.68,253.578176665,50.60936,4.13484
136,Huy,21433,47.74,448.952660243,50.5187153,5.2396656
137,Edegem,21363,8.65,2469.71098266,51.1559541,4.4318937
138,Zonhoven,21213,39.34,539.222165735,50.98707,5.36716
139,Hoogstraten,21116,105.32,200.493733384,51.4021866,4.7619387
140,Herent,21073,32.73,643.843568592,50.9092247,4.6768701
141,Chaudfontaine,20980,25.52,822.10031348,50.586545,5.6394323
142,Bornem,20952,45.76,457.867132867,51.0996057,4.2404586
143,Kontich,20913,23.67,883.523447402,51.1352386,4.4450065
144,Zele,20854,33.06,630.792498488,51.0700765,4.0403498
145,Eeklo,20701,30.05,688.885191348,51.1852719,3.5638899
146,Colfontaine,20616,13.62,1513.65638767,50.41423,3.84598
147,Wavre-Sainte-Catherine,20446,36.12,566.057585825,51.07045,4.53136
148,Torhout,20383,45.23,450.652221977,51.06498,3.10157
149,Dilsen-Stokkem,20214,65.61,308.093278464,51.0301998,5.7000888
150,Westwesel,20145,89.43,225.259979873,51.38945,4.5912313
151,Tielt,20087,68.50,293.240875912,51.0001519,3.3263821
152,Aalter,20072,81.92,245.01953125,51.087349,3.448371
153,Blankenberge,19984,17.41,1147.84606548,51.3123743,3.1327685
154,Poperinge,19964,119.33,167.300762591,50.8549596,2.7267929
155,Boussu,19859,20.01,992.453773113,50.43349,3.79559
156,Erpe-Mere,19735,34.03,579.929473994,50.914137,3.9568328
