Landsat Scene Identifier,WRS Path,WRS Row,Target WRS Path,Target WRS Row,Full or Partial Scene,Nadir/Off Nadir,Data Category,TIRS SSM Model,Bias Parameter File Name OLI,Bias Parameter File Name TIRS,Calibration Parameter File,RLUT File Name,Roll Angle,Station Identifier,Day/Night,Data Type Level 1,Sensor Identifier,Date Acquired,Start Time,Stop Time,Date L1 Generated,Image Quality,Scene Cloud Cover,Sun Elevation,Sun Azimuth,Geometric RMSE Model X,Geometric RMSE Model Y,Ground Control Points Model,Ground Control Points Version,Browse Exists,Processing Software Version,Center Latitude,Center Longitude,NW Corner Lat,NW Corner Long,NE Corner Lat,NE Corner Long,SE Corner Lat,SE Corner Long,SW Corner Lat,SW Corner Long,Center Latitude dec,Center Longitude dec,NW Corner Lat dec,NW Corner Long dec,NE Corner Lat dec,NE Corner Long dec,SE Corner Lat dec,SE Corner Long dec,SW Corner Lat dec,SW Corner Long dec,Display ID,Ordering ID,Browse Link
LC81100342015271LGN00, 110, 034, 110, 034,FULL,NADIR,NOMINAL,N/A,LO8BPF20150928012323_20150928030041.01,LT8BPF20150928011929_20150928020618.01,L8CPF20150701_20150930.02,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2015/09/28,2015:271:01:33:42.8380640,2015:271:01:34:14.6080600,2015/09/28,9,9.46,47.18571431,152.48577393,4.08,5.344,38,-1,Y,LPGS_2.5.1,37°28'27.77"N,135°55'07.21"E,38°31'43.54"N,135°06'46.66"E,38°07'43.32"N,137°14'12.84"E,36°24'19.80"N,136°41'50.14"E,36°48'15.30"N,134°37'17.65"E,37.47438,135.91867,38.52876,135.11296,38.1287,137.2369,36.4055,136.69726,36.80425,134.62157,LC81100342015271LGN00,LC81100342015271LGN00,https://earthexplorer.usgs.gov/browse/4923/LC81100342015271LGN00
LC81100352015271LGN00, 110, 035, 110, 035,FULL,NADIR,NOMINAL,N/A,LO8BPF20150928012323_20150928030041.01,LT8BPF20150928011929_20150928020618.01,L8CPF20150701_20150930.02,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2015/09/28,2015:271:01:34:06.7291010,2015:271:01:34:38.4990970,2015/09/28,9,4.24,48.3266127,151.2994427,3.823,3.409,331,-1,Y,LPGS_2.5.1,36°02'34.87"N,135°29'48.48"E,37°05'46.82"N,134°42'14.29"E,36°42'01.58"N,136°47'16.80"E,34°58'31.76"N,136°15'51.34"E,35°22'13.69"N,134°13'31.19"E,36.04302,135.4968,37.09634,134.70397,36.70044,136.788,34.97549,136.26426,35.37047,134.22533,LC81100352015271LGN00,LC81100352015271LGN00,https://earthexplorer.usgs.gov/browse/4923/LC81100352015271LGN00
LC81100362015271LGN00, 110, 036, 110, 036,FULL,NADIR,NOMINAL,N/A,LO8BPF20150928012323_20150928030041.01,LT8BPF20150928011929_20150928020618.01,L8CPF20150701_20150930.02,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2015/09/28,2015:271:01:34:30.6159020,2015:271:01:35:02.3858990,2015/09/28,9,1.26,49.45131956,150.06259715,3.956,3.597,868,-1,Y,LPGS_2.5.1,34°36'38.41"N,135°05'11.18"E,35°39'47.23"N,134°18'20.45"E,35°16'15.64"N,136°21'09.22"E,33°32'39.66"N,135°50'36.38"E,33°56'09.20"N,133°50'19.39"E,34.61067,135.08644,35.66312,134.30568,35.27101,136.35256,33.54435,135.84344,33.93589,133.83872,LC81100362015271LGN00,LC81100362015271LGN00,https://earthexplorer.usgs.gov/browse/4923/LC81100362015271LGN00
LC81120352015269LGN00, 112, 035, 112, 035,FULL,NADIR,NOMINAL,N/A,LO8BPF20150926013544_20150926021623.01,LT8BPF20150926013150_20150926021729.01,L8CPF20150701_20150930.02,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2015/09/26,2015:269:01:46:27.9140850,2015:269:01:46:59.6840820,2015/09/25,9,16.19,48.97146289,150.59808421,5.503,4.997,147,-1,Y,LPGS_2.5.1,36°02'35.05"N,132°24'22.61"E,37°05'47.08"N,131°36'48.13"E,36°42'01.73"N,133°41'51.04"E,34°58'31.91"N,133°10'25.57"E,35°22'13.94"N,131°08'05.10"E,36.04307,132.40628,37.09641,131.61337,36.70048,133.69751,34.97553,133.17377,35.37054,131.13475,LC81120352015269LGN00,LC81120352015269LGN00,https://earthexplorer.usgs.gov/browse/4923/LC81120352015269LGN00
LC81070302015266LGN00, 107, 030, 107, 030,FULL,NADIR,NOMINAL,N/A,LO8BPF20150923010449_20150923014752.01,LT8BPF20150923010055_20150923014858.01,L8CPF20150701_20150930.02,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2015/09/23,2015:266:01:13:33.4842190,2015:266:01:14:05.2542160,2015/09/23,9,1.08,44.22212809,155.45154658,4.467,4.411,664,-1,Y,LPGS_2.5.1,43°11'06.22"N,142°22'42.64"E,44°14'41.39"N,141°30'50.69"E,43°49'26.62"N,143°49'38.82"E,42°06'34.60"N,143°12'28.30"E,42°31'37.49"N,140°57'27.90"E,43.18506,142.37851,44.24483,141.51408,43.82406,143.82745,42.10961,143.20786,42.52708,140.95775,LC81070302015266LGN00,LC81070302015266LGN00,https://earthexplorer.usgs.gov/browse/4923/LC81070302015266LGN00
LC81070322015266LGN00, 107, 032, 107, 032,FULL,NADIR,NOMINAL,N/A,LO8BPF20150923010449_20150923014752.01,LT8BPF20150923010055_20150923014858.01,L8CPF20150701_20150930.02,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2015/09/23,2015:266:01:14:21.2578220,2015:266:01:14:53.0278180,2015/09/23,9,8.33,46.55271175,153.19695273,5.694,4.341,515,-1,Y,LPGS_2.5.1,40°19'58.51"N,141°26'10.54"E,41°23'22.74"N,140°36'11.09"E,40°58'48.83"N,142°48'52.99"E,39°15'39.85"N,142°14'19.14"E,39°40'05.81"N,140°04'55.99"E,40.33292,141.43626,41.38965,140.60308,40.98023,142.81472,39.26107,142.23865,39.66828,140.08222,LC81070322015266LGN00,LC81070322015266LGN00,https://earthexplorer.usgs.gov/browse/4923/LC81070322015266LGN00
LC81070312015266LGN00, 107, 031, 107, 031,FULL,NADIR,NOMINAL,N/A,LO8BPF20150923010449_20150923014752.01,LT8BPF20150923010055_20150923014858.01,L8CPF20150701_20150930.02,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2015/09/23,2015:266:01:13:57.3710210,2015:266:01:14:29.1410170,2015/09/23,9,.56,45.39389248,154.34244038,4.91,4.377,455,-1,Y,LPGS_2.5.1,41°45'35.32"N,141°53'57.08"E,42°49'04.84"N,141°03'02.27"E,42°24'11.23"N,143°18'41.83"E,40°41'10.32"N,142°42'53.53"E,41°05'54.13"N,140°30'46.66"E,41.75981,141.89919,42.81801,141.05063,42.40312,143.31162,40.6862,142.71487,41.09837,140.51296,LC81070312015266LGN00,LC81070312015266LGN00,https://earthexplorer.usgs.gov/browse/4923/LC81070312015266LGN00
LC81070362015266LGN00, 107, 036, 107, 036,FULL,NADIR,NOMINAL,N/A,LO8BPF20150923010449_20150923014752.01,LT8BPF20150923010055_20150923014858.01,L8CPF20150701_20150930.02,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2015/09/23,2015:266:01:15:56.8134990,2015:266:01:16:28.5834950,2015/09/23,9,8.97,51.03375815,148.14930596,4.541,5.71,267,-1,Y,LPGS_2.5.1,34°36'38.59"N,139°43'17.90"E,35°39'47.30"N,138°56'28.97"E,35°16'16.36"N,140°59'14.14"E,33°32'39.84"N,140°28'41.20"E,33°56'08.81"N,138°28'27.73"E,34.61072,139.72164,35.66314,138.94138,35.27121,140.98726,33.5444,140.47811,33.93578,138.47437,LC81070362015266LGN00,LC81070362015266LGN00,https://earthexplorer.usgs.gov/browse/4923/LC81070362015266LGN00
LC81070292015266LGN00, 107, 029, 107, 029,FULL,NADIR,NOMINAL,N/A,LO8BPF20150923010449_20150923014752.01,LT8BPF20150923010055_20150923014858.01,L8CPF20150701_20150930.02,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2015/09/23,2015:266:01:13:09.6058900,2015:266:01:13:41.3758860,2015/09/23,9,3.46,43.03887261,156.52892835,5.29,5.166,468,-1,Y,LPGS_2.5.1,44°36'29.09"N,142°52'32.66"E,45°40'10.60"N,141°59'39.98"E,45°14'32.68"N,144°21'50.33"E,43°31'49.84"N,143°43'10.20"E,43°57'13.64"N,141°25'03.83"E,44.60808,142.87574,45.66961,141.99444,45.24241,144.36398,43.53051,143.7195,43.95379,141.41773,LC81070292015266LGN00,LC81070292015266LGN00,https://earthexplorer.usgs.gov/browse/4923/LC81070292015266LGN00
LC81110372015262LGN00, 111, 037, 111, 037,FULL,NADIR,NOMINAL,N/A,LO8BPF20150919012931_20150919030649.01,LT8BPF20150919012537_20150919021202.01,L8CPF20150701_20150930.02,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2015/09/19,2015:262:01:41:02.5536670,2015:262:01:41:34.3236630,2015/09/19,9,4.73,53.30587631,145.02416537,4.508,3.83,403,-1,Y,LPGS_2.5.1,33°10'37.45"N,133°08'32.75"E,34°13'43.36"N,132°22'22.94"E,33°50'24.40"N,134°23'06.54"E,32°06'42.55"N,133°53'22.24"E,32°30'00.68"N,131°55'00.44"E,33.17707,133.14243,34.22871,132.37304,33.84011,134.38515,32.11182,133.88951,32.50019,131.91679,LC81110372015262LGN00,LC81110372015262LGN00,https://earthexplorer.usgs.gov/browse/4923/LC81110372015262LGN00
