,LIBMIN,Japanese,Prefecture,PMUN15,SURFACE,Density,Founded,Homepage,LAT,LONG
0,Nagoya ,名古屋市 ,Aichi ,2283289 ,326.45,6860 ,1889-10-01 ,[1],35.1814464,136.906398
1,Toyohashi ,豊橋市 ,Aichi ,377045 ,261.35,1443 ,1906-08-01 ,[2],34.7691995,137.3914662
2,Okazaki ,岡崎市 ,Aichi ,371380 ,387.24,959 ,1916-07-01 ,[3],34.9543786,137.1743293
3,Ichinomiya ,一宮市 ,Aichi ,375939 ,113.91,3300 ,1921-09-01 ,[4],35.3038899,136.8029326
4,Seto ,瀬戸市 ,Aichi ,132311 ,111.61,1185 ,1929-10-01 ,[5],35.2239579,137.0840296
5,Handa ,半田市 ,Aichi ,117927 ,47.24,2496 ,1937-10-01 ,[6],34.8917179,136.937961
6,Kasugai ,春日井市 ,Aichi ,300713 ,92.71,3244 ,1943-06-01 ,[7],35.247611,136.9722236
7,Toyokawa ,豊川市 ,Aichi ,161595 ,150.71,1072 ,1943-06-01 ,[8],34.8268506,137.3755423
8,Tsushima ,津島市 ,Aichi ,65646 ,25.08,2617 ,1947-03-01 ,[9],35.1770291,136.7412138
9,Hekinan ,碧南市 ,Aichi ,73024 ,35.86,2036 ,1948-04-05 ,[10],34.8848038,136.9933755
10,Kariya ,刈谷市 ,Aichi ,145117 ,50.45,2876 ,1950-04-01 ,[11],34.9892245,137.0021069
11,Toyota ,豊田市 ,Aichi ,420286 ,918.47,458 ,1951-03-01 ,[12],35.0823947,137.1562491
12,Anjō ,安城市 ,Aichi ,176046 ,86.01,2047 ,1952-05-05 ,[13],34.9586414,137.080297
13,Nishio ,西尾市 ,Aichi ,106643 ,75.78,1407 ,1953-12-15 ,[14],34.8619367,137.0618498
14,Gamagōri ,蒲郡市 ,Aichi ,82264 ,56.81,1448 ,1954-04-01 ,[15],34.8265004,137.2195158
15,Inuyama ,犬山市 ,Aichi ,75304 ,74.97,1004 ,1954-04-01 ,[16],35.3786067,136.9445638
16,Tokoname ,常滑市 ,Aichi ,52837 ,55.63,950 ,1954-04-01 ,[17],34.8867002,136.8323973
17,Kōnan ,江南市 ,Aichi ,100064 ,30.17,3317 ,1954-06-01 ,[18],35.3320112,136.8706172
18,Komaki ,小牧市 ,Aichi ,149060 ,62.82,2373 ,1955-01-01 ,[19],35.2903104,136.9109515
19,Inazawa ,稲沢市 ,Aichi ,137475 ,79.3,1734 ,1958-11-01 ,[20],35.2481321,136.780202
20,Tōkai ,東海市 ,Aichi ,106708 ,43.36,2461 ,1969-04-01 ,[21],35.0228426,136.90253
21,Ōbu ,大府市 ,Aichi ,83097 ,33.68,2467 ,1970-09-01 ,[22],35.0116566,136.9638347
22,Chita ,知多市 ,Aichi ,84782 ,45.43,1866 ,1970-09-01 ,[23],34.9965332,136.8647553
23,Chiryū ,知立市 ,Aichi ,68216 ,16.34,4175 ,1970-12-01 ,[24],35.0012715,137.0507493
24,Owariasahi ,尾張旭市 ,Aichi ,79197 ,21.03,3766 ,1970-12-01 ,[25],35.2165127,137.0353957
25,Takahama ,高浜市 ,Aichi ,43467 ,13.0,3344 ,1970-12-01 ,[26],34.9276434,136.9876769
26,Iwakura ,岩倉市 ,Aichi ,48042 ,10.49,4580 ,1971-12-01 ,[27],35.2795027,136.8714306
27,Toyoake ,豊明市 ,Aichi ,69124 ,23.18,2982 ,1972-08-01 ,[28],35.0536877,137.0129968
28,Nisshin ,日進市 ,Aichi ,80921 ,34.9,2319 ,1994-10-01 ,[29],35.1320154,137.0394117
29,Tahara ,田原市 ,Aichi ,66698 ,188.81,353 ,2003-08-20 ,[30],34.6688056,137.2642033
30,Aisai ,愛西市 ,Aichi ,65481 ,66.63,983 ,2005-04-01 ,[31],35.1531406,136.7280996
31,Kiyosu ,清須市 ,Aichi ,56635 ,13.31,4255 ,2005-07-07 ,[32],35.2033806,136.8655213
32,Shinshiro ,新城市 ,Aichi ,51326 ,499.0,103 ,2005-10-01 ,[33],34.8992291,137.4984758
33,Kitanagoya ,北名古屋市 ,Aichi ,80112 ,18.37,4361 ,2006-03-20 ,[34],35.2456681,136.8660083
34,Yatomi ,弥富市 ,Aichi ,43145 ,48.92,882 ,2006-04-01 ,[35],35.1100184,136.7247393
35,Miyoshi ,みよし市 ,Aichi ,- ,32.11,- ,2010-01-04 ,[36],35.0894103,137.0748539
36,Ama ,あま市 ,Aichi ,- ,27.59,- ,2010-03-22 ,[37],35.1703037,136.8008305
37,Akita ,秋田市 ,Akita ,329287 ,905.67,364 ,1889-04-01 ,[38],39.7199218,140.1035697
38,Ōdate ,大館市 ,Akita ,80587 ,913.7,88.2 ,1951-04-01 ,[39],40.271405,140.5642854
39,Kazuno ,鹿角市 ,Akita ,35543 ,707.34,50.2 ,1972-04-01 ,[40],40.2157778,140.7884361
40,Daisen ,大仙市 ,Akita ,91143 ,866.67,105 ,2005-03-22 ,[41],39.4530882,140.4754481
41,Katagami ,潟上市 ,Akita ,35460 ,97.96,362 ,2005-03-22 ,[42],39.8572876,140.013054
42,Kitaakita ,北秋田市 ,Akita ,38543 ,1152.57,33.4 ,2005-03-22 ,[43],40.2260542,140.3707417
43,Oga ,男鹿市 ,Akita ,34194 ,240.8,142 ,2005-03-22 ,[44],39.8868177,139.847558
44,Yurihonjō ,由利本荘市 ,Akita ,87525 ,1209.04,72.4 ,2005-03-22 ,[45],39.3858766,140.0487906
45,Yuzawa ,湯沢市 ,Akita ,53588 ,790.72,67.8 ,2005-03-22 ,[46],39.1643041,140.4956629
46,Semboku ,仙北市 ,Akita ,30885 ,1093.64,28.2 ,2005-09-20 ,[47],39.7000694,140.7305881
47,Yokote ,横手市 ,Akita ,101234 ,693.6,146 ,2005-10-01 ,[48],39.3137816,140.5666488
48,Nikaho ,にかほ市 ,Akita ,28422 ,240.61,118 ,2005-10-01 ,[49],39.2030116,139.9077127
49,Noshiro ,能代市 ,Akita ,61295 ,426.74,144 ,2006-03-21 ,[50],40.2121508,140.0266238
50,Hachinohe ,八戸市 ,Aomori ,241613 ,305.17,792 ,1929-05-01 ,[51],40.5122839,141.4883986
51,Kuroishi ,黒石市 ,Aomori ,37585 ,216.96,173 ,1954-07-01 ,[52],40.6426318,140.5946454
52,Misawa ,三沢市 ,Aomori ,42535 ,119.97,355 ,1958-09-01 ,[53],40.6831337,141.3689761
53,Mutsu ,むつ市 ,Aomori ,62220 ,863.79,72.0 ,1959-09-01 ,[54],41.2927457,141.1834755
54,Towada ,十和田市 ,Aomori ,66834 ,688.6,97.1 ,2005-01-01 ,[55],40.464869,140.8772428
55,Tsugaru ,つがる市 ,Aomori ,38919 ,253.85,153 ,2005-02-11 ,[56],40.808639,140.3800593
56,Goshogawara ,五所川原市 ,Aomori ,60788 ,404.58,150 ,2005-03-28 ,[57],40.808002,140.44009
57,Aomori ,青森市 ,Aomori ,305884 ,824.52,371 ,2005-04-01 ,[58],40.822072,140.7473647
58,Hirakawa ,平川市 ,Aomori ,34638 ,345.81,100 ,2006-01-01 ,[59],40.5840107,140.5664783
59,Hirosaki ,弘前市 ,Aomori ,185865 ,523.6,355 ,2006-02-27 ,[60],40.6031243,140.4639223
60,Chiba ,千葉市 ,Chiba ,938695 ,272.08,3450 ,1921-01-01 ,[61],35.6072668,140.1062907
61,Chōshi ,銚子市 ,Chiba ,72348 ,83.91,862 ,1933-02-11 ,[62],35.7346813,140.8266406
62,Ichikawa ,市川市 ,Chiba ,470149 ,57.4,8191 ,1934-11-03 ,[63],35.7219115,139.9310099
63,Funabashi ,船橋市 ,Chiba ,586762 ,85.64,6851 ,1937-04-01 ,[64],35.6947058,139.982618
64,Tateyama ,館山市 ,Chiba ,49987 ,110.21,454 ,1939-11-03 ,[65],34.9965057,139.8699653
65,Kisarazu ,木更津市 ,Chiba ,123743 ,138.73,892 ,1942-11-03 ,[66],35.3812265,139.92486
66,Matsudo ,松戸市 ,Chiba ,477603 ,61.33,7787 ,1943-04-01 ,[67],35.7876491,139.903093
67,Noda ,野田市 ,Chiba ,153422 ,103.54,1482 ,1950-05-03 ,[68],35.9551921,139.8747636
68,Mobara ,茂原市 ,Chiba ,93032 ,100.01,930 ,1952-04-01 ,[69],35.4285439,140.2880265
69,Narita ,成田市 ,Chiba ,124773 ,213.84,583 ,1954-03-31 ,[70],35.7766076,140.3187806
70,Sakura ,佐倉市 ,Chiba ,171472 ,103.59,1655 ,1954-03-31 ,[71],35.7234861,140.2239639
71,Tōgane ,東金市 ,Chiba ,61591 ,89.34,689 ,1954-04-01 ,[72],35.5599438,140.3660922
72,Narashino ,習志野市 ,Chiba ,159758 ,20.99,7611 ,1954-08-01 ,[73],35.6830349,140.0243648
73,Kashiwa ,柏市 ,Chiba ,389036 ,114.9,3386 ,1954-09-01 ,[74],35.8676124,139.9758505
74,Katsuura ,勝浦市 ,Chiba ,21413 ,94.2,227 ,1958-10-01 ,[75],35.152283,140.3209324
75,Ichihara ,市原市 ,Chiba ,279591 ,368.2,759 ,1963-05-01 ,[76],35.4978377,140.1156648
