LIBMIN	Japanese	Prefecture	PMUN15	SURFACE	Density	Founded	Homepage
Nagoya 	名古屋市 	Aichi 	2283289 	326.45 	6860 	1889-10-01 	[1]
Toyohashi 	豊橋市 	Aichi 	377045 	261.35 	1443 	1906-08-01 	[2]
Okazaki 	岡崎市 	Aichi 	371380 	387.24 	959 	1916-07-01 	[3]
Ichinomiya 	一宮市 	Aichi 	375939 	113.91 	3300 	1921-09-01 	[4]
Seto 	瀬戸市 	Aichi 	132311 	111.61 	1185 	1929-10-01 	[5]
Handa 	半田市 	Aichi 	117927 	47.24 	2496 	1937-10-01 	[6]
Kasugai 	春日井市 	Aichi 	300713 	92.71 	3244 	1943-06-01 	[7]
Toyokawa 	豊川市 	Aichi 	161595 	150.71 	1072 	1943-06-01 	[8]
Tsushima 	津島市 	Aichi 	65646 	25.08 	2617 	1947-03-01 	[9]
Hekinan 	碧南市 	Aichi 	73024 	35.86 	2036 	1948-04-05 	[10]
Kariya 	刈谷市 	Aichi 	145117 	50.45 	2876 	1950-04-01 	[11]
Toyota 	豊田市 	Aichi 	420286 	918.47 	458 	1951-03-01 	[12]
Anjō 	安城市 	Aichi 	176046 	86.01 	2047 	1952-05-05 	[13]
Nishio 	西尾市 	Aichi 	106643 	75.78 	1407 	1953-12-15 	[14]
Gamagōri 	蒲郡市 	Aichi 	82264 	56.81 	1448 	1954-04-01 	[15]
Inuyama 	犬山市 	Aichi 	75304 	74.97 	1004 	1954-04-01 	[16]
Tokoname 	常滑市 	Aichi 	52837 	55.63 	950 	1954-04-01 	[17]
Kōnan 	江南市 	Aichi 	100064 	30.17 	3317 	1954-06-01 	[18]
Komaki 	小牧市 	Aichi 	149060 	62.82 	2373 	1955-01-01 	[19]
Inazawa 	稲沢市 	Aichi 	137475 	79.30 	1734 	1958-11-01 	[20]
Tōkai 	東海市 	Aichi 	106708 	43.36 	2461 	1969-04-01 	[21]
Ōbu 	大府市 	Aichi 	83097 	33.68 	2467 	1970-09-01 	[22]
Chita 	知多市 	Aichi 	84782 	45.43 	1866 	1970-09-01 	[23]
Chiryū 	知立市 	Aichi 	68216 	16.34 	4175 	1970-12-01 	[24]
Owariasahi 	尾張旭市 	Aichi 	79197 	21.03 	3766 	1970-12-01 	[25]
Takahama 	高浜市 	Aichi 	43467 	13.00 	3344 	1970-12-01 	[26]
Iwakura 	岩倉市 	Aichi 	48042 	10.49 	4580 	1971-12-01 	[27]
Toyoake 	豊明市 	Aichi 	69124 	23.18 	2982 	1972-08-01 	[28]
Nisshin 	日進市 	Aichi 	80921 	34.90 	2319 	1994-10-01 	[29]
Tahara 	田原市 	Aichi 	66698 	188.81 	353 	2003-08-20 	[30]
Aisai 	愛西市 	Aichi 	65481 	66.63 	983 	2005-04-01 	[31]
Kiyosu 	清須市 	Aichi 	56635 	13.31 	4255 	2005-07-07 	[32]
Shinshiro 	新城市 	Aichi 	51326 	499.00 	103 	2005-10-01 	[33]
Kitanagoya 	北名古屋市 	Aichi 	80112 	18.37 	4361 	2006-03-20 	[34]
Yatomi 	弥富市 	Aichi 	43145 	48.92 	882 	2006-04-01 	[35]
Miyoshi 	みよし市 	Aichi 	- 	32.11 	- 	2010-01-04 	[36]
Ama 	あま市 	Aichi 	- 	27.59 	- 	2010-03-22 	[37]
Akita 	秋田市 	Akita 	329287 	905.67 	364 	1889-04-01 	[38]
Ōdate 	大館市 	Akita 	80587 	913.70 	88.2 	1951-04-01 	[39]
Kazuno 	鹿角市 	Akita 	35543 	707.34 	50.2 	1972-04-01 	[40]
Daisen 	大仙市 	Akita 	91143 	866.67 	105 	2005-03-22 	[41]
Katagami 	潟上市 	Akita 	35460 	97.96 	362 	2005-03-22 	[42]
Kitaakita 	北秋田市 	Akita 	38543 	1152.57 	33.4 	2005-03-22 	[43]
Oga 	男鹿市 	Akita 	34194 	240.80 	142 	2005-03-22 	[44]
Yurihonjō 	由利本荘市 	Akita 	87525 	1209.04 	72.4 	2005-03-22 	[45]
Yuzawa 	湯沢市 	Akita 	53588 	790.72 	67.8 	2005-03-22 	[46]
Semboku 	仙北市 	Akita 	30885 	1093.64 	28.2 	2005-09-20 	[47]
Yokote 	横手市 	Akita 	101234 	693.60 	146 	2005-10-01 	[48]
Nikaho 	にかほ市 	Akita 	28422 	240.61 	118 	2005-10-01 	[49]
Noshiro 	能代市 	Akita 	61295 	426.74 	144 	2006-03-21 	[50]
Hachinohe 	八戸市 	Aomori 	241613 	305.17 	792 	1929-05-01 	[51]
Kuroishi 	黒石市 	Aomori 	37585 	216.96 	173 	1954-07-01 	[52]
Misawa 	三沢市 	Aomori 	42535 	119.97 	355 	1958-09-01 	[53]
Mutsu 	むつ市 	Aomori 	62220 	863.79 	72.0 	1959-09-01 	[54]
Towada 	十和田市 	Aomori 	66834 	688.60 	97.1 	2005-01-01 	[55]
Tsugaru 	つがる市 	Aomori 	38919 	253.85 	153 	2005-02-11 	[56]
Goshogawara 	五所川原市 	Aomori 	60788 	404.58 	150 	2005-03-28 	[57]
Aomori 	青森市 	Aomori 	305884 	824.52 	371 	2005-04-01 	[58]
Hirakawa 	平川市 	Aomori 	34638 	345.81 	100 	2006-01-01 	[59]
Hirosaki 	弘前市 	Aomori 	185865 	523.60 	355 	2006-02-27 	[60]
Chiba 	千葉市 	Chiba 	938695 	272.08 	3450 	1921-01-01 	[61]
Chōshi 	銚子市 	Chiba 	72348 	83.91 	862 	1933-02-11 	[62]
Ichikawa 	市川市 	Chiba 	470149 	57.40 	8191 	1934-11-03 	[63]
Funabashi 	船橋市 	Chiba 	586762 	85.64 	6851 	1937-04-01 	[64]
Tateyama 	館山市 	Chiba 	49987 	110.21 	454 	1939-11-03 	[65]
Kisarazu 	木更津市 	Chiba 	123743 	138.73 	892 	1942-11-03 	[66]
Matsudo 	松戸市 	Chiba 	477603 	61.33 	7787 	1943-04-01 	[67]
Noda 	野田市 	Chiba 	153422 	103.54 	1482 	1950-05-03 	[68]
Mobara 	茂原市 	Chiba 	93032 	100.01 	930 	1952-04-01 	[69]
Narita 	成田市 	Chiba 	124773 	213.84 	583 	1954-03-31 	[70]
Sakura 	佐倉市 	Chiba 	171472 	103.59 	1655 	1954-03-31 	[71]
Tōgane 	東金市 	Chiba 	61591 	89.34 	689 	1954-04-01 	[72]
Narashino 	習志野市 	Chiba 	159758 	20.99 	7611 	1954-08-01 	[73]
Kashiwa 	柏市 	Chiba 	389036 	114.90 	3386 	1954-09-01 	[74]
Katsuura 	勝浦市 	Chiba 	21413 	94.20 	227 	1958-10-01 	[75]
Ichihara 	市原市 	Chiba 	279591 	368.20 	759 	1963-05-01 	[76]
Nagareyama 	流山市 	Chiba 	156686 	35.28 	4441 	1967-01-01 	[77]
Yachiyo 	八千代市 	Chiba 	184655 	51.27 	3602 	1967-01-01 	[78]
Abiko 	我孫子市 	Chiba 	133533 	43.19 	3092 	1970-07-01 	[79]
Kamagaya 	鎌ヶ谷市 	Chiba 	104564 	21.11 	4953 	1971-09-01 	[80]
Kimitsu 	君津市 	Chiba 	89350 	318.83 	280 	1971-09-01 	[81]
Futtsu 	富津市 	Chiba 	48973 	205.35 	238 	1971-09-01 	[82]
Urayasu 	浦安市 	Chiba 	159312 	17.29 	9214 	1981-04-01 	[83]
