NUTS_3,LAU1_NAT_CODE,LAU2_NAT_CODE,CHANGE,LIBMIN,PMUN16,AREA,DENSITE,SURFACE,LAT,LONG
LU000,1,101,No change,Dippach,4071,17420000,233.70,17.42,49.5875969,5.9827093
LU000,1,102,No change,Garnich,2043,20950000,97.52,20.95,49.6150307,5.9505037
LU000,1,103,No change,Hobscheid,3434,17550000,195.67,17.55,49.6875715,5.9136849
LU000,1,104,No change,Käerjeng,10033,33670000,297.98,33.67,49.5805707,5.9046231
LU000,1,105,No change,Kehlen,5457,28180000,193.65,28.18,49.6674493,6.0392093
LU000,1,106,No change,Koerich,2520,18880000,133.47,18.88,49.6692631,5.9486121
LU000,1,107,No change,Kopstal,3448,7900000,436.46,7.9,49.6643798,6.0721299
LU000,1,108,No change,Mamer,8695,27540000,315.72,27.54,49.6294233,6.0211741
LU000,1,109,No change,Septfontaines,813,14960000,54.34,14.96,49.7002746,5.966883
LU000,1,110,No change,Steinfort,4762,12160000,391.61,12.16,49.65973,5.9159993
LU000,2,201,No change,Bettembourg,10400,21490000,483.95,21.49,49.5192118,6.1002461
LU000,2,202,No change,Differdange,24805,22180000,1118.35,22.18,49.52273,5.88896
LU000,2,203,No change,Dudelange,20003,21380000,935.59,21.38,49.4784623,6.0858789
LU000,2,204,No change,Esch-sur-Alzette,33939,14350000,2365.09,14.35,49.5008805,5.9860925
LU000,2,205,No change,Frisange,4344,18430000,235.70,18.43,49.515919,6.1879173
LU000,2,206,No change,Kayl,8247,14860000,554.98,14.86,49.4868207,6.0395281
LU000,2,207,No change,Leudelange,2445,13570000,180.18,13.57,49.5658269,6.0578061
LU000,2,208,No change,Mondercange,6510,21400000,304.21,21.4,49.5309365,5.9907689
LU000,2,209,No change,Pétange,17973,11930000,1506.54,11.93,49.5559747,5.8758655
LU000,2,210,No change,Reckange-sur-Mess,2304,20420000,112.83,20.42,49.5609934,6.0081054
LU000,2,211,No change,Roeser,5891,23800000,247.52,23.8,49.5355539,6.1469772
LU000,2,212,No change,Rumelange,5422,6830000,793.85,6.83,49.4599422,6.0318106
LU000,2,213,No change,Sanem,15748,24420000,644.88,24.42,49.5475636,5.9300044
LU000,2,214,No change,Schifflange,9924,7710000,1287.16,7.71,49.5057481,6.0142918
LU000,3,301,No change,Bertrange,7387,17390000,424.78,17.39,49.6082663,6.0510573
LU000,3,302,No change,Contern,3511,20550000,170.85,20.55,49.5851593,6.227488
LU000,3,303,No change,Hesperange,14650,27220000,538.21,27.22,49.5708937,6.152703
LU000,3,304,No change,Luxembourg,115227,51460000,2239.16,51.46,49.611621,6.1319346
LU000,3,305,No change,Niederanven,5866,41360000,141.83,41.36,49.6510089,6.2587463
LU000,3,306,No change,Sandweiler,3450,7730000,446.31,7.73,49.615676,6.2220498
LU000,3,307,No change,Schuttrange,4147,16100000,257.58,16.1,49.6222202,6.2737568
LU000,3,308,No change,Steinsel,5171,21810000,237.09,21.81,49.6769584,6.1237699
LU000,3,309,No change,Strassen,8497,10710000,793.37,10.71,49.62044,6.07039
LU000,3,310,No change,Walferdange,7818,7060000,1107.37,7.06,49.6629793,6.13324
LU000,3,311,No change,Weiler-la-Tour,2245,17070000,131.52,17.07,49.5428731,6.1998456
LU000,4,401,No change,Colmar-Berg,2115,12310000,171.81,12.31,49.8046078,6.099528
LU000,4,402,No change,Bissen,2879,20750000,138.75,20.75,49.7876693,6.0657007
LU000,4,403,No change,Boevange-sur-Attert,2280,18870000,120.83,18.87,49.7755669,6.0133821
LU000,4,404,No change,Fischbach,1174,19610000,59.87,19.61,49.74672,6.189003
LU000,4,405,No change,Heffingen,1239,13340000,92.88,13.34,49.7699031,6.2398053
LU000,4,406,No change,Larochette,2101,15400000,136.43,15.4,49.783709,6.2194409
LU000,4,407,No change,Lintgen,2811,15250000,184.33,15.25,49.7223591,6.129119
