NUTS_3,LAU1_NAT_CODE,LAU2_NAT_CODE,CHANGE,LIBMIN,PMUN16,AREA,DENSITE,SURFACE
LU000,1,101,No change,Dippach,4071,17420000,233.70,17.42
LU000,1,102,No change,Garnich,2043,20950000,97.52,20.95
LU000,1,103,No change,Hobscheid,3434,17550000,195.67,17.55
LU000,1,104,No change,Käerjeng,10033,33670000,297.98,33.67
LU000,1,105,No change,Kehlen,5457,28180000,193.65,28.18
LU000,1,106,No change,Koerich,2520,18880000,133.47,18.88
LU000,1,107,No change,Kopstal,3448,7900000,436.46,7.9
LU000,1,108,No change,Mamer,8695,27540000,315.72,27.54
LU000,1,109,No change,Septfontaines,813,14960000,54.34,14.96
LU000,1,110,No change,Steinfort,4762,12160000,391.61,12.16
LU000,2,201,No change,Bettembourg,10400,21490000,483.95,21.49
LU000,2,202,No change,Differdange,24805,22180000,1118.35,22.18
LU000,2,203,No change,Dudelange,20003,21380000,935.59,21.38
LU000,2,204,No change,Esch-sur-Alzette,33939,14350000,2365.09,14.35
LU000,2,205,No change,Frisange,4344,18430000,235.70,18.43
LU000,2,206,No change,Kayl,8247,14860000,554.98,14.86
LU000,2,207,No change,Leudelange,2445,13570000,180.18,13.57
LU000,2,208,No change,Mondercange,6510,21400000,304.21,21.4
LU000,2,209,No change,Pétange,17973,11930000,1506.54,11.93
LU000,2,210,No change,Reckange-sur-Mess,2304,20420000,112.83,20.42
LU000,2,211,No change,Roeser,5891,23800000,247.52,23.8
LU000,2,212,No change,Rumelange,5422,6830000,793.85,6.83
LU000,2,213,No change,Sanem,15748,24420000,644.88,24.42
LU000,2,214,No change,Schifflange,9924,7710000,1287.16,7.71
LU000,3,301,No change,Bertrange,7387,17390000,424.78,17.39
LU000,3,302,No change,Contern,3511,20550000,170.85,20.55
LU000,3,303,No change,Hesperange,14650,27220000,538.21,27.22
LU000,3,304,No change,Luxembourg,115227,51460000,2239.16,51.46
LU000,3,305,No change,Niederanven,5866,41360000,141.83,41.36
