Landsat Scene Identifier,WRS Path,WRS Row,Target WRS Path,Target WRS Row,Full or Partial Scene,Nadir/Off Nadir,Data Category,TIRS SSM Model,Bias Parameter File Name OLI,Bias Parameter File Name TIRS,Calibration Parameter File,RLUT File Name,Roll Angle,Station Identifier,Day/Night,Data Type Level 1,Sensor Identifier,Date Acquired,Start Time,Stop Time,Date L1 Generated,Image Quality,Scene Cloud Cover,Sun Elevation,Sun Azimuth,Geometric RMSE Model X,Geometric RMSE Model Y,Ground Control Points Model,Ground Control Points Version,Browse Exists,Processing Software Version,Center Latitude,Center Longitude,NW Corner Lat,NW Corner Long,NE Corner Lat,NE Corner Long,SE Corner Lat,SE Corner Long,SW Corner Lat,SW Corner Long,Center Latitude dec,Center Longitude dec,NW Corner Lat dec,NW Corner Long dec,NE Corner Lat dec,NE Corner Long dec,SE Corner Lat dec,SE Corner Long dec,SW Corner Lat dec,SW Corner Long dec,Display ID,Ordering ID,Download Link
LC81960222014262LGN00, 196, 022, 196, 022,FULL,NADIR,NOMINAL,N/A,LO8BPF20140919101129_20140919105827.01,LT8BPF20140919100735_20140919105920.01,L8CPF20140701_20140930.01,L8RLUT20130211_20431231v09.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2014/09/19,2014:262:10:20:33.2403640,2014:262:10:21:05.0103610,2014/09/19,9,3.37,35.91881013,163.00049091,5.375,5.286,-1,2,Y,LPGS_2.4.0,54°30'30.06"N,9°33'06.80"E,55°35'19.75"N,8°31'39.83"E,55°05'45.67"N,11°25'34.82"E,53°24'36.11"N,10°30'53.32"E,53°53'31.52"N,7°43'42.89"E,54.50835,9.55189,55.58882,8.52773,55.09602,11.42634,53.41003,10.51481,53.89209,7.72858,LC81960222014262LGN00,LC81960222014262LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC81960222014262LGN00
LC81980222014260LGN00, 198, 022, 198, 022,FULL,NADIR,NOMINAL,N/A,LO8BPF20140917102726_20140917111025.02,LT8BPF20140917102332_20140917111118.02,L8CPF20140701_20140930.01,L8RLUT20130211_20431231v09.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2014/09/17,2014:260:10:32:55.5573440,2014:260:10:33:27.3273400,2014/09/17,9,4.67,36.64743551,162.61695837,7.812,8.86,-1,2,Y,LPGS_2.4.0,54°30'30.10"N,6°27'26.42"E,55°35'19.64"N,5°26'00.96"E,55°05'46.07"N,8°19'52.90"E,53°24'36.25"N,7°25'11.42"E,53°53'31.16"N,4°38'03.95"E,54.50836,6.45734,55.58879,5.4336,55.09613,8.33136,53.41007,7.41984,53.89199,4.63443,LC81980222014260LGN00,LC81980222014260LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC81980222014260LGN00
LC81980232014260LGN00, 198, 023, 198, 023,FULL,NADIR,NOMINAL,N/A,LO8BPF20140917102726_20140917111025.02,LT8BPF20140917102332_20140917111118.02,L8CPF20140701_20140930.01,L8RLUT20130211_20431231v09.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2014/09/17,2014:260:10:33:19.4356730,2014:260:10:33:51.2056690,2014/09/17,9,1.09,37.87992376,161.55789902,6.121,5.891,-1,2,Y,LPGS_2.4.0,53°06'09.14"N,5°46'01.09"E,54°10'45.84"N,4°45'56.56"E,53°41'55.57"N,7°34'16.82"E,52°00'28.91"N,6°42'40.90"E,52°28'45.26"N,4°00'35.78"E,53.10254,5.76697,54.1794,4.76571,53.69877,7.57134,52.00803,6.71136,52.47924,4.00994,LC81980232014260LGN00,LC81980232014260LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC81980232014260LGN00
LC81980242014260LGN00, 198, 024, 198, 024,FULL,NADIR,NOMINAL,N/A,LO8BPF20140917102726_20140917111025.02,LT8BPF20140917102332_20140917111118.02,L8CPF20140701_20140930.01,L8RLUT20130211_20431231v09.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2014/09/17,2014:260:10:33:43.3224740,2014:260:10:34:15.0924710,2014/09/17,9,1.25,39.10477901,160.50017632,5.022,4.634,-1,2,Y,LPGS_2.4.0,51°41'34.87"N,5°06'49.54"E,52°46'00.01"N,4°08'04.38"E,52°17'49.60"N,6°51'13.97"E,50°36'07.31"N,6°02'23.75"E,51°03'48.06"N,3°25'02.42"E,51.69302,5.11376,52.76667,4.13455,52.29711,6.85388,50.60203,6.03993,51.06335,3.41734,LC81980242014260LGN00,LC81980242014260LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC81980242014260LGN00
LC81980252014260LGN00, 198, 025, 198, 025,FULL,NADIR,NOMINAL,N/A,LO8BPF20140917102726_20140917111025.02,LT8BPF20140917102332_20140917111118.02,L8CPF20140701_20140930.01,L8RLUT20130211_20431231v09.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2014/09/17,2014:260:10:34:07.2008040,2014:260:10:34:38.9708000,2014/09/17,9,4.47,40.32035505,159.43819273,4.83,4.61,-1,2,Y,LPGS_2.4.0,50°16'52.14"N,4°29'38.44"E,51°21'06.59"N,3°32'10.10"E,50°53'32.50"N,6°10'30.86"E,49°11'35.99"N,5°24'09.29"E,49°38'44.20"N,2°51'12.28"E,50.28115,4.49401,51.35183,3.53614,50.89236,6.17524,49.19333,5.40258,49.64561,2.85341,LC81980252014260LGN00,LC81980252014260LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC81980252014260LGN00
LC82000232014258LGN00, 200, 023, 200, 023,FULL,NADIR,NOMINAL,N/A,LO8BPF20140915103437_20140915112247.02,LT8BPF20140915103044_20140915112340.01,L8CPF20140701_20140930.01,L8RLUT20130211_20431231v09.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2014/09/15,2014:258:10:45:41.5536890,2014:258:10:46:13.3236860,2014/09/15,9,9.45,38.59886257,161.14571848,6.388,5.368,-1,2,Y,LPGS_2.4.0,53°06'09.50"N,2°40'24.56"E,54°10'46.34"N,1°40'19.56"E,53°41'55.93"N,4°28'40.80"E,52°00'29.23"N,3°37'04.80"E,52°28'45.70"N,0°54'58.79"E,53.10264,2.67349,54.17954,1.6721,53.69887,4.478,52.00812,3.618,52.47936,.91633,LC82000232014258LGN00,LC82000232014258LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC82000232014258LGN00
LC81960222014246LGN00, 196, 022, 196, 022,FULL,NADIR,NOMINAL,N/A,LO8BPF20140903100953_20140903105626.02,LT8BPF20140903100559_20140903105719.01,L8CPF20140701_20140930.01,L8RLUT20130211_20431231v09.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2014/09/03,2014:246:10:20:32.9529660,2014:246:10:21:04.7229630,2014/09/03,9,8.44,41.6190669,159.78001166,5.727,5.421,-1,2,Y,LPGS_2.4.0,54°30'31.18"N,9°32'36.71"E,55°35'20.94"N,8°31'09.73"E,55°05'46.46"N,11°25'05.45"E,53°24'37.01"N,10°30'23.40"E,53°53'32.82"N,7°43'12.29"E,54.50866,9.54353,55.58915,8.51937,55.09624,11.41818,53.41028,10.5065,53.89245,7.72008,LC81960222014246LGN00,LC81960222014246LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC81960222014246LGN00
LC81990232014219LGN00, 199, 023, 199, 023,FULL,NADIR,NOMINAL,N/A,LO8BPF20140807102421_20140807111141.01,LT8BPF20140807102027_20140807111234.01,L8CPF20140701_20140930.01,L8RLUT20130211_20431231v09.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2014/08/07,2014:219:10:39:23.8336080,2014:219:10:39:55.6036040,2014/08/07,9,10.03,51.0019742,153.00878924,4.512,5.198,-1,1,Y,LPGS_2.3.0,53°06'09.18"N,4°13'02.35"E,54°10'46.38"N,3°12'57.10"E,53°41'54.56"N,6°01'20.06"E,52°00'28.55"N,5°09'42.66"E,52°28'46.42"N,2°27'34.88"E,53.10255,4.21732,54.17955,3.21586,53.69849,6.02224,52.00793,5.16185,52.47956,2.45969,LC81990232014219LGN00,LC81990232014219LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC81990232014219LGN00
LC81980252014212LGN00, 198, 025, 198, 025,FULL,NADIR,NOMINAL,N/A,LO8BPF20140731101742_20140731110527.01,LT8BPF20140731101348_20140731110620.02,L8CPF20140701_20140930.01,L8RLUT20130211_20431231v09.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2014/07/31,2014:212:10:33:56.9480160,2014:212:10:34:28.7180120,2014/07/31,9,2.81,54.84340162,148.33756234,5.305,4.946,-1,1,Y,LPGS_2.3.0,50°16'52.43"N,4°29'44.02"E,51°21'07.13"N,3°32'14.93"E,50°53'31.74"N,6°10'37.99"E,49°11'36.02"N,5°24'15.34"E,49°38'45.53"N,2°51'16.06"E,50.28123,4.49556,51.35198,3.53748,50.89215,6.17722,49.19334,5.40426,49.64598,2.85446,LC81980252014212LGN00,LC81980252014212LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC81980252014212LGN00
LC81980242014212LGN00, 198, 024, 198, 024,FULL,NADIR,NOMINAL,N/A,LO8BPF20140731101742_20140731110527.01,LT8BPF20140731101348_20140731110620.02,L8CPF20140701_20140930.01,L8RLUT20130211_20431231v09.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2014/07/31,2014:212:10:33:33.0696870,2014:212:10:34:04.8396830,2014/07/31,9,5.44,53.79681408,150.14163287,5.369,5.394,-1,1,Y,LPGS_2.3.0,51°41'34.76"N,5°06'55.94"E,52°46'00.08"N,4°08'10.25"E,52°17'48.30"N,6°51'22.21"E,50°36'06.77"N,6°02'30.84"E,51°03'48.82"N,3°25'07.18"E,51.69299,5.11554,52.76669,4.13618,52.29675,6.85617,50.60188,6.0419,51.06356,3.41866,LC81980242014212LGN00,LC81980242014212LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC81980242014212LGN00
LC81970252014189LGN00, 197, 025, 197, 025,FULL,NADIR,NOMINAL,N/A,LO8BPF20140708091904_20140708104135.01,LT8BPF20140708082814_20140708104228.02,L8CPF20140701_20140930.01,L8RLUT20130211_20431231v09.h5,-.001,LGN,DAY,L1GT,OLI_TIRS,2014/07/08,2014:189:10:27:38.9498080,2014:189:10:28:10.7198040,2014/07/08,9,9.13,58.87646158,145.94457283,0,0,-1,-1,Y,LPGS_2.3.0,50°16'52.07"N,6°02'23.57"E,51°21'06.91"N,5°04'55.74"E,50°53'31.34"N,7°43'17.26"E,49°11'35.56"N,6°56'53.99"E,49°38'45.17"N,4°23'56.18"E,50.28113,6.03988,51.35192,5.08215,50.89204,7.72146,49.19321,6.94833,49.64588,4.39894,LC81970252014189LGN00,LC81970252014189LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC81970252014189LGN00
LC82000242014162LGN00, 200, 024, 200, 024,FULL,NADIR,NOMINAL,N/A,LO8BPF20140611103522_20140611110334.01,LT8BPF20140611092446_20140611110427.01,L8CPF20140401_20140630.01,L8RLUT20130211_20431231v09.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2014/06/11,2014:162:10:45:38.5380940,2014:162:10:46:10.3080900,2014/06/11,9,8.8,58.89247264,149.80023481,5.93,5.168,-1,1,Y,LPGS_2.3.0,51°41'36.38"N,2°01'11.57"E,52°46'02.10"N,1°02'28.03"E,52°17'49.99"N,3°45'37.44"E,50°36'08.10"N,2°56'44.66"E,51°03'50.51"N,0°19'23.52"E,51.69344,2.01988,52.76725,1.04112,52.29722,3.7604,50.60225,2.94574,51.06403,.3232,LC82000242014162LGN00,LC82000242014162LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC82000242014162LGN00
LC82000232014162LGN00, 200, 023, 200, 023,FULL,NADIR,NOMINAL,N/A,LO8BPF20140611103522_20140611110334.01,LT8BPF20140611092446_20140611110427.01,L8CPF20140401_20140630.01,L8RLUT20130211_20431231v09.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2014/06/11,2014:162:10:45:14.6555290,2014:162:10:45:46.4255250,2014/06/11,9,4.3,57.82552781,151.83661456,6.396,4.91,-1,1,Y,LPGS_2.3.0,53°06'09.43"N,2°40'25.10"E,54°10'46.88"N,1°40'21.58"E,53°41'54.78"N,4°28'42.28"E,52°00'28.55"N,3°37'03.72"E,52°28'46.70"N,0°54'58.10"E,53.10262,2.67364,54.17969,1.67266,53.69855,4.47841,52.00793,3.6177,52.47964,.91614,LC82000232014162LGN00,LC82000232014162LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC82000232014162LGN00
