LIBMIN,PMUN13,SURFACE,DENSITE
Aadorf,8473,19.9,425.1
Aarau,20185,12.3,1637.1
Aarberg,4273,7.9,540.2
Aarburg,7233,4.4,1636.4
Aarwangen,4253,9.9,430.9
Abtwil,957,4.2,231.2
Aclens,532,3.9,136.4
Acquarossa,1862,61.6,30.2
Adelboden,3472,88.2,39.4
Adligenswil,5399,7.0,772.4
Adlikon,577,6.6,87.6
Adliswil,18262,7.8,2350.3
Aedermannsdorf,549,12.9,42.6
Aefligen,1065,2.1,524.6
Aegerten,1816,2.2,836.9
Aesch(BL),10211,7.4,1381.7
Aesch(LU),1013,4.7,219.3
Aesch(ZH),1184,5.2,226.0
Aeschi(SO),1210,5.4,222.4
AeschibeiSpiez,2166,30.9,69.9
AeugstamAlbis,1972,7.9,249.3
Affeltrangen,2415,14.4,167.5
AffolternamAlbis,11363,10.6,1071.0
AffolternimEmmental,1153,11.5,100.2
Agarn,804,7.7,105.0
Agiez,292,5.5,53.4
Agno,4304,2.5,1728.5
Aigle,9892,16.5,602.8
Aire-la-Ville,1118,2.9,381.6
Airolo,1556,94.5,16.5
Alberswil,604,3.6,171.1
Albinen,257,15.5,16.6
Alchenstorf,574,6.6,87.5
Allaman,403,2.6,155.0
Alle,1718,10.6,162.1
Allmendingen,542,3.8,142.6
Allschwil,20249,8.9,2270.1
Almens,228,8.4,27.3
Alpnach,5811,53.8,108.1
Alpthal,597,22.9,26.1
Altbüron,979,6.8,144.8
Altdorf(UR),9000,10.2,881.5
Altendorf,6585,20.5,322.8
Alterswil,2001,16.1,124.2
Altikon,638,7.7,83.0
Altishofen,1570,5.7,272.6
Altnau,2158,6.7,323.1
AltoMalcantone,1373,21.9,62.6
Altstätten,11168,39.5,282.8
Altwis,406,2.9,139.0
Alvaneu,403,35.7,11.3
Alvaschein,142,4.1,34.8
Amden,1750,43.0,40.7
Amlikon-Bissegg,1313,14.5,91.0
Ammerswil,685,3.2,214.7
Amriswil,12763,19.0,671.0
Amsoldingen,786,4.7,166.9
Andeer,902,46.4,19.5
Andelfingen,2100,6.7,312.5
Andermatt,1393,62.2,22.4
Andiast,209,13.6,15.3
Andwil(SG),1925,6.3,306.0
Anières,2350,3.8,608.8
Anniviers,2644,243.1,10.9
Anwil,587,4.0,148.2
Appenzell,5729,16.9,339.8
Apples,1306,13.0,101.0
Aranno,325,2.7,119.5
Arbaz,1144,19.3,59.3
Arbedo-Castione,4576,21.3,215.0
Arboldswil,539,3.4,154.9
Arbon,14154,5.9,2382.8
Arch,1518,6.4,238.3
Arconciel,782,6.1,126.7
Ardez,425,61.4,6.9
Ardon,2964,20.4,145.7
Arisdorf,1614,10.0,161.4
Aristau,1384,8.7,160.2
Arlesheim,9115,7.0,1315.3
Arnex-sur-Nyon,199,2.1,97.5
Arnex-sur-Orbe,597,7.6,78.4
Arni(AG),1868,3.5,552.7
Arni(BE),935,10.4,89.6
Arogno,960,8.6,112.9
Arosa,3301,154.7,21.3
Arth,11062,42.1,262.9
Arvigo,87,17.0,5.1
Arzier-LeMuids,2443,51.9,47.1
Ascona,5423,5.0,1091.1
Assens,1035,5.3,193.5
Astano,297,3.8,78.6
Attalens,3172,9.8,325.0
Attelwil,283,2.2,127.5
Attinghausen,1592,46.8,34.0
Attiswil,1374,7.6,179.8
Au(SG),7228,4.7,1544.4
Aubonne,3069,9.4,327.2
Auboranges,273,1.9,141.5
Auenstein,1568,5.7,276.1
Augst,858,1.6,523.2
Ausserberg,642,14.9,43.1
Auswil,460,4.6,98.9
Autafond,71,2.4,29.3
Autigny,768,6.2,123.5
Auw,1869,8.6,218.1
AvegnoGordevio,1468,27.3,53.7
Avenches,3816,19.4,195.9
Avers,172,93.1,1.8
Avry,1846,5.8,316.6
Avully,1770,4.6,383.9
Avusy,1426,5.2,274.8
Ayent,3791,55.0,68.8
Baar,22576,24.8,909.2
Bachenbülach,4047,4.3,939.0
Bachs,610,9.2,66.8
BadRagaz,5681,25.4,223.7
BadZurzach,4173,6.5,640.0
Baden,18553,13.2,1407.7
Bäretswil,4914,22.2,221.5
Bäriswil,1026,2.8,375.8
Bärschwil,808,11.2,72.0
Bätterkinden,3142,10.1,308.9
Bättwil,1185,1.7,709.6
Bagnes,7919,282.2,28.1
Baldingen,274,2.8,96.8
Balerna,3359,2.6,1307.0
Balgach,4536,6.5,697.8
Ballaigues,987,9.1,109.3
Ballens,484,8.5,57.1
Ballwil,2611,8.7,298.4
BalmbeiGünsberg,190,5.5,34.7
Balsthal,5836,15.7,371.5
Baltschieder,1268,31.4,40.3
Bangerten,153,2.2,69.9
Bannwil,691,4.8,144.3
Barberêche,531,9.1,57.9
Bardonnex,2219,5.0,443.8
Bargen(BE),1001,7.9,127.2
Bargen(SH),290,8.3,35.1
Bas-Intyamon,1225,33.3,36.8
Bas-Vully,2033,10.0,204.3
Basadingen-Schlattingen,1771,15.7,113.2
Basel,167386,24.0,7000.7
Basse-Allaine,1272,23.0,55.2
Bassersdorf,11350,9.0,1258.3
Bassins,1303,20.9,62.7
Bauen,172,3.8,45.5
Baulmes,1016,22.6,45.1
Bauma,4307,20.8,207.0
Bavois,878,9.3,94.0
Beatenberg,1150,29.2,39.3
Beckenried,3387,24.3,139.8
Bedano,1529,1.9,817.6
Bedigliora,639,2.5,257.7
Bedretto,90,75.2,1.2
Beggingen,505,12.6,40.1
Begnins,1657,4.8,346.7
Beinwil(Freiamt),1069,11.3,94.8
Beinwil(SO),271,22.7,12.0
BeinwilamSee,2964,3.9,771.9
Belfaux,2992,6.4,463.2
Bellach,5163,5.3,979.7
Bellevue,3247,4.4,746.4
Bellikon,1563,4.9,315.8
Bellinzona,17962,19.1,938.0
Bellmund,1582,3.8,416.3
Bellwald,435,13.7,31.8
Belmont-sur-Lausanne,3545,2.6,1337.7
Belmont-sur-Yverdon,358,6.5,55.3
Belp,11346,23.3,487.2
Belprahon,314,3.8,82.0
Benken(SG),2803,16.4,170.4
Benken(ZH),828,5.7,146.3
Bennwil,643,6.5,98.8
Bercher,1149,4.2,270.4
Berg(SG),838,3.8,224.1
Berg(TG),3256,13.1,248.7
BergamIrchel,578,7.1,82.3
Bergdietikon,2524,6.0,425.6
Bergün/Bravuogn,455,145.6,3.1
Berikon,4490,5.4,836.1
Beringen,4118,18.6,220.9
Berken,43,1.4,30.9
Berlingen,866,3.6,243.3
Bern,128848,51.6,2496.1
Berneck,3798,5.6,674.6
Bernex,9758,13.0,753.5
Berolle,298,9.6,31.0
Beromünster,6112,42.2,144.9
Besenbüren,576,2.4,242.0
Bettenhausen,679,4.0,172.3
Bettens,434,3.8,115.7
Bettingen,1150,2.2,515.7
Bettlach,4835,12.2,396.0
Bettmeralp,439,29.4,15.0
Bettwiesen,1149,3.9,298.4
Bettwil,561,4.3,132.0
Beurnevésin,131,5.1,25.7
Bevaix,3872,10.8,359.2
Bever,633,45.7,13.8
Bévilard,1730,5.8,304.6
Bex,6848,96.6,70.9
Biasca,6164,59.1,104.2
Biberist,8124,12.2,660.5
